Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,5.14%,3.79%,(3.41%),(61.28%),(69.29%)
Total Revenues,5.14%,3.79%,(3.41%),(61.28%),(69.29%)
Cost Of Revenues,1.41%,19.44%,9.30%,(41.49%),(47.83%)
Gross Profit,5.32%,3.03%,(4.12%),(62.55%),(70.73%)
Selling General & Admin Expenses,11.90%,(5.07%),(10.58%),(42.04%),(46.85%)
R&D Expenses,0.00%,13.17%,6.55%,(23.55%),(27.84%)
Depreciation & Amortization,14.49%,46.84%,8.62%,(0.79%),28.42%
Other Operating Expense/(Income),,,,(33.33%),(33.33%)
Total Operating Expenses,9.41%,(1.03%),(5.20%),(33.70%),(37.89%)
Operating Income,(25.30%),47.58%,3.83%,,
Interest Expense,(25.00%),-20.00%,-41.67%,(400.00%),(528.57%)
Interest And Investment Income,0.00%,600.00%,142.86%,(82.35%),(85.71%)
Net Interest Expenses,(27.27%),-64.29%,,,
Currency Exchange Gains (Loss),,,-77.78%,,
Other Non Operating Income (Expenses),(50.00%),200.00%,,,0.00%
"EBT, Excl. Unusual Items",(25.83%),53.57%,14.53%,,
"EBT, Incl. Unusual Items",(27.15%),57.27%,12.14%,,
Income Tax Expense,316.13%,(53.49%),13.33%,,
Earnings From Continuing Operations,,,11.50%,,
Net Income to Company,,,11.50%,,
Net Income,,,11.50%,,
NI to Common Incl Extra Items,,,11.50%,,
NI to Common Excl. Extra Items,,,11.50%,,
Revenue Per Share,8.83%,5.53%,(3.98%),(60.12%),(68.94%)
Basic EPS,,,10.57%,,
Basic EPS - Continuing Ops,,,10.57%,,
Basic Weighted Average Shares Outst.,(3.44%),(1.66%),0.62%,(2.96%),(1.13%)
Diluted EPS,,,9.88%,,
Diluted EPS - Continuing Ops,,,9.88%,,
Diluted Weighted Average Shares Outst.,(4.39%),(0.05%),0.20%,(4.12%),(1.82%)
Normalized Basic EPS,(23.32%),55.67%,13.58%,,
Normalized Diluted EPS,(22.12%),53.16%,13.68%,,
EBITDA,(19.16%),34.10%,4.74%,,
EBITA,(22.51%),41.22%,1.91%,,
EBIT,(25.30%),47.58%,3.83%,,
EBITDAR,(17.67%),,,,
Effective Tax Rate,471.23%,(70.43%),1.07%,(38.14%),(47.99%)
Normalized Net Income,(25.83%),53.57%,14.53%,,
Interest on Long-Term Debt,18.18%,(76.92%),100.00%,250.00%,
R&D Expense From Footnotes,17.39%,9.26%,6.78%,6.35%,(15.87%)
Foreign Sales,(1.05%),3.45%,(5.26%),(59.13%),
