Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Other Revenue,0.45%,(0.42%),(12.81%),20.74%,1.58%
Total Revenues,0.45%,(0.42%),(12.81%),20.74%,1.58%
Property Expenses,7.94%,6.51%,(7.75%),24.87%,2.33%
Selling General & Admin Exp.,(5.94%),4.24%,(0.73%),21.61%,30.72%
Other Operating Expenses,-86.70%,-68.33%,,(40.19%),(87.25%)
Total Operating Expenses,8.15%,6.48%,(6.92%),24.42%,3.83%
Operating Income,(16.57%),(20.20%),(35.33%),0.51%,(12.00%)
Total Interest Expense,-2.74%,-1.48%,-1.09%,(22.23%),(104.76%)
Interest and Investment Income,,(25.70%),150.96%,(87.53%),(78.87%)
Net Interest Expenses,-12.14%,(1.11%),-13.06%,(47.16%),(144.03%)
Other Non Operating Income,,"(3,060.00%)",-33.54%,,(83.69%)
"EBT, Excl. Unusual Items",(17.08%),(23.61%),(43.23%),(14.30%),(43.03%)
Gain (Loss) on Sale of Assets,,,(91.42%),116.07%,218.42%
"EBT, Incl. Unusual Items",(16.47%),(23.41%),(43.45%),(54.36%),(72.91%)
Income Tax Expense,328.14%,16.40%,(48.72%),(45.83%),(44.63%)
Earnings From Continuing Operations,(24.48%),(28.66%),(42.32%),(55.99%),(77.22%)
Net Income to Company,(24.48%),(28.66%),(42.32%),(55.99%),(77.22%)
Minority Interest,(119.68%),(18.66%),-43.28%,,
Net Income,(28.42%),(32.63%),(42.18%),(37.26%),(70.51%)
NI to Common Incl Extra Items,(28.42%),(32.63%),(42.18%),(37.26%),(70.51%)
NI to Common Excl. Extra Items,(28.42%),(32.63%),(42.18%),(37.26%),(70.51%)
Revenue Per Share,(3.38%),(1.64%),(12.90%),16.69%,(3.50%)
Basic EPS,(31.15%),(33.44%),(42.12%),(39.78%),(71.98%)
Basic EPS - Continuing Ops,(31.15%),(33.44%),(42.12%),(39.78%),(71.98%)
Basic Weighted Average Shares Outst.,3.90%,1.32%,0.17%,3.57%,5.26%
Diluted EPS,(31.38%),(33.61%),(42.12%),(40.29%),(71.98%)
Diluted EPS - Continuing Ops,(31.38%),(33.61%),(42.12%),(40.29%),(71.98%)
Diluted Weighted Average Shares Outst.,4.07%,1.47%,(0.07%),5.67%,8.30%
Normalized Basic EPS,(26.21%),(29.60%),(43.30%),17.77%,(33.42%)
Normalized Diluted EPS,(25.79%),(29.96%),(43.44%),15.13%,(35.29%)
Dividend Per Share,0.00%,6.00%,1.89%,0.00%,0.00%
Payout Ratio,(53.45%),395.95%,78.37%,65.34%,206.77%
Funds Available for Distribution,39.22%,19.51%,(37.78%),8.70%,
EBITDA,(8.04%),(7.74%),(24.15%),15.70%,15.43%
EBITA,(16.57%),(20.20%),(35.33%),0.51%,(12.00%)
EBIT,(16.57%),(20.20%),(35.33%),0.51%,(12.00%)
EBITDAR,,,,14.51%,
Effective Tax Rate,413.12%,51.94%,(9.32%),18.69%,104.37%
Normalized Net Income,(22.99%),(28.82%),(43.22%),20.76%,(29.91%)
Foreign Earnings,119.43%,12.67%,(44.55%),(38.62%),
Foreign Sales,39.16%,6.38%,(16.11%),(18.48%),
