Income Statement,May 2016,May 2017,May 2018,May 2019,May 2020,TTM
Revenues,2819.7,3014.1,3581.6,3759.6,3059.1,2804.7
Total Revenues,2819.7,3014.1,3581.6,3759.6,3059.1,2804.7
Cost Of Revenues,2367.1,2478.2,3018.8,3279.6,2615.8,2301.9
Gross Profit,452.6,535.9,562.9,480.0,443.3,502.8
Selling General & Admin Expenses,297.4,316.4,367.5,338.4,328.1,319.0
Total Operating Expenses,297.4,316.4,367.5,338.4,328.1,319.0
Operating Income,155.2,219.5,195.4,141.6,115.2,183.8
Interest Expense,(31.7),(29.8),(38.7),(38.1),(31.6),(30.2)
Net Interest Expenses,(31.7),(29.8),(38.7),(38.1),(31.6),(30.2)
Currency Exchange Gains (Loss),,,,(3.6),(0.0),(0.3)
Other Non Operating Income (Expenses),4.4,3.8,3.0,6.3,3.1,(3.6)
"EBT, Excl. Unusual Items",242.9,303.5,262.9,203.3,201.5,247.9
"EBT, Incl. Unusual Items",216.6,297.1,209.1,206.5,110.8,788.7
Income Tax Expense,59.0,79.2,8.2,43.2,26.3,154.7
Earnings From Continuing Operations,157.6,217.9,200.9,163.3,84.4,634.0
Net Income to Company,157.6,217.9,200.9,163.3,84.4,634.0
Minority Interest,(13.9),(13.4),(6.1),(9.8),(5.6),(7.6)
Net Income,143.7,204.5,194.8,153.5,78.8,626.4
NI to Common Incl Extra Items,143.7,204.5,194.8,153.5,78.8,626.4
NI to Common Excl. Extra Items,143.7,204.5,194.8,153.5,78.8,626.4
Revenue Per Share,$45.14,$48.27,$58.79,$65.73,$55.66,$52.47
Basic EPS,$2.30,$3.28,$3.20,$2.68,$1.43,$11.72
Basic EPS - Continuing Ops,$2.30,$3.28,$3.20,$2.68,$1.43,$11.72
Basic Weighted Average Shares Outst.,62.5,62.4,60.9,57.2,55.0,53.5
Diluted EPS,$2.22,$3.15,$3.09,$2.61,$1.41,$11.51
Diluted EPS - Continuing Ops,$2.22,$3.15,$3.09,$2.61,$1.41,$11.51
Diluted Weighted Average Shares Outst.,64.8,64.9,63.0,58.8,56.0,54.4
Normalized Basic EPS,$2.21,$2.82,$2.60,$2.05,$2.19,$2.76
Normalized Diluted EPS,$2.13,$2.72,$2.51,$1.99,$2.15,$2.71
Dividend Per Share,$0.76,$0.80,$0.84,$0.92,$0.96,$0.99
Payout Ratio,32.84%,24.80%,26.37%,34.10%,67.63%,8.48%
EBITDA,239.9,306.3,298.8,237.2,207.9,272.6
EBITA,171.0,233.1,215.1,156.8,128.1,196.7
EBIT,155.2,219.5,195.4,141.6,115.2,183.8
EBITDAR,254.6,319.8,,,223.5,
Effective Tax Rate,27.2%,26.7%,3.9%,20.9%,23.8%,19.6%
Normalized Net Income,137.9,176.3,158.2,117.2,120.3,147.4
Interest on Long-Term Debt,,29.8,38.7,38.1,31.6,
Foreign Sales,157.5,208.9,3581.6,3759.6,3059.1,
