Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,8.79%,16.82%,14.32%,9.34%,11.34%
Total Revenues,8.79%,16.82%,14.32%,9.34%,11.34%
Cost Of Revenues,4.56%,10.31%,5.25%,16.41%,30.36%
Gross Profit,9.11%,17.29%,14.95%,8.89%,10.20%
Selling General & Admin Expenses,13.34%,14.92%,17.85%,15.92%,16.59%
R&D Expenses,23.72%,14.20%,32.26%,11.89%,0.03%
Total Operating Expenses,20.50%,17.75%,32.09%,4.15%,2.27%
Operating Income,(4.10%),16.63%,(10.28%),19.17%,29.53%
Interest Expense,(25.53%),-0.88%,-6.25%,(30.94%),(42.10%)
Net Interest Expenses,(25.53%),-0.88%,-6.25%,(30.94%),(42.10%)
Currency Exchange Gains (Loss),,-31.04%,-15.48%,-43.71%,-81.11%
"EBT, Excl. Unusual Items",(9.64%),19.93%,(11.05%),18.64%,30.06%
"EBT, Incl. Unusual Items",(17.28%),19.80%,(14.61%),(39.55%),389.92%
Earnings From Continuing Operations,22.94%,(8.35%),17.06%,(54.41%),84.88%
Net Income to Company,22.94%,(8.35%),17.06%,(54.41%),84.88%
Net Income,22.94%,(8.35%),17.06%,(54.41%),84.88%
NI to Common Incl Extra Items,22.94%,(8.35%),17.06%,(54.41%),84.88%
NI to Common Excl. Extra Items,22.94%,(8.35%),17.06%,(54.41%),84.88%
Revenue Per Share,9.68%,16.90%,20.82%,11.38%,12.53%
Basic EPS,23.91%,(8.31%),23.79%,(53.55%),86.86%
Basic EPS - Continuing Ops,23.91%,(8.31%),23.79%,(53.55%),86.86%
Basic Weighted Average Shares Outst.,(0.80%),(0.07%),(5.38%),(1.83%),(1.06%)
Diluted EPS,24.18%,(8.29%),24.52%,(53.58%),84.80%
Diluted EPS - Continuing Ops,24.18%,(8.29%),24.52%,(53.58%),84.80%
Diluted Weighted Average Shares Outst.,(0.89%),(0.16%),(6.00%),(1.79%),0.19%
Normalized Basic EPS,(8.86%),19.98%,(5.95%),20.84%,31.45%
Normalized Diluted EPS,(8.82%),20.18%,(5.39%),20.88%,29.82%
EBITDA,3.33%,19.73%,8.56%,3.08%,8.61%
EBITA,3.21%,19.78%,8.69%,2.80%,8.49%
EBIT,(4.10%),16.63%,(10.28%),19.17%,29.53%
EBITDAR,,,,3.07%,
Normalized Net Income,(9.64%),19.93%,(11.05%),18.64%,30.06%
Interest on Long-Term Debt,,16.55%,(2.77%),19.45%,
R&D Expense From Footnotes,51.74%,(1.07%),52.69%,29.51%,(23.16%)
Foreign Sales,17.32%,16.82%,14.32%,9.34%,
