Income Statement,Jul 2017,Aug 2018,Aug 2019,Jul 2020,TTM
Revenues,0.48%,3.56%,1.37%,(17.88%),(27.89%)
Total Revenues,0.48%,3.56%,1.37%,(17.88%),(27.89%)
Cost Of Revenues,(1.34%),4.34%,0.94%,(15.17%),(23.40%)
Gross Profit,4.08%,2.10%,2.20%,(23.00%),(36.20%)
Selling General & Admin Expenses,1.03%,5.81%,4.51%,(2.93%),(7.35%)
Total Operating Expenses,1.03%,5.81%,4.51%,(2.93%),(7.35%)
Operating Income,11.65%,(6.25%),(3.66%),(78.30%),
Interest Expense,(1.56%),(6.29%),(8.70%),(35.41%),(144.38%)
Net Interest Expenses,(1.56%),(6.29%),(8.70%),(35.41%),(144.38%)
"EBT, Excl. Unusual Items",12.19%,(6.85%),(4.33%),,
"EBT, Incl. Unusual Items",12.19%,(6.85%),(4.33%),,(83.63%)
Income Tax Expense,25.76%,(68.24%),39.45%,,
Earnings From Continuing Operations,6.66%,22.65%,(9.78%),,(78.25%)
Net Income to Company,6.66%,22.65%,(9.78%),,(78.25%)
Net Income,6.66%,22.65%,(9.78%),,(78.25%)
NI to Common Incl Extra Items,6.66%,22.65%,(9.78%),,(78.25%)
NI to Common Excl. Extra Items,6.66%,22.65%,(9.78%),,(78.25%)
Revenue Per Share,0.11%,3.65%,1.26%,(17.29%),(27.00%)
Basic EPS,6.21%,22.77%,(9.86%),,(77.98%)
Basic EPS - Continuing Ops,6.21%,22.77%,(9.86%),,(77.98%)
Basic Weighted Average Shares Outst.,0.36%,(0.09%),0.11%,(0.72%),(1.22%)
Diluted EPS,6.49%,22.94%,(9.91%),,(77.93%)
Diluted EPS - Continuing Ops,6.49%,22.94%,(9.91%),,(77.93%)
Diluted Weighted Average Shares Outst.,0.18%,(0.18%),0.09%,(0.96%),(1.47%)
Normalized Basic EPS,11.84%,(6.73%),(4.47%),,
Normalized Diluted EPS,11.93%,(6.74%),(4.45%),,
Dividend Per Share,4.49%,4.30%,4.12%,(22.77%),(74.76%)
Payout Ratio,(0.71%),(15.18%),15.24%,,134.33%
EBITDA,11.37%,(3.05%),0.80%,(54.00%),(83.86%)
EBITA,11.65%,(6.25%),(3.66%),(78.30%),
EBIT,11.65%,(6.25%),(3.66%),(78.30%),
EBITDAR,9.55%,(2.26%),1.02%,(43.01%),
Effective Tax Rate,12.09%,(65.91%),45.81%,190.76%,
Normalized Net Income,12.19%,(6.85%),(4.33%),,
