Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,3.32%,16.73%,7.16%,4.10%,2.21%
Total Revenues,3.32%,16.73%,7.16%,4.10%,2.21%
Cost Of Revenues,14.28%,14.44%,1.59%,(1.69%),0.16%
Gross Profit,(0.37%),17.61%,9.25%,6.13%,2.90%
Selling General & Admin Expenses,2.24%,15.92%,(4.78%),(3.34%),1.92%
R&D Expenses,(5.17%),47.10%,(36.20%),(15.88%),(6.34%)
Depreciation & Amortization,73.03%,155.31%,36.43%,1.84%,0.80%
Total Operating Expenses,25.06%,82.85%,19.71%,0.02%,0.82%
Operating Income,(21.71%),(69.84%),(75.70%),250.62%,38.61%
Interest Expense,,,-12.40%,-23.68%,-27.11%
Interest And Investment Income,47.51%,"1,922.90%",(89.03%),(88.24%),(88.24%)
Net Interest Expenses,47.51%,,(109.24%),-18.31%,-22.06%
Other Non Operating Income (Expenses),-79.65%,,,,(22.78%)
"EBT, Excl. Unusual Items",(20.20%),,(696.65%),-44.78%,-37.27%
"EBT, Incl. Unusual Items",(32.89%),,(956.32%),-59.21%,-75.14%
Income Tax Expense,,-93.64%,(672.47%),-41.36%,-51.19%
Earnings From Continuing Operations,110.62%,,"(1,110.39%)",-65.40%,-83.19%
Net Income to Company,110.62%,,"(1,110.39%)",-65.40%,-83.19%
Net Income,110.62%,,"(1,110.39%)",-65.40%,-83.19%
Preferred Dividend and Other Adjustments,(0.79%),(34.25%),(58.68%),,
NI to Common Incl Extra Items,128.78%,,(606.21%),-66.27%,-83.39%
NI to Common Excl. Extra Items,128.78%,,(606.21%),-66.27%,-83.39%
Revenue Per Share,1.22%,5.02%,(6.72%),(2.44%),(0.86%)
Basic EPS,125.28%,,(503.53%),-68.43%,-83.89%
Basic EPS - Continuing Ops,125.28%,,(503.53%),-68.43%,-83.89%
Basic Weighted Average Shares Outst.,2.05%,11.27%,14.86%,6.65%,3.10%
Diluted EPS,104.88%,,(503.53%),-68.43%,-83.89%
Diluted EPS - Continuing Ops,104.88%,,(503.53%),-68.43%,-83.89%
Diluted Weighted Average Shares Outst.,2.61%,(14.95%),14.86%,6.65%,3.10%
Normalized Basic EPS,(21.78%),,(564.17%),-48.10%,-39.15%
Normalized Diluted EPS,(22.07%),,(564.17%),-48.10%,-39.15%
Payout Ratio,(88.13%),,,,
EBITDA,(0.98%),16.24%,18.46%,10.02%,3.55%
EBITA,(21.16%),(69.04%),(72.90%),215.55%,35.76%
EBIT,(21.71%),(69.84%),(75.70%),250.62%,38.61%
EBITDAR,(0.27%),16.08%,18.10%,10.01%,
Effective Tax Rate,,,,,96.31%
Normalized Net Income,(20.20%),,(696.65%),-44.78%,-37.27%
Interest Capitalized,7.52%,,,(78.81%),
Interest on Long-Term Debt,7.52%,24.74%,(1.82%),(29.62%),
R&D Expense From Footnotes,(5.17%),47.10%,(36.20%),(15.88%),(6.34%)
Foreign Sales,5.23%,12.97%,5.41%,(0.04%),
