Income Statement,Dec 2016,Dec 2017,Dec 2018,Dec 2019,Jan 2021,TTM
Revenues,818.9,639.2,778.8,913.7,1091.7,1091.7
Total Revenues,818.9,639.2,778.8,913.7,1091.7,1091.7
Cost Of Revenues,405.0,344.6,395.7,438.4,462.9,462.9
Gross Profit,414.0,294.6,383.1,475.3,628.8,628.8
Selling General & Admin Expenses,178.3,221.8,270.2,365.0,403.4,403.4
R&D Expenses,29.5,8.8,10.8,20.5,11.2,11.2
Total Operating Expenses,207.8,230.6,281.0,385.5,414.6,414.6
Operating Income,206.2,64.0,102.2,89.8,214.2,214.2
Interest Expense,(21.7),(32.6),(31.3),(21.8),(9.2),(9.2)
Net Interest Expenses,(21.7),(32.6),(31.3),(21.8),(9.2),(9.2)
Other Non Operating Income (Expenses),(0.0),0.7,(1.3),(0.7),0.1,0.1
"EBT, Excl. Unusual Items",184.5,32.1,69.6,67.3,205.2,205.2
"EBT, Incl. Unusual Items",65.3,32.1,69.6,67.3,205.2,205.2
Income Tax Expense,16.5,16.7,11.9,16.8,49.4,49.4
Earnings From Continuing Operations,48.8,15.4,57.8,50.4,155.8,155.8
Net Income to Company,48.8,15.4,57.8,50.4,155.8,155.8
Minority Interest,(0.8),,,,,
Net Income,48.0,15.4,57.8,50.4,155.8,155.8
NI to Common Incl Extra Items,48.0,15.4,57.8,50.4,155.8,155.8
NI to Common Excl. Extra Items,48.0,15.4,57.8,50.4,155.8,155.8
Revenue Per Share,$10.10,$7.85,$9.52,$10.74,$12.55,$12.55
Basic EPS,$0.59,$0.19,$0.71,$0.59,$1.79,$1.79
Basic EPS - Continuing Ops,$0.59,$0.19,$0.71,$0.59,$1.79,$1.79
Basic Weighted Average Shares Outst.,81.1,81.5,81.8,85.1,87.0,87.0
Diluted EPS,$0.58,$0.19,$0.69,$0.58,$1.77,$1.77
Diluted EPS - Continuing Ops,$0.58,$0.19,$0.69,$0.58,$1.77,$1.77
Diluted Weighted Average Shares Outst.,82.8,83.0,83.5,86.3,87.8,87.8
Normalized Basic EPS,$1.41,$0.25,$0.53,$0.49,$1.47,$1.47
Normalized Diluted EPS,$1.38,$0.24,$0.52,$0.49,$1.46,$1.46
Payout Ratio,5.44%,18.25%,4.37%,1.26%,,
EBITDA,217.9,84.7,126.9,118.7,244.8,244.8
EBITA,211.6,69.4,107.5,95.6,220.1,220.1
EBIT,206.2,64.0,102.2,89.8,214.2,214.2
EBITDAR,219.5,,126.5,118.0,257.1,257.1
Effective Tax Rate,25.3%,52.0%,17.0%,25.0%,24.1%,24.1%
Normalized Net Income,114.5,20.0,43.5,42.0,128.3,128.3
Interest on Long-Term Debt,,,,,0.1,0.1
R&D Expense From Footnotes,29.5,8.8,10.8,20.5,11.2,11.2
Foreign Sales,,4.0,17.0,39.9,66.3,66.3
