Income Statement,Oct 2017,Oct 2018,Oct 2019,Oct 2020,TTM
Revenues,18.68%,(3.18%),6.31%,3.60%,3.71%
Total Revenues,18.68%,(3.18%),6.31%,3.60%,3.71%
Cost Of Revenues,14.34%,10.50%,5.92%,5.86%,2.46%
Gross Profit,41.31%,(60.77%),10.92%,(21.95%),20.44%
Selling General & Admin Expenses,35.28%,2.62%,(4.88%),(8.57%),(4.01%)
Total Operating Expenses,35.28%,2.62%,(4.88%),(8.57%),(4.01%)
Operating Income,44.58%,(93.02%),128.94%,(63.51%),139.19%
Interest Expense,(10.42%),(9.54%),(101.16%),(25.29%),-3.68%
Interest And Investment Income,378.28%,149.44%,,,0.00%
Net Interest Expenses,-50.89%,,,(13.69%),-13.65%
Other Non Operating Income (Expenses),(66.67%),20.00%,(25.00%),(11.11%),(18.18%)
"EBT, Excl. Unusual Items",45.05%,(92.80%),108.94%,(68.53%),159.23%
"EBT, Incl. Unusual Items",45.05%,(92.80%),108.94%,,29.28%
Income Tax Expense,39.60%,,,,
Earnings From Continuing Operations,48.04%,(78.04%),(13.25%),(46.95%),134.49%
Net Income to Company,48.04%,(78.04%),(13.25%),(46.95%),134.49%
Net Income,48.04%,(78.04%),(13.25%),(46.95%),134.49%
Preferred Dividend and Other Adjustments,46.25%,(79.51%),(11.39%),(52.19%),(35.09%)
NI to Common Incl Extra Items,48.07%,(78.02%),(13.27%),(46.87%),138.64%
NI to Common Excl. Extra Items,48.07%,(78.02%),(13.27%),(46.87%),138.64%
Revenue Per Share,17.79%,(3.33%),9.23%,3.07%,3.22%
Basic EPS,46.97%,(78.05%),(10.90%),(47.24%),137.53%
Basic EPS - Continuing Ops,46.97%,(78.05%),(10.90%),(47.24%),137.53%
Basic Weighted Average Shares Outst.,0.76%,0.16%,(2.68%),0.52%,0.47%
Diluted EPS,46.95%,(78.05%),(10.90%),(47.30%),137.20%
Diluted EPS - Continuing Ops,46.95%,(78.05%),(10.90%),(47.30%),137.20%
Diluted Weighted Average Shares Outst.,0.76%,0.16%,(2.68%),0.52%,0.47%
Normalized Basic EPS,43.97%,(92.81%),115.06%,(68.72%),158.02%
Normalized Diluted EPS,43.97%,(92.81%),115.06%,(68.72%),158.02%
Dividend Per Share,15.56%,23.08%,0.00%,9.37%,18.75%
Payout Ratio,(21.12%),456.69%,12.85%,106.94%,(53.18%)
EBITDA,38.79%,(73.25%),44.68%,(10.74%),40.86%
EBITA,44.58%,(93.02%),128.94%,(63.51%),139.19%
EBIT,44.58%,(93.02%),128.94%,(63.51%),139.19%
EBITDAR,38.27%,,,,
Effective Tax Rate,(3.77%),,,"1,553.62%",
Normalized Net Income,45.05%,(92.80%),108.94%,(68.53%),159.23%
Interest on Long-Term Debt,(6.08%),9.54%,101.16%,25.29%,
