Income Statement,Aug 2017,Aug 2018,Aug 2019,Aug 2020,TTM
Revenues,3.87%,15.91%,14.42%,7.85%,7.43%
Total Revenues,3.87%,15.91%,14.42%,7.85%,7.43%
Cost Of Revenues,4.11%,16.39%,14.62%,8.42%,7.08%
Gross Profit,1.17%,10.43%,12.11%,0.91%,11.88%
Selling General & Admin Expenses,(1.59%),13.68%,2.35%,3.40%,(1.29%)
R&D Expenses,(7.12%),29.82%,11.24%,2.99%,(9.29%)
Total Operating Expenses,(1.87%),13.97%,1.99%,5.37%,(1.30%)
Operating Income,6.84%,4.37%,30.98%,(5.57%),33.57%
Interest Expense,(1.13%),(7.91%),(26.66%),-7.87%,-23.48%
Interest And Investment Income,37.22%,42.22%,20.47%,(32.16%),(71.12%)
Net Interest Expenses,-1.46%,(4.49%),(27.50%),-4.75%,-16.77%
Other Non Operating Income (Expenses),(284.43%),(45.77%),(40.05%),-27.93%,-56.56%
"EBT, Excl. Unusual Items",4.71%,1.72%,31.23%,(3.66%),59.48%
"EBT, Incl. Unusual Items",(33.80%),45.73%,20.70%,(42.15%),96.70%
Income Tax Expense,(2.33%),121.48%,(43.60%),26.50%,38.82%
Earnings From Continuing Operations,(50.11%),(31.16%),230.67%,(80.39%),173.68%
Net Income to Company,(50.11%),(31.16%),230.67%,(80.39%),173.68%
Minority Interest,,,(95.13%),(21.33%),(19.32%)
Net Income,(49.20%),(33.12%),232.57%,(81.22%),176.73%
NI to Common Incl Extra Items,(49.20%),(33.12%),232.57%,(81.22%),176.73%
NI to Common Excl. Extra Items,(49.20%),(33.12%),232.57%,(81.22%),176.73%
Revenue Per Share,8.72%,22.41%,26.65%,10.69%,9.14%
Basic EPS,(46.64%),(29.40%),269.01%,(80.78%),181.14%
Basic EPS - Continuing Ops,(46.64%),(29.40%),269.01%,(80.78%),181.14%
Basic Weighted Average Shares Outst.,(4.47%),(5.31%),(9.65%),(2.57%),(1.57%)
Diluted EPS,(47.73%),(28.99%),269.39%,(80.66%),180.87%
Diluted EPS - Continuing Ops,(47.73%),(28.99%),269.39%,(80.66%),180.87%
Diluted Weighted Average Shares Outst.,(3.59%),(5.81%),(9.37%),(2.13%),(1.80%)
Normalized Basic EPS,10.64%,6.11%,44.79%,(1.30%),62.36%
Normalized Diluted EPS,9.97%,6.61%,44.84%,(1.87%),62.74%
Dividend Per Share,0.00%,0.00%,0.00%,0.00%,0.00%
Payout Ratio,89.04%,44.22%,(72.96%),416.84%,(64.43%)
EBITDA,8.14%,2.87%,13.34%,(1.33%),17.38%
EBITA,6.12%,4.60%,28.07%,(2.44%),31.91%
EBIT,6.84%,4.37%,30.98%,(5.57%),33.57%
EBITDAR,7.18%,3.54%,11.86%,(1.90%),
Effective Tax Rate,47.54%,51.99%,(53.27%),118.69%,(29.43%)
Normalized Net Income,5.82%,0.51%,30.94%,(3.83%),59.82%
Interest on Long-Term Debt,1.13%,7.91%,26.66%,(7.87%),
R&D Expense From Footnotes,(7.12%),29.82%,11.24%,2.99%,(9.29%)
Foreign Sales,4.65%,16.27%,9.55%,1.51%,
