Income Statement,Oct 2016,Oct 2017,Oct 2018,Oct 2019,Oct 2020,TTM
Revenues,2816.1,3342.2,3236.0,3440.3,3564.3,3650.5
Total Revenues,2816.1,3342.2,3236.0,3440.3,3564.3,3650.5
Cost Of Revenues,2362.1,2700.7,2984.3,3161.1,3346.4,3357.0
Gross Profit,454.0,641.5,251.7,279.1,217.9,293.5
Selling General & Admin Expenses,159.9,216.3,222.0,211.1,193.0,194.0
Total Operating Expenses,159.9,216.3,222.0,211.1,193.0,194.0
Operating Income,294.1,425.2,29.7,68.0,24.8,99.5
Interest Expense,(1.7),(1.9),(2.1),(4.2),(5.2),(4.7)
Interest And Investment Income,0.2,1.2,2.9,,0.5,0.5
Net Interest Expenses,(1.5),(0.7),0.8,(4.2),(4.7),(4.2)
Other Non Operating Income (Expenses),0.0,0.0,0.0,0.0,0.0,0.0
"EBT, Excl. Unusual Items",292.7,424.5,30.6,63.8,20.1,95.4
"EBT, Incl. Unusual Items",292.7,424.5,30.6,63.8,(16.3),47.6
Income Tax Expense,103.7,144.8,(30.9),10.6,(44.6),(28.8)
Earnings From Continuing Operations,189.0,279.7,61.4,53.3,28.3,76.3
Net Income to Company,189.0,279.7,61.4,53.3,28.3,76.3
Net Income,189.0,279.7,61.4,53.3,28.3,76.3
Preferred Dividend and Other Adjustments,2.9,4.3,0.9,0.8,0.4,0.5
NI to Common Incl Extra Items,186.0,275.5,60.6,52.5,27.9,75.8
NI to Common Excl. Extra Items,186.0,275.5,60.6,52.5,27.9,75.8
Revenue Per Share,$126.71,$149.25,$144.28,$157.60,$162.43,$166.22
Basic EPS,$8.37,$12.30,$2.70,$2.41,$1.27,$3.45
Basic EPS - Continuing Ops,$8.37,$12.30,$2.70,$2.41,$1.27,$3.45
Basic Weighted Average Shares Outst.,22.2,22.4,22.4,21.8,21.9,22.0
Diluted EPS,$8.37,$12.30,$2.70,$2.41,$1.27,$3.45
Diluted EPS - Continuing Ops,$8.37,$12.30,$2.70,$2.41,$1.27,$3.45
Diluted Weighted Average Shares Outst.,22.2,22.4,22.4,21.8,21.9,22.0
Normalized Basic EPS,$8.23,$11.85,$0.85,$1.83,$0.57,$2.71
Normalized Diluted EPS,$8.23,$11.85,$0.85,$1.83,$0.57,$2.71
Dividend Per Share,$0.90,$1.04,$1.28,$1.28,$1.40,$1.52
Payout Ratio,10.74%,8.47%,47.15%,53.21%,110.11%,40.79%
EBITDA,378.7,525.6,140.6,203.4,181.6,260.2
EBITA,294.1,425.2,29.7,68.0,24.8,99.5
EBIT,294.1,425.2,29.7,68.0,24.8,99.5
EBITDAR,392.4,542.6,,,622.5,
Effective Tax Rate,35.4%,34.1%,NM,16.5%,NM,NM
Normalized Net Income,182.9,265.3,19.1,39.9,12.6,59.6
Interest Capitalized,0.3,,,,,
Interest on Long-Term Debt,2.0,1.9,2.1,4.2,5.2,
