Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Interest Income On Loans,12.60%,15.23%,48.18%,(11.26%),(14.39%)
Total Interest Income,13.66%,15.64%,52.54%,(12.00%),(14.75%)
Interest On Deposits,26.66%,76.91%,148.10%,(38.99%),(59.72%)
Total Interest On Borrowings,(2.62%),(10.10%),88.17%,(24.43%),(27.86%)
Total Interest Expense,12.59%,40.74%,132.19%,(35.86%),(52.58%)
Net Interest Income,13.80%,12.23%,38.96%,(5.20%),(3.72%)
Service Charges On Deposits,(2.19%),(0.71%),9.09%,(17.07%),(17.66%)
Trust Income,8.35%,8.32%,6.77%,8.33%,10.08%
Total Mortgage Banking Activities,(6.02%),(16.84%),71.95%,180.42%,155.21%
Gain (Loss) on Sale of Assets,,,,,0.00%
Gain (Loss) on Sale of Invest. & Securities,,(78.56%),,"2,096.20%",970.68%
Total Other Non Interest Income,70.02%,(32.14%),31.24%,9.74%,4.52%
Total Non Interest Income,26.40%,(18.89%),27.06%,42.32%,35.03%
Revenue Before Loan Losses,16.74%,4.37%,36.63%,3.46%,3.83%
Provision For Loan Losses,139.95%,(23.05%),69.68%,304.72%,(20.26%)
Total Revenues,13.73%,5.79%,35.38%,(10.72%),6.93%
Salaries And Other Employee Benefits,4.24%,4.22%,25.77%,9.10%,7.92%
Occupancy Expense,36.40%,8.77%,24.08%,4.79%,26.19%
Total Selling General & Admin Expenses,3.00%,4.05%,24.56%,13.17%,(9.24%)
Total Other Non Interest Expense,5.61%,(9.99%),40.00%,(2.08%),(16.36%)
Total Non Interest Expense,6.24%,2.62%,26.95%,6.74%,3.41%
"EBT, Excl. Unusual Items",27.36%,10.60%,47.28%,(31.93%),12.37%
Restructuring Charges,-15.16%,,,"(2,094.39%)",(448.45%)
Impairment of Goodwill,,,,,0.00%
Legal Settlements,-72.08%,(232.10%),(55.11%),-75.35%,-75.35%
Other Unusual Items,(504.56%),-59.30%,(29.15%),(2.16%),-20.55%
"EBT, Incl. Unusual Items",23.60%,14.00%,39.77%,(36.65%),4.99%
Income Tax Expense,44.47%,(41.92%),69.28%,(44.86%),(4.81%)
Earnings From Continuing Operations,11.63%,55.54%,31.58%,(33.72%),8.33%
Net Income to Company,11.63%,55.54%,31.58%,(33.72%),8.33%
Net Income,11.63%,55.54%,31.58%,(33.72%),8.33%
Preferred Dividend and Other Adjustments,0.00%,75.80%,27.13%,44.94%,18.35%
Net Income to Common Incl Extra Items,12.13%,54.76%,31.77%,(37.04%),7.71%
Net Income to Common Excl. Extra Items,12.13%,54.76%,31.77%,(37.04%),7.71%
Revenue Per Share,16.75%,8.97%,3.23%,(6.54%),9.26%
Basic EPS,15.22%,59.32%,0.42%,(34.00%),10.06%
Basic EPS - Continuing Ops,15.22%,59.32%,0.42%,(34.00%),10.06%
Basic Weighted Average Shares Outst.,(2.59%),(2.90%),31.18%,(4.48%),(2.14%)
Diluted EPS,14.81%,59.91%,0.00%,(33.72%),10.64%
Diluted EPS - Continuing Ops,14.81%,59.91%,0.00%,(33.72%),10.64%
Diluted Weighted Average Shares Outst.,(2.45%),(2.98%),31.83%,(5.03%),(2.57%)
Normalized Basic EPS,30.63%,14.11%,12.10%,(28.78%),14.83%
Normalized Diluted EPS,30.35%,13.83%,11.59%,(28.32%),15.33%
Dividend Per Share,25.00%,66.67%,20.00%,10.00%,7.32%
Payout Ratio,(16.53%),19.07%,17.40%,81.32%,
Effective Tax Rate,16.88%,(49.05%),21.11%,(12.94%),(9.33%)
Normalized Net Income,27.36%,10.60%,47.28%,(31.93%),12.37%
Interest on Long-Term Debt,(3.40%),(14.84%),47.93%,(7.88%),
