Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Interest Income On Loans,3.29%,11.57%,8.12%,(9.48%),(10.76%)
Total Interest Income,4.40%,13.06%,5.99%,(10.47%),(12.13%)
Interest On Deposits,29.35%,103.34%,81.20%,(40.34%),(59.46%)
Total Interest On Borrowings,5.92%,9.78%,18.64%,(29.63%),(38.44%)
Total Interest Expense,18.42%,64.30%,63.76%,(38.17%),(55.43%)
Net Interest Income,3.29%,8.43%,(1.92%),(4.14%),(1.78%)
Service Charges On Deposits,0.33%,1.07%,3.85%,(9.23%),(12.55%)
Total Mortgage Banking Activities,(13.67%),(13.24%),(13.89%),166.01%,194.41%
Gain (Loss) on Sale of Invest. & Securities,(96.85%),,,(98.74%),
Total Other Non Interest Income,(5.84%),47.83%,(6.42%),(13.58%),32.27%
Total Non Interest Income,(7.70%),0.33%,21.62%,21.24%,43.45%
Revenue Before Loan Losses,0.38%,6.46%,3.48%,2.70%,10.46%
Provision For Loan Losses,13.39%,18.31%,29.71%,182.51%,(50.95%)
Total Revenues,(0.11%),5.95%,2.22%,(8.27%),20.72%
Salaries And Other Employee Benefits,3.26%,(2.45%),(1.45%),14.08%,15.43%
Amort. of Goodwill & Intang. Assets,(21.64%),(8.73%),(8.89%),(11.25%),(10.84%)
Occupancy Expense,(1.15%),(1.18%),2.70%,5.81%,3.05%
Total Selling General & Admin Expenses,(1.70%),12.81%,(11.67%),(11.16%),(10.25%)
Total Other Non Interest Expense,20.30%,(6.91%),7.75%,(17.39%),(14.46%)
Total Non Interest Expense,2.33%,0.12%,(2.76%),5.86%,6.32%
"EBT, Excl. Unusual Items",(4.81%),17.95%,10.93%,(29.94%),51.97%
Impairment of Goodwill,,,,,-100.00%
"EBT, Incl. Unusual Items",(3.32%),21.10%,10.93%,,
Income Tax Expense,(18.49%),(0.29%),7.88%,(41.64%),(40.93%)
Earnings From Continuing Operations,5.32%,30.52%,11.96%,,
Net Income to Company,5.32%,30.52%,11.96%,,
Net Income,5.32%,30.52%,11.96%,,
Net Income to Common Incl Extra Items,5.38%,30.52%,11.96%,,
Net Income to Common Excl. Extra Items,5.38%,30.52%,11.96%,,
Revenue Per Share,(0.19%),5.94%,2.11%,(8.20%),20.75%
Basic EPS,5.79%,30.52%,11.60%,,
Basic EPS - Continuing Ops,5.79%,30.52%,11.60%,,
Basic Weighted Average Shares Outst.,(0.01%),0.01%,0.03%,(0.05%),(0.02%)
Diluted EPS,5.77%,30.00%,11.89%,,
Diluted EPS - Continuing Ops,5.77%,30.00%,11.89%,,
Diluted Weighted Average Shares Outst.,(0.03%),(0.04%),(0.04%),(0.20%),0.04%
Normalized Basic EPS,(4.96%),17.58%,10.84%,(29.90%),52.00%
Normalized Diluted EPS,(5.21%),18.50%,10.68%,(29.90%),51.91%
Dividend Per Share,6.25%,20.59%,2.44%,0.00%,0.00%
Payout Ratio,(2.15%),(8.35%),(4.94%),,
Effective Tax Rate,(15.69%),(17.67%),(2.76%),,
Normalized Net Income,(4.81%),17.95%,10.93%,(29.94%),51.97%
Interest on Long-Term Debt,105.17%,9.83%,14.41%,(27.88%),
