Income Statement,Mar 2017,Mar 2018,Mar 2019,Mar 2020,TTM
Revenues,2.20%,9.07%,8.76%,9.97%,(5.04%)
Total Revenues,2.20%,9.07%,8.76%,9.97%,(5.04%)
Cost Of Revenues,0.51%,12.08%,9.61%,9.58%,(3.83%)
Gross Profit,6.91%,1.20%,6.28%,11.13%,(8.56%)
Selling General & Admin Expenses,3.42%,5.13%,15.48%,19.72%,(7.10%)
Total Operating Expenses,3.42%,5.13%,15.48%,19.72%,(7.22%)
Operating Income,11.66%,(3.77%),(6.41%),(3.47%),(11.22%)
Interest Expense,-0.65%,(12.63%),(23.47%),(41.48%),-4.67%
Net Interest Expenses,-0.65%,(12.63%),(23.47%),(41.48%),-4.67%
Other Non Operating Income (Expenses),(454.76%),-65.91%,(66.91%),,
"EBT, Excl. Unusual Items",15.20%,(7.06%),(6.28%),(9.89%),(17.16%)
"EBT, Incl. Unusual Items",16.91%,12.05%,(23.55%),(19.36%),(17.78%)
Income Tax Expense,8.70%,117.53%,(81.78%),(54.50%),330.03%
Earnings From Continuing Operations,20.03%,(24.26%),34.04%,(14.64%),(31.28%)
Net Income to Company,20.03%,(24.26%),34.04%,(14.64%),(31.28%)
Minority Interest,(53.98%),,(62.34%),,
Net Income,17.67%,(25.35%),33.99%,(14.43%),(31.28%)
NI to Common Incl Extra Items,17.67%,(25.35%),33.99%,(14.43%),(31.28%)
NI to Common Excl. Extra Items,17.67%,(25.35%),33.99%,(14.43%),(31.28%)
Revenue Per Share,4.29%,11.05%,9.47%,9.76%,(4.84%)
Basic EPS,20.28%,(23.94%),34.70%,(14.70%),(31.13%)
Basic EPS - Continuing Ops,20.28%,(23.94%),34.70%,(14.70%),(31.13%)
Basic Weighted Average Shares Outst.,(2.00%),(1.79%),(0.65%),0.18%,(0.22%)
Diluted EPS,21.74%,(23.90%),34.66%,(14.21%),(31.16%)
Diluted EPS - Continuing Ops,21.74%,(23.90%),34.66%,(14.21%),(31.16%)
Diluted Weighted Average Shares Outst.,(3.21%),(2.03%),(0.26%),(0.26%),(0.01%)
Normalized Basic EPS,15.42%,(6.67%),(5.75%),(9.76%),(16.97%)
Normalized Diluted EPS,16.92%,(6.32%),(6.19%),(9.45%),(17.15%)
Dividend Per Share,0.00%,0.00%,0.00%,0.00%,0.00%
Payout Ratio,(16.34%),30.80%,(25.19%),16.72%,45.43%
EBITDA,8.94%,(3.07%),(2.65%),4.62%,(7.01%)
EBITA,11.39%,(3.70%),(4.03%),2.64%,(10.14%)
EBIT,11.66%,(3.77%),(6.41%),(3.47%),(11.22%)
EBITDAR,8.46%,(2.21%),(1.80%),5.32%,
Effective Tax Rate,(7.01%),94.14%,(76.18%),(43.60%),423.02%
Normalized Net Income,13.19%,(8.30%),(6.39%),(9.65%),(17.16%)
Interest Capitalized,(46.46%),32.44%,46.12%,28.40%,
Foreign Earnings,(9.65%),403.66%,(6.36%),(1.88%),
Foreign Sales,(0.52%),98.10%,5.40%,(4.32%),
