Income Statement,Oct 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,TTM
Revenues,2732.0,2575.2,2819.0,4030.0,4504.0,4483.0
Total Revenues,2732.0,2575.2,2819.0,4030.0,4504.0,4483.0
Cost Of Revenues,2086.0,1968.0,2155.0,3043.0,3460.0,3570.0
Gross Profit,646.0,607.2,664.0,987.0,1044.0,913.0
Selling General & Admin Expenses,207.0,184.8,182.0,326.0,365.0,323.0
Depreciation & Amortization,225.0,175.2,167.0,330.0,374.0,376.0
Total Operating Expenses,432.0,360.0,349.0,656.0,739.0,699.0
Operating Income,214.0,247.2,315.0,331.0,305.0,214.0
Interest Expense,(31.0),(24.0),(12.0),(121.0),(137.0),(119.0)
Net Interest Expenses,(31.0),(24.0),(12.0),(121.0),(137.0),(119.0)
Other Non Operating Income (Expenses),,,,(6.0),(33.0),(11.0)
"EBT, Excl. Unusual Items",183.0,223.2,303.0,204.0,135.0,84.0
"EBT, Incl. Unusual Items",129.0,141.6,199.0,112.0,(730.0),(818.0)
Income Tax Expense,49.0,55.2,(9.0),40.0,(54.0),(73.0)
Earnings From Continuing Operations,80.0,86.4,208.0,72.0,(676.0),(745.0)
Net Income to Company,80.0,86.4,208.0,72.0,(676.0),(745.0)
Net Income,80.0,86.4,208.0,72.0,(676.0),(745.0)
NI to Common Incl Extra Items,80.0,86.4,208.0,72.0,(676.0),(745.0)
NI to Common Excl. Extra Items,80.0,86.4,208.0,72.0,(676.0),(745.0)
Revenue Per Share,$19.18,$18.08,$19.79,$24.49,$27.80,$27.86
Basic EPS,$0.56,$0.61,$1.46,$0.44,($4.17),($4.63)
Basic EPS - Continuing Ops,$0.56,$0.61,$1.46,$0.44,($4.17),($4.63)
Basic Weighted Average Shares Outst.,142.4,142.4,142.4,164.6,162.0,160.9
Diluted EPS,$0.56,$0.60,$1.46,$0.44,($4.17),($4.63)
Diluted EPS - Continuing Ops,$0.56,$0.60,$1.46,$0.44,($4.17),($4.63)
Diluted Weighted Average Shares Outst.,142.4,142.4,142.4,164.8,162.0,160.9
Normalized Basic EPS,$0.80,$0.98,$1.33,$0.77,$0.52,$0.33
Normalized Diluted EPS,$0.80,$0.98,$1.33,$0.77,$0.52,$0.33
Dividend Per Share,,,,$0.20,$0.24,$0.27
Payout Ratio,,,,"1,401.39%",NM,NM
EBITDA,381.0,410.4,384.0,475.0,679.0,590.0
EBITA,214.0,247.2,315.0,349.0,534.0,472.0
EBIT,214.0,247.2,315.0,331.0,305.0,214.0
EBITDAR,410.0,,428.0,531.0,740.0,
Effective Tax Rate,38.0%,39.0%,NM,35.7%,NM,NM
Normalized Net Income,114.4,139.5,189.4,127.5,84.4,52.5
Interest on Long-Term Debt,31.0,,12.0,20.0,17.0,
