Income Statement,Apr 2017,Mar 2018,Mar 2019,Mar 2020,TTM
Revenues,(2.50%),2.01%,7.04%,2.16%,(11.54%)
Total Revenues,(2.50%),2.01%,7.04%,2.16%,(11.54%)
Cost Of Revenues,0.94%,(3.22%),7.38%,(5.10%),(12.44%)
Gross Profit,(6.76%),9.02%,6.64%,10.87%,(10.59%)
Selling General & Admin Expenses,(4.89%),(7.93%),3.21%,(0.94%),(7.71%)
R&D Expenses,(16.48%),(8.00%),1.22%,(14.23%),4.72%
Total Operating Expenses,(6.32%),(7.94%),2.99%,(2.39%),(6.58%)
Operating Income,(10.32%),155.74%,18.01%,46.89%,(18.60%)
Interest Expense,-7.06%,-2.53%,(63.64%),(7.14%),-60.05%
Interest And Investment Income,,,(15.34%),,
Net Interest Expenses,-7.06%,-42.72%,(119.05%),(36.20%),-52.48%
Currency Exchange Gains (Loss),,,,,0.00%
Other Non Operating Income (Expenses),-79.98%,,,,0.00%
"EBT, Excl. Unusual Items",(9.15%),207.73%,13.23%,45.38%,(20.72%)
"EBT, Incl. Unusual Items",-48.56%,,23.48%,18.36%,40.52%
Income Tax Expense,,,32.39%,(42.91%),94.34%
Earnings From Continuing Operations,-52.74%,,20.73%,39.09%,35.61%
Net Income to Company,-52.74%,,20.73%,39.09%,35.61%
Net Income,-52.74%,,20.73%,39.09%,35.61%
NI to Common Incl Extra Items,-52.74%,,20.73%,39.09%,35.61%
NI to Common Excl. Extra Items,-52.74%,,20.73%,39.09%,35.61%
Revenue Per Share,(3.65%),(0.38%),9.61%,3.83%,(11.02%)
Basic EPS,-53.23%,,24.14%,41.09%,36.42%
Basic EPS - Continuing Ops,-53.23%,,24.14%,41.09%,36.42%
Basic Weighted Average Shares Outst.,1.21%,2.39%,(2.32%),(1.63%),(0.59%)
Diluted EPS,-53.21%,,22.35%,42.31%,38.29%
Diluted EPS - Continuing Ops,-53.21%,,22.35%,42.31%,38.29%
Diluted Weighted Average Shares Outst.,1.21%,3.84%,(1.04%),(2.13%),(1.55%)
Normalized Basic EPS,(10.13%),198.54%,16.37%,47.23%,(20.25%)
Normalized Diluted EPS,(10.13%),194.38%,14.29%,48.54%,(19.47%)
EBITDA,(4.27%),53.78%,10.67%,26.82%,(11.80%)
EBITA,(8.27%),98.14%,14.19%,37.82%,(10.83%)
EBIT,(10.32%),155.74%,18.01%,46.89%,(18.60%)
EBITDAR,(4.49%),,,,
Effective Tax Rate,,,7.21%,(51.77%),38.30%
Normalized Net Income,(9.15%),207.73%,13.23%,45.38%,(20.72%)
Interest on Long-Term Debt,(7.06%),(2.53%),63.64%,7.14%,
R&D Expense From Footnotes,(15.41%),(16.99%),(8.96%),(13.53%),1.08%
Foreign Sales,(6.67%),(2.27%),1.56%,(5.12%),
