Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Interest Income On Loans,9.34%,10.70%,33.10%,9.48%,(6.61%)
Total Interest Income,10.85%,12.37%,36.91%,11.24%,(5.62%)
Interest On Deposits,7.57%,62.03%,110.01%,(26.16%),(55.72%)
Total Interest On Borrowings,33.46%,55.16%,67.05%,(16.37%),(47.67%)
Total Interest Expense,14.10%,60.00%,97.72%,(23.80%),(53.73%)
Net Interest Income,10.54%,7.58%,27.82%,19.35%,5.76%
Trust Income,,,,146.82%,59.95%
Gain (Loss) on Sale of Assets,,,,,839.69%
Gain (Loss) on Sale of Invest. & Securities,,46.84%,"2,033.62%",(68.51%),(66.36%)
Total Other Non Interest Income,2.44%,7.64%,1.17%,(4.97%),(14.32%)
Total Non Interest Income,(6.40%),4.20%,3.30%,13.69%,0.15%
Revenue Before Loan Losses,4.53%,6.51%,20.20%,17.84%,4.28%
Provision For Loan Losses,3.90%,(31.67%),39.59%,293.91%,18.84%
Total Revenues,4.56%,8.51%,19.56%,7.19%,3.05%
Salaries And Other Employee Benefits,5.67%,(1.10%),15.20%,16.15%,7.04%
Occupancy Expense,2.00%,5.69%,(9.06%),21.63%,7.16%
Total Selling General & Admin Expenses,31.85%,21.30%,33.80%,(1.14%),0.03%
Total Other Non Interest Expense,8.30%,(13.33%),35.73%,15.19%,0.54%
Total Non Interest Expense,8.42%,(0.42%),17.14%,13.08%,4.00%
"EBT, Excl. Unusual Items",(5.82%),36.15%,25.06%,(5.31%),0.89%
Restructuring Charges,,,,,0.00%
Asset Writedown,,,,(32.71%),-91.94%
"EBT, Incl. Unusual Items",(27.52%),63.86%,(11.09%),(24.42%),5.57%
Income Tax Expense,,,(41.65%),(20.58%),10.26%
Earnings From Continuing Operations,25.74%,13.22%,(2.76%),(25.05%),4.89%
Net Income to Company,25.74%,13.22%,(2.76%),(25.05%),4.89%
Minority Interest,(5.78%),(11.07%),(1.67%),-36.45%,-31.50%
Net Income,26.64%,13.30%,(2.92%),(24.61%),6.26%
Preferred Dividend and Other Adjustments,32.35%,(41.26%),(33.86%),(0.20%),(0.07%)
Net Income to Common Incl Extra Items,26.07%,19.07%,(1.30%),(25.46%),6.49%
Net Income to Common Excl. Extra Items,26.07%,19.07%,(1.30%),(25.46%),6.49%
Revenue Per Share,3.66%,10.52%,(9.86%),(21.19%),(12.89%)
Basic EPS,24.86%,21.48%,(25.64%),(45.25%),(9.98%)
Basic EPS - Continuing Ops,24.86%,21.48%,(25.64%),(45.25%),(9.98%)
Basic Weighted Average Shares Outst.,0.87%,(1.83%),32.65%,36.03%,18.30%
Diluted EPS,25.22%,21.20%,(25.66%),(45.10%),(9.34%)
Diluted EPS - Continuing Ops,25.22%,21.20%,(25.66%),(45.10%),(9.34%)
Diluted Weighted Average Shares Outst.,0.55%,(1.64%),32.60%,35.83%,18.05%
Normalized Basic EPS,(7.36%),40.36%,(5.02%),(29.47%),(13.86%)
Normalized Diluted EPS,(7.00%),40.05%,(4.89%),(29.51%),(13.68%)
Dividend Per Share,0.07%,100.15%,10.17%,7.69%,3.34%
Payout Ratio,(19.97%),39.03%,53.96%,79.49%,
Effective Tax Rate,,,(34.36%),5.06%,4.44%
Normalized Net Income,(6.37%),37.49%,26.07%,(4.22%),1.90%
Interest on Long-Term Debt,33.50%,55.20%,18.97%,(16.08%),
