Income Statement,Sep 2017,Sep 2018,Sep 2019,Sep 2020,TTM
Revenues,4.55%,(23.76%),(1.70%),(2.95%),(1.51%)
Total Revenues,4.55%,(23.76%),(1.70%),(2.95%),(1.51%)
Cost Of Revenues,4.48%,(23.52%),(2.75%),(3.84%),(2.16%)
Gross Profit,6.36%,(29.94%),27.69%,16.01%,11.32%
Selling General & Admin Expenses,8.97%,8.12%,9.39%,26.91%,19.40%
Total Operating Expenses,8.97%,8.12%,9.39%,26.91%,19.40%
Operating Income,5.79%,(38.48%),34.91%,12.52%,8.81%
Interest Expense,-10.40%,-13.09%,-19.67%,-0.97%,-7.54%
Interest And Investment Income,,,30.26%,(27.11%),(13.03%)
Net Interest Expenses,-7.47%,-17.99%,-22.65%,(1.66%),-6.97%
"EBT, Excl. Unusual Items",22.40%,(54.59%),72.44%,15.04%,12.04%
"EBT, Incl. Unusual Items",241.83%,(50.56%),17.42%,(6.65%),(3.09%)
Income Tax Expense,,,,238.96%,(22.92%)
Earnings From Continuing Operations,157.83%,(48.82%),9.26%,(20.72%),3.02%
Earnings Of Discontinued Operations,,,(699.52%),-24.40%,-12.04%
Net Income to Company,157.83%,(62.83%),,-28.08%,-26.22%
Minority Interest,(21.86%),-75.40%,(22.34%),-33.64%,-25.41%
Net Income,253.13%,(59.79%),,-28.61%,-26.15%
NI to Common Incl Extra Items,253.13%,(59.79%),,-28.61%,-26.15%
NI to Common Excl. Extra Items,253.13%,(42.40%),7.91%,(19.20%),6.24%
Revenue Per Share,3.91%,(25.37%),(0.41%),(4.15%),(1.67%)
Basic EPS,251.51%,(60.65%),,-29.39%,-26.27%
Basic EPS - Continuing Ops,251.51%,(43.63%),9.21%,(20.00%),6.07%
Basic Weighted Average Shares Outst.,0.62%,2.17%,(1.29%),1.25%,0.16%
Diluted EPS,243.55%,(60.74%),,-29.74%,-26.39%
Diluted EPS - Continuing Ops,243.55%,(43.66%),10.00%,(19.70%),6.30%
Diluted Weighted Average Shares Outst.,1.96%,1.96%,(1.59%),1.01%,0.16%
Normalized Basic EPS,21.48%,(47.65%),82.95%,19.35%,15.75%
Normalized Diluted EPS,19.96%,(47.51%),85.14%,19.49%,15.75%
EBITDA,(11.55%),(26.96%),20.22%,4.70%,0.89%
EBITA,(9.47%),(33.37%),24.72%,4.37%,1.61%
EBIT,5.79%,(38.48%),34.91%,12.52%,8.81%
EBITDAR,(17.16%),,,,
Effective Tax Rate,,,,262.91%,(20.47%)
Normalized Net Income,22.62%,(46.46%),81.44%,20.93%,15.94%
Foreign Sales,275.81%,(23.76%),(1.70%),(2.95%),
