Income Statement,Dec 2016,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Interest Income On Loans,626.0,772.9,878.8,973.6,909.9,883.4
Total Interest Income,732.2,900.6,1028.3,1125.8,1058.0,1031.4
Interest On Deposits,48.9,76.5,130.7,188.0,88.3,58.3
Total Interest On Borrowings,24.1,31.7,48.7,42.6,27.2,27.2
Total Interest Expense,73.1,108.3,179.4,230.6,115.5,85.5
Net Interest Income,659.1,792.3,848.8,895.2,942.5,945.9
Service Charges On Deposits,74.2,83.2,85.3,86.4,76.7,73.0
Trust Income,46.6,44.5,55.5,61.6,58.2,58.4
Total Mortgage Banking Activities,16.3,15.2,15.6,19.9,40.2,45.9
Gain (Loss) on Sale of Assets,7.8,7.5,24.7,0.6,1.0,1.0
Gain (Loss) on Sale of Invest. & Securities,1.8,(0.5),2.6,(4.9),(3.4),(3.4)
Total Other Non Interest Income,104.2,113.0,96.3,147.5,147.9,148.4
Total Non Interest Income,250.8,262.9,280.0,311.0,320.6,323.3
Revenue Before Loan Losses,909.9,1055.2,1128.8,1206.2,1263.1,1269.2
Provision For Loan Losses,110.7,59.0,36.1,47.7,602.9,351.2
Total Revenues,799.2,996.3,1092.7,1158.5,660.2,918.0
Salaries And Other Employee Benefits,340.3,374.3,384.9,411.5,443.0,449.0
Amort. of Goodwill & Intang. Assets,19.8,22.4,22.1,20.8,19.9,19.0
Occupancy Expense,41.3,30.9,47.8,31.2,33.5,34.0
Total Selling General & Admin Expenses,127.0,171.1,164.2,190.0,209.8,209.8
Total Other Non Interest Expense,56.1,55.6,59.9,59.4,50.5,44.6
Total Non Interest Expense,604.6,681.2,707.3,733.2,784.9,774.7
"EBT, Excl. Unusual Items",194.6,315.0,385.4,425.3,(124.7),143.3
Other Unusual Items,(7.7),(6.6),(3.3),,,
"EBT, Incl. Unusual Items",186.9,308.4,382.1,392.7,(124.7),143.3
Income Tax Expense,37.6,92.8,58.3,65.4,(79.6),(29.7)
Earnings From Continuing Operations,149.3,215.6,323.8,327.4,(45.2),173.0
Net Income to Company,149.3,215.6,323.8,327.4,(45.2),173.0
Net Income,149.3,215.6,323.8,327.4,(45.2),173.0
Preferred Dividend and Other Adjustments,3.6,4.7,5.9,5.5,1.8,3.7
Net Income to Common Incl Extra Items,145.7,211.0,317.8,321.8,(46.9),169.4
Net Income to Common Excl. Extra Items,145.7,211.0,317.8,321.8,(46.9),169.4
Revenue Per Share,$10.27,$11.76,$12.80,$13.39,$7.63,$10.62
Basic EPS,$1.87,$2.49,$3.72,$3.72,($0.54),$1.96
Basic EPS - Continuing Ops,$1.87,$2.49,$3.72,$3.72,($0.54),$1.96
Basic Weighted Average Shares Outst.,77.9,84.7,85.4,86.5,86.5,86.4
Diluted EPS,$1.87,$2.48,$3.72,$3.72,($0.54),$1.96
Diluted EPS - Continuing Ops,$1.87,$2.48,$3.72,$3.72,($0.54),$1.96
Diluted Weighted Average Shares Outst.,77.9,85.0,85.5,86.6,86.5,86.4
Normalized Basic EPS,$1.56,$2.32,$2.82,$3.07,($0.90),$1.04
Normalized Diluted EPS,$1.56,$2.32,$2.82,$3.07,($0.90),$1.04
Dividend Per Share,$0.96,$0.96,$1.02,$1.08,$1.08,$1.08
Payout Ratio,51.27%,38.61%,27.44%,28.98%,NM,
Effective Tax Rate,20.1%,30.1%,15.3%,16.6%,NM,NM
Normalized Net Income,121.6,196.9,240.9,265.8,(78.0),89.6
Interest on Long-Term Debt,20.1,16.0,12.6,11.8,17.2,
