Income Statement,Oct 2016,Oct 2017,Oct 2018,Oct 2019,Oct 2020,TTM
Revenues,5169.5,5815.1,7143.3,7224.0,7077.7,7309.6
Total Revenues,5169.5,5815.1,7143.3,7224.0,7077.7,7309.6
Cost Of Revenues,4130.3,4547.5,5511.4,5621.6,5604.1,5772.2
Gross Profit,1039.3,1267.5,1631.9,1602.4,1473.6,1537.4
Selling General & Admin Expenses,535.4,606.7,822.4,881.2,862.6,854.8
Total Operating Expenses,535.4,606.7,822.4,881.2,862.6,854.8
Operating Income,503.9,660.9,809.5,721.2,611.0,682.6
Interest Expense,(1.1),(4.8),(3.8),,(2.4),(2.4)
Interest And Investment Income,2.4,6.0,8.6,19.0,10.0,6.6
Net Interest Expenses,1.3,1.2,4.8,19.0,7.6,4.1
Other Non Operating Income (Expenses),55.6,51.0,63.3,29.3,18.2,22.4
"EBT, Excl. Unusual Items",601.5,829.1,962.9,794.4,637.7,699.2
"EBT, Incl. Unusual Items",589.0,814.3,933.9,787.2,586.9,648.4
Income Tax Expense,206.9,278.8,185.8,197.2,140.3,162.1
Earnings From Continuing Operations,382.1,535.5,748.2,590.0,446.6,486.2
Net Income to Company,382.1,535.5,748.2,590.0,446.6,486.2
Net Income,382.1,535.5,748.2,590.0,446.6,486.2
NI to Common Incl Extra Items,382.1,535.5,748.2,590.0,446.6,486.2
NI to Common Excl. Extra Items,382.1,535.5,748.2,590.0,446.6,486.2
Revenue Per Share,$30.72,$35.85,$47.00,$49.82,$54.40,$57.52
Basic EPS,$2.27,$3.30,$4.92,$4.07,$3.43,$3.83
Basic EPS - Continuing Ops,$2.27,$3.30,$4.92,$4.07,$3.43,$3.83
Basic Weighted Average Shares Outst.,168.3,162.2,152.0,145.0,130.1,127.1
Diluted EPS,$2.18,$3.17,$4.85,$4.03,$3.40,$3.79
Diluted EPS - Continuing Ops,$2.18,$3.17,$4.85,$4.03,$3.40,$3.79
Diluted Weighted Average Shares Outst.,176.0,169.5,154.2,146.5,131.2,128.2
Normalized Basic EPS,$2.23,$3.19,$3.96,$3.42,$3.06,$3.44
Normalized Diluted EPS,$2.14,$3.06,$3.90,$3.39,$3.04,$3.41
Dividend Per Share,,$0.24,$0.41,$0.44,$0.44,$0.44
Payout Ratio,,7.21%,8.25%,10.79%,12.67%,11.50%
EBITDA,527.0,686.2,834.8,793.4,679.9,753.7
EBITA,503.9,660.9,809.5,721.2,611.0,682.6
EBIT,503.9,660.9,809.5,721.2,611.0,682.6
EBITDAR,539.6,700.7,850.6,813.6,701.5,
Effective Tax Rate,35.1%,34.2%,19.9%,25.0%,23.9%,25.0%
Normalized Net Income,376.0,518.2,601.8,496.5,398.6,437.0
Interest Capitalized,164.0,175.9,166.0,178.0,172.5,
