Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,3.12%,39.43%,57.23%,3.06%,3.62%
Total Revenues,3.12%,39.43%,57.23%,3.06%,3.62%
Cost Of Revenues,11.09%,38.15%,42.81%,0.39%,4.35%
Gross Profit,(6.57%),41.28%,77.63%,6.10%,2.82%
Selling General & Admin Expenses,(10.52%),50.03%,40.39%,8.38%,12.74%
Total Operating Expenses,(10.52%),69.90%,52.04%,7.60%,12.35%
Operating Income,3.89%,(24.15%),208.65%,2.33%,(19.14%)
Interest Expense,0.00%,(16.67%),(14.29%),(75.00%),(110.00%)
Interest And Investment Income,120.00%,290.91%,146.51%,(62.26%),(82.68%)
Net Interest Expenses,,620.00%,172.22%,(73.47%),(99.15%)
Other Non Operating Income (Expenses),,-17.63%,,(89.48%),
"EBT, Excl. Unusual Items",0.95%,(18.51%),215.15%,(3.80%),(22.32%)
"EBT, Incl. Unusual Items",(8.11%),,,(7.89%),(41.71%)
Income Tax Expense,42.44%,,,(34.98%),(40.25%)
Earnings From Continuing Operations,(40.77%),,,6.32%,(42.21%)
Net Income to Company,(40.77%),,,6.32%,(42.21%)
Net Income,(40.77%),,,6.32%,(42.21%)
NI to Common Incl Extra Items,(40.77%),,,6.32%,(42.21%)
NI to Common Excl. Extra Items,(40.77%),,,6.32%,(42.21%)
Revenue Per Share,2.47%,(1.99%),9.94%,(1.08%),(2.51%)
Basic EPS,(41.15%),,,2.19%,(45.63%)
Basic EPS - Continuing Ops,(41.15%),,,2.19%,(45.63%)
Basic Weighted Average Shares Outst.,0.64%,42.26%,43.02%,4.18%,6.29%
Diluted EPS,(42.68%),,,2.72%,(45.47%)
Diluted EPS - Continuing Ops,(42.68%),,,2.72%,(45.47%)
Diluted Weighted Average Shares Outst.,3.26%,35.64%,45.47%,3.45%,5.78%
Normalized Basic EPS,0.29%,(42.72%),120.53%,(7.66%),(26.92%)
Normalized Diluted EPS,(2.31%),(40.01%),116.82%,(7.02%),(26.57%)
Dividend Per Share,,50.00%,40.00%,14.29%,9.09%
Payout Ratio,,,,12.88%,103.31%
EBITDA,4.20%,25.96%,143.54%,2.93%,(6.27%)
EBITA,3.89%,16.68%,184.42%,2.71%,(10.96%)
EBIT,3.89%,(24.15%),208.65%,2.33%,(19.14%)
EBITDAR,2.77%,20.06%,97.73%,1.97%,
Effective Tax Rate,54.99%,(70.22%),,(29.41%),2.50%
Normalized Net Income,0.95%,(18.51%),215.15%,(3.80%),(22.32%)
Interest on Long-Term Debt,,,14.29%,75.00%,
