Income Statement,Feb 2018,Feb 2019,Feb 2020,Jan 2021,TTM
Revenues,20.97%,15.26%,13.44%,28.45%,28.45%
Total Revenues,20.97%,15.26%,13.44%,28.45%,28.45%
Cost Of Revenues,21.79%,15.24%,14.64%,27.31%,27.31%
Gross Profit,19.77%,15.29%,11.64%,30.20%,30.20%
Selling General & Admin Expenses,14.53%,12.44%,14.16%,14.66%,14.66%
Depreciation & Amortization,16.27%,18.81%,25.02%,14.56%,14.56%
Total Operating Expenses,14.59%,13.42%,14.65%,13.42%,13.42%
Operating Income,32.84%,19.37%,5.41%,67.98%,67.98%
Interest Expense,-24.67%,-71.80%,,,
Interest And Investment Income,,,,(68.34%),(68.34%)
Net Interest Expenses,-24.67%,-71.80%,,(68.34%),(68.34%)
"EBT, Excl. Unusual Items",36.39%,22.48%,6.79%,67.28%,67.28%
"EBT, Incl. Unusual Items",35.56%,23.11%,7.53%,60.81%,60.81%
Income Tax Expense,(92.07%),785.93%,23.30%,11.01%,11.01%
Earnings From Continuing Operations,113.50%,5.81%,4.53%,71.97%,71.97%
Net Income to Company,113.50%,5.81%,4.53%,71.97%,71.97%
Net Income,113.50%,5.81%,4.53%,71.97%,71.97%
NI to Common Incl Extra Items,113.50%,5.81%,4.53%,71.97%,71.97%
NI to Common Excl. Extra Items,113.50%,5.81%,4.53%,71.97%,71.97%
Revenue Per Share,18.61%,13.05%,12.28%,25.39%,25.41%
Basic EPS,110.07%,3.74%,3.36%,68.09%,67.89%
Basic EPS - Continuing Ops,110.07%,3.74%,3.36%,68.09%,67.89%
Basic Weighted Average Shares Outst.,1.98%,1.98%,1.03%,2.43%,2.43%
Diluted EPS,104.17%,4.59%,4.39%,71.96%,71.96%
Diluted EPS - Continuing Ops,104.17%,4.59%,4.39%,71.96%,71.96%
Diluted Weighted Average Shares Outst.,4.06%,1.47%,(0.05%),(0.00%),(0.00%)
Normalized Basic EPS,33.74%,19.86%,5.44%,63.09%,63.32%
Normalized Diluted EPS,31.60%,21.02%,7.18%,67.19%,67.29%
EBITDA,31.15%,19.17%,6.79%,64.26%,64.26%
EBITA,32.68%,19.32%,5.20%,67.98%,67.98%
EBIT,32.84%,19.37%,5.41%,67.98%,67.98%
EBITDAR,28.30%,17.33%,13.33%,52.14%,
Effective Tax Rate,(94.15%),618.68%,14.71%,(30.99%),(30.97%)
Normalized Net Income,36.39%,22.48%,6.79%,67.28%,67.28%
