Income Statement,Sep 2016,Sep 2017,Sep 2018,Sep 2019,Sep 2020,TTM
Revenues,2403.4,2451.0,2392.2,2886.8,3461.5,3588.9
Total Revenues,2403.4,2451.0,2392.2,2886.8,3461.5,3588.9
Cost Of Revenues,1841.2,1839.1,1797.9,2215.6,2750.5,2847.3
Gross Profit,562.2,611.9,594.4,671.2,711.0,741.6
Selling General & Admin Expenses,268.3,284.5,284.3,318.3,382.5,399.9
Total Operating Expenses,281.6,296.7,294.6,351.4,418.1,433.0
Operating Income,280.6,315.2,299.8,319.8,292.9,308.6
Interest Expense,(4.1),(2.2),(1.0),(3.0),(2.1),(1.8)
Interest And Investment Income,0.7,,,,,
Net Interest Expenses,(3.5),(2.2),(1.0),(3.0),(2.1),(1.8)
Other Non Operating Income (Expenses),2.8,2.9,4.7,3.2,0.8,(0.7)
"EBT, Excl. Unusual Items",279.9,315.9,303.5,320.0,291.7,306.2
"EBT, Incl. Unusual Items",286.0,314.2,299.2,317.3,287.1,294.3
Income Tax Expense,105.8,102.1,78.4,76.8,72.6,74.4
Earnings From Continuing Operations,180.2,212.2,220.8,240.5,214.5,219.9
Net Income to Company,180.2,212.2,220.8,240.5,214.5,219.9
Minority Interest,(1.8),(2.8),(0.1),0.3,,
Net Income,178.4,209.4,220.8,240.8,214.5,219.9
NI to Common Incl Extra Items,178.4,209.4,220.8,240.8,214.5,219.9
NI to Common Excl. Extra Items,178.4,209.4,220.8,240.8,214.5,219.9
Revenue Per Share,$36.51,$37.34,$36.52,$44.76,$54.89,$57.49
Basic EPS,$2.71,$3.19,$3.37,$3.73,$3.40,$3.52
Basic EPS - Continuing Ops,$2.71,$3.19,$3.37,$3.73,$3.40,$3.52
Basic Weighted Average Shares Outst.,65.8,65.6,65.5,64.5,63.1,62.4
Diluted EPS,$2.69,$3.17,$3.35,$3.72,$3.39,$3.51
Diluted EPS - Continuing Ops,$2.69,$3.17,$3.35,$3.72,$3.39,$3.51
Diluted Weighted Average Shares Outst.,66.2,66.1,65.9,64.8,63.3,62.7
Normalized Basic EPS,$2.63,$2.97,$2.90,$3.11,$2.89,$3.07
Normalized Diluted EPS,$2.61,$2.95,$2.88,$3.09,$2.88,$3.05
Dividend Per Share,$0.18,$0.18,$0.18,$1.00,$1.12,$1.12
Payout Ratio,6.56%,5.57%,5.30%,26.53%,32.70%,31.59%
EBITDA,343.1,372.6,350.8,398.1,383.5,393.1
EBITA,293.9,327.4,310.1,352.9,328.5,341.7
EBIT,280.6,315.2,299.8,319.8,292.9,308.6
EBITDAR,418.5,453.2,,,508.7,
Effective Tax Rate,37.0%,32.5%,26.2%,24.2%,25.3%,25.3%
Normalized Net Income,173.2,194.7,189.6,200.3,182.3,191.4
Foreign Sales,682.1,685.3,699.4,599.1,498.9,
