Income Statement,Feb 2018,Feb 2019,Feb 2020,Feb 2021,TTM
Revenues,5.82%,5.77%,9.16%,22.92%,22.92%
Total Revenues,5.82%,5.77%,9.16%,22.92%,22.92%
Cost Of Revenues,5.28%,6.38%,5.41%,20.40%,20.40%
Gross Profit,6.59%,4.89%,14.56%,26.26%,26.26%
Selling General & Admin Expenses,5.08%,10.75%,16.79%,22.29%,22.29%
R&D Expenses,14.41%,(3.70%),36.92%,71.91%,71.91%
Depreciation & Amortization,16.67%,3.57%,1.72%,12.71%,12.71%
Total Operating Expenses,4.56%,5.09%,16.99%,23.79%,23.79%
Operating Income,11.25%,4.46%,9.27%,32.00%,32.00%
Interest Expense,-2.85%,-16.00%,(8.41%),-0.69%,-0.69%
Net Interest Expenses,-2.85%,-16.00%,(8.41%),-0.69%,-0.69%
Currency Exchange Gains (Loss),,,69.23%,,
Other Non Operating Income (Expenses),(21.01%),3.98%,15.88%,41.88%,41.88%
"EBT, Excl. Unusual Items",10.15%,8.65%,9.74%,32.33%,32.33%
"EBT, Incl. Unusual Items",(0.18%),20.95%,(11.73%),62.37%,62.37%
Income Tax Expense,132.80%,(48.12%),(1.23%),13.79%,13.79%
Earnings From Continuing Operations,(10.69%),35.18%,(12.56%),66.70%,66.70%
Earnings Of Discontinued Operations,"(2,231.84%)",-93.27%,,,
Net Income to Company,(68.41%),279.21%,(9.62%),66.70%,66.70%
Net Income,(68.41%),279.21%,(9.62%),66.70%,66.70%
NI to Common Incl Extra Items,(68.41%),279.21%,(9.62%),66.70%,66.70%
NI to Common Excl. Extra Items,(10.69%),35.18%,(12.56%),66.70%,66.70%
Revenue Per Share,7.55%,9.83%,13.31%,23.57%,23.58%
Basic EPS,(67.88%),294.17%,(6.12%),67.72%,67.59%
Basic EPS - Continuing Ops,(9.16%),40.38%,(9.21%),67.72%,67.59%
Basic Weighted Average Shares Outst.,(1.62%),(3.71%),(3.66%),(0.53%),(0.53%)
Diluted EPS,(67.62%),292.89%,(5.94%),67.44%,67.44%
Diluted EPS - Continuing Ops,(8.51%),39.96%,(9.06%),67.44%,67.44%
Diluted Weighted Average Shares Outst.,(2.28%),(3.49%),(3.73%),(0.50%),(0.50%)
Normalized Basic EPS,11.82%,12.84%,13.98%,33.08%,33.04%
Normalized Diluted EPS,12.64%,12.68%,14.05%,32.98%,32.99%
EBITDA,8.15%,2.12%,11.30%,27.48%,27.48%
EBITA,8.37%,1.87%,11.94%,27.69%,27.69%
EBIT,11.25%,4.46%,9.27%,32.00%,32.00%
EBITDAR,8.04%,3.10%,10.89%,27.31%,
Effective Tax Rate,133.08%,(57.10%),11.87%,(29.92%),(29.91%)
Normalized Net Income,10.15%,8.65%,9.74%,32.33%,32.33%
Interest on Long-Term Debt,(3.32%),,,,
R&D Expense From Footnotes,14.41%,(3.70%),36.92%,71.91%,71.91%
Foreign Sales,(77.31%),7.95%,2.26%,23.53%,
