Income Statement,Jan 2017,Feb 2018,Feb 2019,Feb 2020,Jan 2021,TTM
Revenues,1000.4,1278.2,1559.6,1846.7,1962.1,1962.1
Total Revenues,1000.4,1278.2,1559.6,1846.7,1962.1,1962.1
Cost Of Revenues,643.4,814.8,994.5,1172.8,1309.8,1309.8
Gross Profit,357.0,463.4,565.1,674.0,652.3,652.3
Selling General & Admin Expenses,216.5,272.8,336.4,401.7,428.2,428.2
Depreciation & Amortization,26.6,33.2,41.5,55.0,69.3,69.3
Total Operating Expenses,243.1,306.0,377.9,456.7,497.5,497.5
Operating Income,114.0,157.4,187.2,217.3,154.8,154.8
Interest Expense,,,,,(1.7),(1.7)
Interest And Investment Income,0.3,1.5,4.6,4.3,,
Net Interest Expenses,0.3,1.5,4.6,4.3,(1.7),(1.7)
"EBT, Excl. Unusual Items",114.3,158.8,191.8,221.6,153.1,153.1
"EBT, Incl. Unusual Items",114.3,158.8,191.8,221.6,153.1,153.1
Income Tax Expense,42.4,56.4,42.2,46.5,29.7,29.7
Earnings From Continuing Operations,71.8,102.5,149.6,175.1,123.4,123.4
Net Income to Company,71.8,102.5,149.6,175.1,123.4,123.4
Net Income,71.8,102.5,149.6,175.1,123.4,123.4
NI to Common Incl Extra Items,71.8,102.5,149.6,175.1,123.4,123.4
NI to Common Excl. Extra Items,71.8,102.5,149.6,175.1,123.4,123.4
Revenue Per Share,$18.24,$23.15,$27.97,$33.08,$35.15,$35.15
Basic EPS,$1.31,$1.86,$2.68,$3.14,$2.21,$2.21
Basic EPS - Continuing Ops,$1.31,$1.86,$2.68,$3.14,$2.21,$2.21
Basic Weighted Average Shares Outst.,54.8,55.2,55.8,55.8,55.8,55.8
Diluted EPS,$1.30,$1.84,$2.66,$3.12,$2.20,$2.20
Diluted EPS - Continuing Ops,$1.30,$1.84,$2.66,$3.12,$2.20,$2.20
Diluted Weighted Average Shares Outst.,55.1,55.6,56.2,56.2,56.1,56.1
Normalized Basic EPS,$1.30,$1.80,$2.15,$2.48,$1.71,$1.71
Normalized Diluted EPS,$1.30,$1.79,$2.13,$2.47,$1.71,$1.71
EBITDA,140.6,190.6,228.6,272.3,224.1,224.1
EBITA,114.0,157.4,187.2,217.3,154.8,154.8
EBIT,114.0,157.4,187.2,217.3,154.8,154.8
EBITDAR,219.1,288.8,347.6,457.6,442.2,442.2
Effective Tax Rate,37.1%,35.5%,22.0%,21.0%,19.4%,19.4%
Normalized Net Income,71.4,99.3,119.9,138.5,95.7,95.7
