Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Interest Income On Loans,3.08%,9.99%,4.76%,(9.54%),(10.45%)
Total Interest Income,3.60%,10.37%,5.01%,(9.54%),(10.04%)
Interest On Deposits,45.01%,75.38%,85.25%,(59.81%),(72.69%)
Total Interest On Borrowings,17.92%,49.04%,39.86%,(48.47%),(62.52%)
Total Interest Expense,33.55%,65.54%,69.98%,(56.67%),(69.86%)
Net Interest Income,1.90%,6.26%,(2.53%),(0.01%),1.64%
Service Charges On Deposits,5.32%,7.85%,(11.34%),(29.28%),(21.66%)
Gain (Loss) on Sale of Invest. & Securities,,,211.22%,(48.24%),(1.18%)
Total Other Non Interest Income,22.92%,10.84%,(15.01%),18.78%,22.87%
Total Non Interest Income,14.31%,15.60%,(4.09%),2.45%,15.07%
Revenue Before Loan Losses,3.20%,7.35%,(2.72%),0.30%,3.28%
Provision For Loan Losses,(12.14%),(22.08%),(51.11%),"1,440.91%",37.69%
Total Revenues,4.20%,8.96%,(0.82%),(27.62%),(1.10%)
Salaries And Other Employee Benefits,5.43%,5.16%,2.45%,(4.58%),7.31%
Amort. of Goodwill & Intang. Assets,(13.79%),58.05%,(16.80%),(21.22%),(22.02%)
Total Selling General & Admin Expenses,3.85%,9.91%,0.06%,2.52%,2.73%
Total Other Non Interest Expense,18.87%,(0.15%),(4.92%),11.69%,7.71%
Total Non Interest Expense,5.78%,7.05%,(1.48%),0.89%,6.85%
"EBT, Excl. Unusual Items",2.93%,10.55%,(0.28%),(50.22%),(8.77%)
Impairment of Goodwill,,,,,-100.00%
Other Unusual Items,,,,,0.00%
"EBT, Incl. Unusual Items",(0.57%),14.17%,(0.06%),,
Income Tax Expense,(4.30%),(14.69%),(2.19%),(54.25%),(12.38%)
Earnings From Continuing Operations,1.60%,30.05%,0.71%,,
Net Income to Company,1.60%,30.05%,0.71%,,
Net Income,1.60%,30.05%,0.71%,,
Preferred Dividend and Other Adjustments,4.91%,22.35%,1.23%,(65.61%),(34.84%)
Net Income to Common Incl Extra Items,1.57%,30.14%,0.70%,,
Net Income to Common Excl. Extra Items,1.57%,30.14%,0.70%,,
Revenue Per Share,3.07%,7.14%,3.05%,(26.30%),0.02%
Basic EPS,0.27%,27.91%,4.72%,,
Basic EPS - Continuing Ops,0.27%,27.91%,4.72%,,
Basic Weighted Average Shares Outst.,1.14%,1.67%,(3.78%),(1.78%),(1.12%)
Diluted EPS,0.27%,27.84%,4.72%,,
Diluted EPS - Continuing Ops,0.27%,27.84%,4.72%,,
Diluted Weighted Average Shares Outst.,1.14%,1.67%,(3.78%),(1.78%),(1.12%)
Normalized Basic EPS,1.80%,8.83%,3.65%,(49.36%),(7.73%)
Normalized Diluted EPS,1.80%,8.83%,3.65%,(49.36%),(7.73%)
Dividend Per Share,0.00%,15.00%,4.35%,(43.75%),(58.33%)
Payout Ratio,0.02%,(10.43%),(0.41%),,
Effective Tax Rate,(3.75%),(25.29%),(2.12%),,
Normalized Net Income,2.93%,10.55%,(0.28%),(50.22%),(8.77%)
Interest on Long-Term Debt,13.25%,21.25%,4.23%,(29.27%),
