Income Statement,Dec 2016,Dec 2017,Dec 2018,Dec 2019,Jan 2021,TTM
Revenues,2267.9,2335.5,2722.9,2959.4,2513.3,2593.9
Total Revenues,2267.9,2335.5,2722.9,2959.4,2513.3,2593.9
Cost Of Revenues,1366.7,1422.8,1718.8,1855.9,1631.2,1686.1
Gross Profit,901.2,912.7,1004.1,1103.5,882.0,907.7
Selling General & Admin Expenses,444.4,436.5,499.8,554.0,491.9,501.6
Total Operating Expenses,444.4,436.5,499.8,554.0,491.9,501.6
Operating Income,456.7,476.3,504.3,549.5,390.1,406.1
Interest Expense,(23.9),(26.0),(58.7),(82.6),(78.6),(79.0)
Net Interest Expenses,(23.9),(26.0),(58.7),(82.6),(78.6),(79.0)
Currency Exchange Gains (Loss),(1.9),(2.4),(2.6),0.9,(2.9),(2.9)
Other Non Operating Income (Expenses),0.9,1.6,0.8,1.4,(0.2),4.8
"EBT, Excl. Unusual Items",431.8,449.4,443.8,469.2,308.5,329.1
"EBT, Incl. Unusual Items",421.3,383.5,423.5,462.6,268.1,289.8
Income Tax Expense,137.1,85.4,106.4,110.4,60.8,67.0
Earnings From Continuing Operations,284.2,298.1,317.2,352.2,207.3,222.8
Net Income to Company,284.2,298.1,317.2,352.2,207.3,222.8
Net Income,284.2,298.1,317.2,352.2,207.3,222.8
NI to Common Incl Extra Items,284.2,298.1,317.2,352.2,207.3,222.8
NI to Common Excl. Extra Items,284.2,298.1,317.2,352.2,207.3,222.8
Revenue Per Share,$39.77,$41.18,$48.99,$53.18,$45.62,$47.12
Basic EPS,$4.98,$5.26,$5.71,$6.33,$3.76,$4.05
Basic EPS - Continuing Ops,$4.98,$5.26,$5.71,$6.33,$3.76,$4.05
Basic Weighted Average Shares Outst.,57.0,56.7,55.6,55.6,55.1,55.0
Diluted EPS,$4.98,$5.26,$5.70,$6.33,$3.76,$4.03
Diluted EPS - Continuing Ops,$4.98,$5.26,$5.70,$6.33,$3.76,$4.03
Diluted Weighted Average Shares Outst.,57.1,56.7,55.6,55.7,55.1,55.3
Normalized Basic EPS,$4.73,$4.95,$4.99,$5.27,$3.50,$3.74
Normalized Diluted EPS,$4.73,$4.95,$4.99,$5.27,$3.50,$3.72
EBITDA,515.0,544.6,600.1,651.4,498.2,514.6
EBITA,486.6,514.9,564.3,613.5,459.1,406.1
EBIT,456.7,476.3,504.3,549.5,390.1,406.1
EBITDAR,538.5,571.7,630.3,682.4,529.4,
Effective Tax Rate,32.5%,22.3%,25.1%,23.9%,22.7%,23.1%
Normalized Net Income,269.9,280.9,277.3,293.3,192.8,205.7
Interest on Long-Term Debt,,,,,10.7,
R&D Expense From Footnotes,26.3,29.1,35.3,41.2,35.3,35.3
Foreign Sales,765.7,2335.5,2722.9,2959.4,2513.3,
