Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,68.75%,(26.28%),63.76%,5.85%,4.86%
Total Revenues,68.75%,(26.28%),63.76%,5.85%,4.86%
Cost Of Revenues,86.25%,(4.82%),38.21%,10.80%,0.74%
Gross Profit,64.57%,(32.09%),73.45%,4.35%,6.13%
Selling General & Admin Expenses,43.95%,0.41%,26.84%,2.91%,(1.11%)
R&D Expenses,14.97%,9.31%,32.69%,17.70%,17.02%
Total Operating Expenses,28.54%,4.02%,24.60%,9.39%,7.54%
Operating Income,112.65%,(61.21%),179.09%,(0.52%),4.80%
Interest And Investment Income,55.89%,132.51%,40.95%,(52.39%),(69.09%)
Net Interest Expenses,55.89%,132.51%,40.95%,(52.39%),(69.09%)
Other Non Operating Income (Expenses),,"(1,975.00%)",,12.65%,4.95%
"EBT, Excl. Unusual Items",116.85%,(56.99%),164.19%,(3.75%),0.63%
"EBT, Incl. Unusual Items",117.99%,(56.99%),164.19%,(3.75%),0.63%
Income Tax Expense,122.39%,(88.02%),477.61%,(4.57%),(2.28%)
Earnings From Continuing Operations,116.11%,(43.36%),135.05%,(3.57%),1.32%
Net Income to Company,116.11%,(43.36%),135.05%,(3.57%),1.32%
Net Income,116.11%,(43.36%),135.05%,(3.57%),1.32%
Preferred Dividend and Other Adjustments,123.16%,(57.88%),60.29%,(9.49%),(10.63%)
NI to Common Incl Extra Items,116.00%,(43.13%),135.94%,(3.52%),1.42%
NI to Common Excl. Extra Items,116.00%,(43.13%),135.94%,(3.52%),1.42%
Revenue Per Share,67.44%,(26.45%),63.41%,5.29%,4.35%
Basic EPS,114.54%,(43.32%),135.61%,(3.95%),0.92%
Basic EPS - Continuing Ops,114.54%,(43.32%),135.61%,(3.95%),0.92%
Basic Weighted Average Shares Outst.,0.68%,0.27%,0.24%,0.51%,0.50%
Diluted EPS,113.73%,(43.12%),135.48%,(4.11%),0.68%
Diluted EPS - Continuing Ops,113.73%,(43.12%),135.48%,(4.11%),0.68%
Diluted Weighted Average Shares Outst.,0.58%,0.20%,0.21%,0.51%,0.52%
Normalized Basic EPS,115.08%,(57.10%),162.94%,(4.18%),0.14%
Normalized Diluted EPS,114.71%,(57.15%),162.74%,(4.26%),0.11%
Dividend Per Share,,100.00%,66.67%,50.00%,44.44%
Payout Ratio,,253.46%,(29.11%),56.47%,43.31%
EBITDA,93.39%,(49.58%),120.78%,1.01%,5.22%
EBITA,97.30%,(53.22%),129.11%,(0.45%),4.25%
EBIT,112.65%,(61.21%),179.09%,(0.52%),4.80%
EBITDAR,,(48.88%),118.65%,1.12%,
Effective Tax Rate,2.00%,(72.14%),118.56%,(0.85%),(2.90%)
Normalized Net Income,116.85%,(56.99%),164.19%,(3.75%),0.63%
R&D Expense From Footnotes,18.93%,6.56%,23.63%,13.73%,13.35%
Foreign Sales,66.72%,(28.18%),68.37%,5.32%,
