Income Statement,Apr 2016,Apr 2017,Apr 2018,Apr 2019,Apr 2020,TTM
Revenues,5386.7,5593.1,5465.7,5574.5,5490.0,5636.7
Total Revenues,5386.7,5593.1,5465.7,5574.5,5490.0,5636.7
Cost Of Revenues,4064.0,4291.7,4266.3,4383.7,4292.6,4444.0
Gross Profit,1322.7,1301.4,1199.4,1190.8,1197.4,1192.8
Selling General & Admin Expenses,961.3,977.2,979.5,1017.2,1011.3,954.6
Total Operating Expenses,961.3,977.2,979.5,1017.2,1011.3,951.7
Operating Income,361.4,324.2,219.9,173.6,186.1,241.1
Interest Expense,(50.1),(43.1),(46.7),(42.6),(60.5),(39.4)
Interest And Investment Income,,,,,,4.0
Net Interest Expenses,(50.1),(43.1),(46.7),(42.6),(60.5),(35.4)
Other Non Operating Income (Expenses),4.0,6.0,6.1,(1.0),0.6,0.6
"EBT, Excl. Unusual Items",315.4,287.2,179.3,130.0,126.3,206.3
"EBT, Incl. Unusual Items",301.7,250.9,179.3,106.2,(590.4),(468.7)
Income Tax Expense,116.0,77.1,(21.7),23.4,(1.0),13.5
Earnings From Continuing Operations,185.7,173.8,201.0,82.9,(589.4),(482.2)
Earnings Of Discontinued Operations,1.5,(2.9),,,,
Net Income to Company,187.2,170.9,201.0,82.9,(589.4),(482.2)
Minority Interest,,,,0.8,0.9,0.8
Net Income,187.2,170.9,201.0,83.6,(588.4),(481.4)
NI to Common Incl Extra Items,187.2,170.9,201.0,83.6,(588.4),(481.4)
NI to Common Excl. Extra Items,185.7,173.8,201.0,83.6,(588.4),(481.4)
Revenue Per Share,$55.41,$58.94,$59.11,$60.10,$58.31,$59.20
Basic EPS,$1.93,$1.80,$2.17,$0.90,($6.25),($5.06)
Basic EPS - Continuing Ops,$1.91,$1.83,$2.17,$0.90,($6.25),($5.06)
Basic Weighted Average Shares Outst.,97.2,94.9,92.5,92.8,94.2,95.2
Diluted EPS,$1.92,$1.79,$2.16,$0.89,($6.25),($5.06)
Diluted EPS - Continuing Ops,$1.90,$1.82,$2.16,$0.89,($6.25),($5.06)
Diluted Weighted Average Shares Outst.,97.9,95.6,93.1,93.5,94.2,95.2
Normalized Basic EPS,$2.03,$1.89,$1.21,$0.88,$0.85,$1.36
Normalized Diluted EPS,$2.01,$1.88,$1.20,$0.88,$0.85,$1.36
Dividend Per Share,$0.90,$0.98,$1.04,$1.04,$1.04,$1.04
Payout Ratio,48.40%,56.12%,49.36%,118.94%,NM,NM
EBITDA,443.8,408.1,303.7,256.4,268.3,319.7
EBITA,409.5,368.1,258.6,212.0,223.3,278.3
EBIT,361.4,324.2,219.9,173.6,186.1,241.1
EBITDAR,467.1,432.6,,,304.6,
Effective Tax Rate,38.5%,30.7%,NM,22.0%,NM,NM
Normalized Net Income,197.1,179.5,112.0,82.0,79.8,129.8
Interest on Long-Term Debt,50.1,43.1,46.7,39.7,41.8,
Foreign Sales,929.4,867.8,928.4,936.3,935.7,
