Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Interest Income On Loans,15.94%,18.79%,11.82%,(7.19%),(9.62%)
Total Interest Income,15.44%,19.41%,11.82%,(8.93%),(11.86%)
Interest On Deposits,10.81%,62.31%,66.65%,(23.06%),(37.56%)
Total Interest On Borrowings,(32.97%),4.02%,7.07%,(29.65%),(31.07%)
Total Interest Expense,(0.93%),51.73%,59.24%,(23.61%),(37.08%)
Net Interest Income,18.63%,14.16%,1.59%,(3.97%),(3.20%)
Service Charges On Deposits,2.67%,(9.60%),(6.31%),3.91%,4.33%
Gain (Loss) on Sale of Invest. & Securities,(79.46%),,,(90.80%),
Total Other Non Interest Income,4.54%,20.84%,17.19%,9.64%,0.41%
Total Non Interest Income,(8.09%),2.28%,42.67%,(4.31%),47.53%
Revenue Before Loan Losses,16.65%,13.47%,3.75%,(3.99%),(0.52%)
Provision For Loan Losses,-84.03%,(80.00%),(55.56%),,5.23%
Total Revenues,13.28%,13.78%,4.14%,(14.24%),(0.70%)
Salaries And Other Employee Benefits,12.27%,12.32%,4.68%,(3.55%),(1.12%)
Amort. of Goodwill & Intang. Assets,34.98%,(5.81%),(21.58%),0.00%,0.00%
Total Selling General & Admin Expenses,13.75%,11.11%,1.46%,(5.00%),(2.83%)
Total Other Non Interest Expense,9.31%,(14.66%),41.69%,1.85%,23.69%
Total Non Interest Expense,3.29%,13.03%,5.71%,1.98%,6.19%
"EBT, Excl. Unusual Items",22.54%,14.37%,2.92%,(27.11%),(6.65%)
Other Unusual Items,,(93.96%),,,
"EBT, Incl. Unusual Items",23.17%,13.20%,3.46%,(27.31%),(8.76%)
Income Tax Expense,82.21%,(46.18%),6.74%,(64.26%),(39.74%)
Earnings From Continuing Operations,0.54%,54.44%,2.67%,(18.01%),(1.51%)
Net Income to Company,0.54%,54.44%,2.67%,(18.01%),(1.51%)
Net Income,0.54%,54.44%,2.67%,(18.01%),(1.51%)
Net Income to Common Incl Extra Items,0.54%,54.44%,2.67%,(18.01%),(1.51%)
Net Income to Common Excl. Extra Items,0.54%,54.44%,2.67%,(18.01%),(1.51%)
Revenue Per Share,11.68%,12.55%,5.57%,(13.76%),(0.43%)
Basic EPS,(0.75%),53.02%,4.16%,(17.60%),(1.25%)
Basic EPS - Continuing Ops,(0.75%),53.02%,4.16%,(17.60%),(1.25%)
Basic Weighted Average Shares Outst.,1.40%,1.08%,(1.39%),(0.52%),(0.27%)
Diluted EPS,(0.91%),53.46%,4.50%,(17.53%),(1.26%)
Diluted EPS - Continuing Ops,(0.91%),53.46%,4.50%,(17.53%),(1.26%)
Diluted Weighted Average Shares Outst.,1.35%,0.74%,(1.67%),(0.59%),(0.31%)
Normalized Basic EPS,21.00%,13.20%,4.58%,(26.74%),(6.40%)
Normalized Diluted EPS,21.16%,13.53%,4.65%,(26.65%),(6.35%)
Dividend Per Share,15.38%,22.22%,12.73%,0.00%,0.00%
Payout Ratio,17.28%,(22.71%),15.72%,21.43%,
Effective Tax Rate,47.96%,(52.46%),3.15%,(50.82%),(33.95%)
Normalized Net Income,22.54%,14.37%,2.92%,(27.11%),(6.65%)
Interest on Long-Term Debt,5.27%,43.09%,(10.04%),(26.20%),
