Income Statement,Feb 2018,Feb 2019,Feb 2020,Jan 2021,TTM
Revenues,4.41%,2.27%,(2.25%),(31.56%),(31.56%)
Other Revenues,31.66%,11.44%,3.16%,(8.67%),(8.67%)
Total Revenues,4.89%,2.47%,(2.12%),(30.98%),(30.98%)
Cost Of Revenues,4.77%,2.68%,(2.20%),(23.73%),(23.73%)
Gross Profit,5.10%,2.09%,(1.98%),(43.85%),(43.85%)
Selling General & Admin Expenses,8.04%,4.42%,(1.23%),(17.60%),(17.60%)
Total Operating Expenses,8.04%,4.42%,(1.23%),(17.60%),(17.60%)
Operating Income,(7.58%),(9.61%),(6.33%),,
Interest Expense,(15.57%),-15.60%,-5.88%,(64.29%),(64.29%)
Interest And Investment Income,400.00%,200.00%,(33.33%),(70.00%),(70.00%)
Net Interest Expenses,(12.40%),-23.53%,-1.92%,(77.45%),(77.45%)
"EBT, Excl. Unusual Items",(10.33%),(7.22%),(6.96%),,
"EBT, Incl. Unusual Items",15.50%,(7.22%),(6.96%),,
Income Tax Expense,6.97%,(52.12%),10.06%,,
Earnings From Continuing Operations,23.45%,29.06%,(12.06%),,
Net Income to Company,23.45%,29.06%,(12.06%),,
Net Income,23.45%,29.06%,(12.06%),,
NI to Common Incl Extra Items,23.45%,29.06%,(12.06%),,
NI to Common Excl. Extra Items,23.45%,29.06%,(12.06%),,
Revenue Per Share,8.91%,2.17%,5.51%,(31.86%),(31.86%)
Basic EPS,28.43%,28.67%,(5.17%),,
Basic EPS - Continuing Ops,28.43%,28.67%,(5.17%),,
Basic Weighted Average Shares Outst.,(3.70%),0.30%,(7.23%),1.29%,1.29%
Diluted EPS,28.22%,28.19%,(4.22%),,
Diluted EPS - Continuing Ops,28.22%,28.19%,(4.22%),,
Diluted Weighted Average Shares Outst.,(3.82%),0.65%,(8.18%),0.70%,0.70%
Normalized Basic EPS,(6.91%),(7.49%),0.24%,,
Normalized Diluted EPS,(6.90%),(7.71%),1.51%,,
Dividend Per Share,0.00%,0.00%,0.00%,(75.00%),(75.00%)
Payout Ratio,(21.84%),(21.57%),4.15%,,
EBITDA,(3.34%),(5.21%),(4.24%),,
EBITA,(7.78%),(9.50%),(6.72%),,
EBIT,(7.58%),(9.61%),(6.33%),,
EBITDAR,(0.41%),(4.27%),(1.09%),(89.39%),
Effective Tax Rate,(7.39%),(48.40%),18.27%,60.66%,60.64%
Normalized Net Income,(10.33%),(7.22%),(6.96%),,
Interest Capitalized,8.00%,0.00%,44.44%,(61.54%),
Interest on Long-Term Debt,,,(21.43%),,
