Income Statement,Dec 2016,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Interest Income On Loans,633.2,884.0,1031.6,1088.7,1015.2,1013.7
Total Interest Income,662.6,932.6,1100.8,1162.5,1080.8,1072.9
Interest On Deposits,48.6,96.1,186.6,258.4,171.8,138.5
Total Interest On Borrowings,12.5,19.1,22.8,20.0,20.3,20.9
Total Interest Expense,61.1,115.2,209.4,278.4,192.2,159.4
Net Interest Income,601.5,817.4,891.4,884.2,888.6,913.5
Service Charges On Deposits,38.5,42.9,39.5,41.8,37.7,37.4
Trust Income,6.3,6.7,6.9,7.6,7.5,7.8
Total Mortgage Banking Activities,8.1,,,,,
Gain (Loss) on Sale of Assets,4.2,5.6,2.2,2.2,6.9,12.5
Gain (Loss) on Sale of Invest. & Securities,0.0,4.0,0.0,0.7,4.5,2.2
Total Other Non Interest Income,45.5,64.3,55.8,52.1,47.4,47.7
Total Non Interest Income,102.4,123.4,104.6,104.3,104.0,107.6
Revenue Before Loan Losses,703.9,940.9,996.0,988.5,992.6,1021.1
Provision For Loan Losses,23.8,28.1,64.4,26.2,203.6,54.4
Total Revenues,680.1,912.8,931.6,962.3,789.0,966.7
Salaries And Other Employee Benefits,112.1,139.9,156.3,178.7,192.0,194.2
Occupancy Expense,35.3,44.5,47.8,48.1,52.6,53.7
Total Selling General & Admin Expenses,23.6,27.0,34.3,32.3,31.7,30.3
Total Other Non Interest Expense,84.8,121.3,137.4,142.0,137.2,137.9
Total Non Interest Expense,255.8,332.7,375.8,401.1,413.4,416.0
"EBT, Excl. Unusual Items",424.4,580.1,555.8,561.1,375.6,550.7
Other Unusual Items,,,(4.9),,,
"EBT, Incl. Unusual Items",424.4,580.5,554.1,564.3,376.2,552.1
Income Tax Expense,154.3,158.6,137.0,138.4,84.3,123.6
Earnings From Continuing Operations,270.1,421.9,417.1,425.9,291.9,428.4
Net Income to Company,270.1,421.9,417.1,425.9,291.9,428.4
Minority Interest,(0.1),(0.0),0.0,(0.0),0.0,0.0
Net Income,270.0,421.9,417.1,425.9,291.9,428.4
Net Income to Common Incl Extra Items,270.0,421.9,417.1,425.9,291.9,428.4
Net Income to Common Excl. Extra Items,270.0,421.9,417.1,425.9,291.9,428.4
Revenue Per Share,$6.51,$7.28,$7.24,$7.46,$6.10,$7.52
Basic EPS,$2.59,$3.36,$3.24,$3.30,$2.26,$3.33
Basic EPS - Continuing Ops,$2.59,$3.36,$3.24,$3.30,$2.26,$3.33
Basic Weighted Average Shares Outst.,104.4,125.5,128.6,128.9,129.3,128.6
Diluted EPS,$2.58,$3.35,$3.24,$3.30,$2.26,$3.33
Diluted EPS - Continuing Ops,$2.58,$3.35,$3.24,$3.30,$2.26,$3.33
Diluted Weighted Average Shares Outst.,104.7,125.8,128.7,129.0,129.4,128.9
Normalized Basic EPS,$2.54,$2.89,$2.70,$2.72,$1.82,$2.68
Normalized Diluted EPS,$2.53,$2.88,$2.70,$2.72,$1.81,$2.67
Dividend Per Share,$0.63,$0.71,$0.80,$0.94,$1.08,$1.10
Payout Ratio,23.03%,21.03%,24.51%,28.44%,47.71%,
Effective Tax Rate,36.4%,27.3%,24.7%,24.5%,22.4%,22.4%
Normalized Net Income,265.1,362.5,347.4,350.7,234.8,344.2
Interest on Long-Term Debt,11.3,17.8,19.6,20.2,18.0,
