Income Statement,Sep 2016,Sep 2017,Sep 2018,Sep 2019,Sep 2020,TTM
Revenues,1929.0,2084.0,2285.0,2390.0,2353.0,2522.0
Total Revenues,1929.0,2084.0,2285.0,2390.0,2353.0,2522.0
Cost Of Revenues,1181.0,1308.0,1479.0,1574.0,1490.0,1602.0
Gross Profit,748.0,776.0,806.0,816.0,863.0,920.0
Selling General & Admin Expenses,330.0,258.0,416.0,482.0,370.0,396.0
R&D Expenses,,,14.0,13.0,13.0,13.0
Other Operating Expense/(Income),(1.0),(2.0),(3.0),(20.0),(53.0),(51.0)
Total Operating Expenses,329.0,256.0,427.0,475.0,330.0,358.0
Operating Income,419.0,520.0,379.0,341.0,533.0,562.0
Interest Expense,(9.0),(42.0),(63.0),(73.0),(74.0),(78.0)
Net Interest Expenses,(9.0),(42.0),(63.0),(73.0),(74.0),(78.0)
"EBT, Excl. Unusual Items",422.0,490.0,330.0,280.0,471.0,508.0
"EBT, Incl. Unusual Items",421.0,490.0,332.0,265.0,451.0,473.0
Income Tax Expense,148.0,186.0,166.0,57.0,134.0,137.0
Earnings From Continuing Operations,273.0,304.0,166.0,208.0,317.0,336.0
Net Income to Company,273.0,304.0,166.0,208.0,317.0,336.0
Net Income,273.0,304.0,166.0,208.0,317.0,336.0
NI to Common Incl Extra Items,273.0,304.0,166.0,208.0,317.0,336.0
NI to Common Excl. Extra Items,273.0,304.0,166.0,208.0,317.0,336.0
Revenue Per Share,$11.35,$10.22,$11.60,$12.65,$12.58,$13.63
Basic EPS,$1.61,$1.49,$0.84,$1.10,$1.70,$1.82
Basic EPS - Continuing Ops,$1.61,$1.49,$0.84,$1.10,$1.70,$1.82
Basic Weighted Average Shares Outst.,170.0,204.0,197.0,189.0,187.0,185.0
Diluted EPS,$1.60,$1.49,$0.84,$1.10,$1.69,$1.81
Diluted EPS - Continuing Ops,$1.60,$1.49,$0.84,$1.10,$1.69,$1.81
Diluted Weighted Average Shares Outst.,170.0,204.0,197.0,189.0,188.0,185.5
Normalized Basic EPS,$1.55,$1.50,$1.05,$0.93,$1.57,$1.72
Normalized Diluted EPS,$1.55,$1.50,$1.05,$0.93,$1.57,$1.71
Dividend Per Share,,$0.20,$0.30,$0.42,$0.45,$0.48
Payout Ratio,,13.16%,34.94%,38.46%,26.50%,26.19%
EBITDA,457.0,562.0,433.0,402.0,599.0,641.0
EBITA,419.0,520.0,379.0,341.0,543.0,579.0
EBIT,419.0,520.0,379.0,341.0,533.0,562.0
EBITDAR,473.0,581.0,,,644.0,
Effective Tax Rate,35.2%,38.0%,50.0%,21.5%,29.7%,29.0%
Normalized Net Income,263.8,306.3,206.3,175.0,294.4,317.5
Interest on Long-Term Debt,,,,,3.0,
R&D Expense From Footnotes,13.0,13.0,14.0,13.0,13.0,13.0
Foreign Sales,532.0,2084.0,2285.0,2390.0,2353.0,
