Income Statement,Dec 2016,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,5155.0,5044.0,5109.0,5176.0,5225.0,5282.0
Total Revenues,5155.0,5044.0,5109.0,5176.0,5225.0,5282.0
Cost Of Revenues,2429.0,2359.0,2336.0,2337.0,2354.0,2407.0
Gross Profit,2726.0,2685.0,2773.0,2839.0,2871.0,2875.0
Selling General & Admin Expenses,1762.0,1689.0,1694.0,1717.0,1681.0,1658.0
Depreciation & Amortization,850.0,844.0,883.0,932.0,909.0,898.0
Total Operating Expenses,2612.0,2533.0,2577.0,2649.0,2590.0,2556.0
Operating Income,114.0,152.0,196.0,190.0,281.0,319.0
Interest Expense,(170.0),(170.0),(172.0),(165.0),(168.0),(184.0)
Interest And Investment Income,11.0,15.0,26.0,29.0,15.0,12.0
Net Interest Expenses,(159.0),(155.0),(146.0),(136.0),(153.0),(172.0)
Other Non Operating Income (Expenses),3.0,4.0,2.0,,(1.0),(1.0)
"EBT, Excl. Unusual Items",98.0,138.0,212.0,222.0,308.0,324.0
"EBT, Incl. Unusual Items",92.0,(122.0),221.0,211.0,288.0,304.0
Income Tax Expense,40.0,(279.0),46.0,64.0,19.0,47.0
Earnings From Continuing Operations,52.0,157.0,175.0,147.0,269.0,257.0
Net Income to Company,52.0,157.0,175.0,147.0,269.0,257.0
Minority Interest,(9.0),(4.0),(40.0),(26.0),(43.0),(41.0)
Net Income,43.0,153.0,135.0,121.0,226.0,216.0
Preferred Dividend and Other Adjustments,,,,,,2.0
NI to Common Incl Extra Items,43.0,153.0,135.0,121.0,226.0,214.0
NI to Common Excl. Extra Items,43.0,153.0,135.0,121.0,226.0,214.0
Revenue Per Share,$46.86,$45.44,$45.62,$45.40,$45.83,
Basic EPS,$0.39,$1.38,$1.21,$1.06,$1.98,
Basic EPS - Continuing Ops,$0.39,$1.38,$1.21,$1.06,$1.98,
Basic Weighted Average Shares Outst.,110.0,111.0,112.0,114.0,114.0,
Diluted EPS,$0.39,$1.37,$1.17,$1.03,$1.94,
Diluted EPS - Continuing Ops,$0.39,$1.37,$1.17,$1.03,$1.94,
Diluted Weighted Average Shares Outst.,111.0,112.0,114.0,116.0,115.0,
Normalized Basic EPS,$0.48,$0.74,$0.83,$0.99,$1.31,
Normalized Diluted EPS,$0.47,$0.73,$0.81,$0.97,$1.30,
Dividend Per Share,$0.59,$0.62,$0.64,$0.66,$0.68,$0.68
Payout Ratio,151.16%,45.10%,53.33%,61.98%,34.51%,36.57%
EBITDA,964.0,996.0,1079.0,1122.0,1190.0,1217.0
EBITA,128.0,163.0,222.0,234.0,327.0,365.0
EBIT,114.0,152.0,196.0,190.0,281.0,319.0
EBITDAR,1153.0,1191.0,,1307.0,1385.0,
Effective Tax Rate,43.5%,NM,20.8%,30.3%,6.6%,15.5%
Normalized Net Income,52.3,82.3,92.5,112.8,149.5,161.5
Interest on Long-Term Debt,,2.0,2.0,5.0,8.0,
