Income Statement,Dec 2016,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,1811.7,2259.4,2871.9,3066.3,3183.4,3333.4
Total Revenues,1811.7,2259.4,2871.9,3066.3,3183.4,3333.4
Cost Of Revenues,1032.7,1283.9,1500.2,1539.5,1649.0,1717.1
Gross Profit,779.0,975.5,1371.7,1526.7,1534.4,1616.3
Selling General & Admin Expenses,269.9,320.1,371.8,394.9,453.0,468.9
Depreciation & Amortization,69.5,78.2,112.2,114.9,131.6,131.9
Other Operating Expense/(Income),231.7,311.0,570.4,650.1,665.8,712.3
Total Operating Expenses,613.3,714.6,1055.2,1159.9,1250.4,1313.0
Operating Income,165.8,260.9,316.5,366.8,283.9,303.2
Interest Expense,(49.0),(39.9),(50.9),(45.8),(30.5),(22.2)
Net Interest Expenses,(49.0),(39.9),(50.9),(45.8),(30.5),(22.2)
Currency Exchange Gains (Loss),24.0,(39.6),(1.0),(2.3),(25.5),(21.0)
Other Non Operating Income (Expenses),(8.5),(8.2),(7.4),(6.5),(12.7),(13.6)
"EBT, Excl. Unusual Items",135.1,173.3,257.3,312.2,215.3,246.5
"EBT, Incl. Unusual Items",96.7,74.7,221.7,305.9,259.0,278.1
Income Tax Expense,28.5,(12.6),67.2,62.8,62.0,64.8
Earnings From Continuing Operations,68.2,87.3,154.5,243.1,197.0,213.3
Net Income to Company,68.2,87.3,154.5,243.1,197.0,213.3
Minority Interest,,(0.4),(0.6),(0.1),,
Net Income,68.2,86.9,153.9,243.0,197.0,213.3
NI to Common Incl Extra Items,68.2,86.9,153.9,243.0,197.0,213.3
NI to Common Excl. Extra Items,68.2,86.9,153.9,243.0,197.0,213.3
Revenue Per Share,$29.82,$36.19,$44.79,$47.53,$50.25,$52.37
Basic EPS,$1.12,$1.39,$2.40,$3.77,$3.11,$3.35
Basic EPS - Continuing Ops,$1.12,$1.39,$2.40,$3.77,$3.11,$3.35
Basic Weighted Average Shares Outst.,60.8,62.4,64.1,64.5,63.4,63.7
Diluted EPS,$1.06,$1.32,$2.32,$3.68,$3.04,$3.27
Diluted EPS - Continuing Ops,$1.06,$1.32,$2.32,$3.68,$3.04,$3.27
Diluted Weighted Average Shares Outst.,64.5,65.8,66.3,66.0,64.8,65.2
Normalized Basic EPS,$1.39,$1.73,$2.50,$3.02,$2.12,$2.42
Normalized Diluted EPS,$1.31,$1.64,$2.42,$2.95,$2.08,$2.36
EBITDA,235.3,339.1,428.7,481.7,415.6,435.2
EBITA,211.2,310.1,388.1,435.4,360.2,378.3
EBIT,165.8,260.9,316.5,366.8,283.9,303.2
EBITDAR,267.2,376.1,468.3,533.3,469.0,
Effective Tax Rate,29.5%,NM,30.3%,20.5%,23.9%,23.3%
Normalized Net Income,84.4,108.0,160.3,195.0,134.5,154.1
Foreign Sales,516.4,637.6,909.4,984.1,1030.1,
