Income Statement,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,TTM
Revenues,1417.4,1559.3,1594.6,2068.3,2309.2,2252.0
Total Revenues,1417.4,1559.3,1594.6,2068.3,2309.2,2252.0
Cost Of Revenues,984.3,1049.0,1120.8,1537.7,1609.7,1575.1
Gross Profit,433.1,510.4,473.8,530.5,699.6,677.0
Selling General & Admin Expenses,298.3,333.5,385.4,466.0,523.1,513.4
R&D Expenses,77.2,129.6,168.3,123.0,130.4,114.5
Total Operating Expenses,392.0,473.9,566.0,598.7,661.1,633.8
Operating Income,41.1,36.5,(92.2),(68.1),38.4,43.2
Interest Expense,(25.7),(12.1),(4.0),(50.0),(38.6),(35.8)
Interest And Investment Income,2.2,1.0,1.0,0.1,1.6,0.6
Net Interest Expenses,(23.5),(11.1),(3.1),(49.9),(37.0),(35.2)
"EBT, Excl. Unusual Items",17.6,25.4,(93.3),(115.0),5.9,8.9
"EBT, Incl. Unusual Items",17.6,25.4,(103.5),(107.5),5.9,8.9
Income Tax Expense,(4.2),3.6,(35.2),(41.0),(7.9),1.4
Earnings From Continuing Operations,21.8,21.8,(68.3),(66.5),13.8,7.5
Net Income to Company,21.8,21.8,(68.3),(66.5),13.8,7.5
Minority Interest,(0.0),2.0,1.0,(1.2),(14.0),(9.6)
Net Income,21.7,23.8,(67.3),(67.6),(0.2),(2.1)
NI to Common Incl Extra Items,21.7,23.8,(67.3),(67.6),(0.2),(2.1)
NI to Common Excl. Extra Items,21.7,23.8,(67.3),(67.6),(0.2),(2.1)
Revenue Per Share,$29.25,$29.80,$27.29,$34.50,$37.47,$34.72
Basic EPS,$0.45,$0.45,($1.15),($1.13),($0.00),($0.03)
Basic EPS - Continuing Ops,$0.45,$0.45,($1.15),($1.13),($0.00),($0.03)
Basic Weighted Average Shares Outst.,48.5,52.3,58.4,59.9,61.6,64.9
Diluted EPS,$0.44,$0.45,($1.15),($1.13),($0.00),($0.04)
Diluted EPS - Continuing Ops,$0.44,$0.45,($1.15),($1.13),($0.00),($0.04)
Diluted Weighted Average Shares Outst.,49.4,53.4,58.4,59.9,61.6,64.9
Normalized Basic EPS,$0.23,$0.34,($0.98),($1.22),($0.17),($0.06)
Normalized Diluted EPS,$0.22,$0.33,($0.98),($1.22),($0.17),($0.06)
EBITDA,251.0,249.9,131.0,204.6,327.6,363.9
EBITA,57.9,49.2,(79.5),(57.7),47.9,50.2
EBIT,41.1,36.5,(92.2),(68.1),38.4,43.2
EBITDAR,278.7,283.9,,258.1,401.8,
Effective Tax Rate,NM,14.2%,NM,NM,NM,15.6%
Normalized Net Income,11.0,17.9,(57.3),(73.0),(10.3),(4.0)
Interest Capitalized,30.1,49.7,58.9,39.5,54.1,
Interest on Long-Term Debt,55.8,61.8,,,56.2,
R&D Expense From Footnotes,109.4,162.1,200.8,168.9,183.4,173.0
Foreign Sales,209.8,207.3,191.2,232.0,251.8,
