Income Statement,Sep 2017,Sep 2018,Sep 2019,Sep 2020,TTM
Revenues,5.42%,0.81%,18.50%,30.91%,45.19%
Total Revenues,5.42%,0.81%,18.50%,30.91%,45.19%
Cost Of Revenues,4.34%,6.52%,19.81%,29.95%,45.45%
Gross Profit,7.33%,(9.00%),15.86%,32.91%,44.64%
Selling General & Admin Expenses,17.61%,(1.96%),11.33%,26.03%,33.82%
Other Operating Expense/(Income),-56.38%,(70.73%),-80.00%,-64.29%,-58.14%
Total Operating Expenses,7.51%,(2.51%),12.53%,26.24%,34.46%
Operating Income,7.09%,(17.33%),20.91%,42.32%,57.01%
Interest Expense,(20.99%),(13.53%),(17.82%),-21.81%,-20.02%
Interest And Investment Income,156.41%,0.00%,(14.00%),(11.63%),0.00%
Net Interest Expenses,(12.03%),(15.58%),(21.99%),-22.75%,-28.43%
Currency Exchange Gains (Loss),(166.67%),(12.50%),(77.78%),-43.75%,-76.32%
Other Non Operating Income (Expenses),,,,635.29%,129.70%
"EBT, Excl. Unusual Items",(4.68%),(15.25%),20.10%,62.39%,77.86%
"EBT, Incl. Unusual Items",(17.93%),(63.26%),402.68%,(12.21%),76.07%
Income Tax Expense,(15.26%),,,(14.63%),61.53%
Earnings From Continuing Operations,(19.42%),(35.65%),242.24%,(11.40%),80.99%
Earnings Of Discontinued Operations,(70.16%),,,(92.77%),
Net Income to Company,(30.50%),(70.89%),622.45%,(15.56%),67.27%
Net Income,(30.76%),(70.82%),623.23%,(15.91%),66.67%
NI to Common Incl Extra Items,(30.76%),(70.82%),623.23%,(15.91%),66.67%
NI to Common Excl. Extra Items,(19.79%),(35.49%),242.63%,(11.78%),80.33%
Revenue Per Share,8.43%,6.55%,19.99%,30.45%,45.05%
Basic EPS,(28.78%),(69.20%),634.59%,(16.20%),66.52%
Basic EPS - Continuing Ops,(17.58%),(31.82%),247.03%,(12.12%),80.17%
Basic Weighted Average Shares Outst.,(2.78%),(5.39%),(1.25%),0.36%,0.09%
Diluted EPS,(28.67%),(69.40%),637.60%,(16.85%),65.01%
Diluted EPS - Continuing Ops,(17.34%),(32.22%),248.43%,(12.74%),78.52%
Diluted Weighted Average Shares Outst.,(2.90%),(5.15%),(1.40%),1.07%,0.79%
Normalized Basic EPS,(2.46%),(10.13%),21.88%,60.88%,76.95%
Normalized Diluted EPS,(2.38%),(10.51%),22.11%,59.59%,75.72%
Dividend Per Share,6.28%,5.42%,4.21%,5.83%,6.55%
Payout Ratio,49.02%,241.83%,(85.65%),18.94%,
EBITDA,7.71%,(13.86%),18.88%,36.02%,49.18%
EBITA,8.04%,(15.29%),20.41%,39.04%,47.58%
EBIT,7.09%,(17.33%),20.91%,42.32%,57.01%
EBITDAR,7.39%,(10.91%),17.68%,22.95%,
Effective Tax Rate,3.26%,,,(2.74%),(8.26%)
Normalized Net Income,(5.13%),(15.04%),20.39%,61.43%,77.11%
Interest Capitalized,(66.67%),200.00%,66.67%,(20.00%),
R&D Expense From Footnotes,10.83%,6.52%,(6.82%),0.25%,(0.50%)
Foreign Sales,34.27%,12.02%,5.63%,17.79%,
