Income Statement,Apr 2016,Apr 2017,Apr 2018,Apr 2019,Apr 2020,TTM
Revenues,3038.2,3036.3,3159.9,3094.9,2639.7,2895.2
Total Revenues,3038.2,3036.3,3159.9,3094.9,2639.7,2895.2
Cost Of Revenues,1685.6,1644.4,1739.7,1756.9,1712.3,1707.5
Gross Profit,1352.6,1391.9,1420.2,1338.0,927.4,1187.6
Selling General & Admin Expenses,719.4,676.0,668.2,722.2,744.4,730.0
Total Operating Expenses,719.4,676.0,668.2,722.2,744.4,730.0
Operating Income,633.2,716.0,752.1,615.8,183.1,457.7
Interest Expense,(69.0),(93.0),(89.4),(87.1),(96.1),(112.7)
Interest And Investment Income,12.5,3.8,6.9,16.5,14.3,3.6
Net Interest Expenses,(56.5),(89.1),(82.5),(70.5),(81.8),(109.1)
Currency Exchange Gains (Loss),(7.8),(0.0),(0.2),(0.2),(0.2),0.3
Other Non Operating Income (Expenses),3.0,2.4,(0.6),0.1,1.6,2.7
"EBT, Excl. Unusual Items",572.0,629.3,668.7,545.2,102.6,351.6
"EBT, Incl. Unusual Items",569.5,629.3,668.7,545.2,(3.4),245.6
Income Tax Expense,185.9,208.4,41.8,99.9,(9.5),142.9
Earnings From Continuing Operations,383.6,420.9,626.9,445.3,6.2,102.7
Earnings Of Discontinued Operations,(9.3),(12.0),(13.8),(22.7),(13.7),(7.8)
Net Income to Company,374.3,408.9,613.1,422.5,(7.5),94.9
Net Income,374.3,408.9,613.1,422.5,(7.5),94.9
Preferred Dividend and Other Adjustments,0.7,1.0,1.5,1.0,0.6,0.8
NI to Common Incl Extra Items,373.5,407.9,611.7,421.5,(8.2),94.2
NI to Common Excl. Extra Items,382.8,419.9,625.4,444.2,5.5,101.9
Revenue Per Share,$12.20,$14.27,$15.13,$15.07,$13.42,$15.27
Basic EPS,$1.50,$1.92,$2.93,$2.05,($0.04),$0.50
Basic EPS - Continuing Ops,$1.54,$1.97,$2.99,$2.16,$0.03,$0.54
Basic Weighted Average Shares Outst.,249.0,212.8,208.8,205.4,196.7,189.6
Diluted EPS,$1.49,$1.90,$2.91,$2.04,($0.04),$0.49
Diluted EPS - Continuing Ops,$1.53,$1.96,$2.98,$2.15,$0.03,$0.53
Diluted Weighted Average Shares Outst.,250.8,214.1,210.2,206.7,198.1,191.0
Normalized Basic EPS,$1.44,$1.85,$2.00,$1.66,$0.33,$1.16
Normalized Diluted EPS,$1.43,$1.84,$1.99,$1.65,$0.32,$1.15
Dividend Per Share,$0.80,$0.88,$0.96,$1.00,$1.04,$1.04
Payout Ratio,53.89%,45.76%,32.69%,48.63%,NM,208.47%
EBITDA,806.8,898.2,935.3,782.5,352.6,619.0
EBITA,706.0,794.9,832.0,689.0,266.7,542.1
EBIT,633.2,716.0,752.1,615.8,183.1,457.7
EBITDAR,1175.4,1134.4,,1183.8,761.7,
Effective Tax Rate,32.6%,33.1%,6.3%,18.3%,NM,58.2%
Normalized Net Income,357.5,393.3,418.0,340.7,64.1,219.7
Foreign Sales,213.4,210.3,227.3,220.6,180.1,
