Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,47.91%,8.31%,(8.45%),22.64%,26.18%
Total Revenues,47.91%,8.31%,(8.45%),22.64%,26.18%
Cost Of Revenues,43.36%,6.94%,(3.09%),20.60%,23.57%
Gross Profit,53.51%,9.88%,(14.45%),25.24%,29.46%
Selling General & Admin Expenses,27.26%,2.77%,10.80%,6.90%,8.00%
R&D Expenses,19.87%,2.37%,20.93%,5.48%,6.15%
Total Operating Expenses,25.16%,1.91%,17.70%,3.49%,3.58%
Operating Income,104.87%,18.70%,(45.00%),69.48%,78.08%
Interest Expense,(1.24%),-45.47%,(160.95%),-34.01%,-39.41%
Interest And Investment Income,18.01%,91.99%,(6.90%),(74.07%),(79.55%)
Net Interest Expenses,-0.29%,-60.31%,(248.65%),-28.42%,-34.94%
Currency Exchange Gains (Loss),(234.55%),-74.86%,(104.17%),(2.04%),(25.00%)
Other Non Operating Income (Expenses),871.28%,(89.05%),300.00%,18.75%,57.14%
"EBT, Excl. Unusual Items",121.17%,25.66%,(52.12%),86.72%,96.05%
"EBT, Incl. Unusual Items",249.77%,7.46%,(63.04%),137.91%,101.03%
Income Tax Expense,368.29%,(18.80%),(57.55%),94.92%,85.44%
Earnings From Continuing Operations,223.57%,15.85%,(64.27%),149.36%,104.72%
Net Income to Company,223.57%,15.85%,(64.27%),149.36%,104.72%
Net Income,223.57%,15.85%,(64.27%),149.36%,104.72%
NI to Common Incl Extra Items,223.57%,15.85%,(64.27%),149.36%,104.72%
NI to Common Excl. Extra Items,223.57%,15.85%,(64.27%),149.36%,104.72%
Revenue Per Share,46.12%,7.77%,(8.96%),21.80%,25.54%
Basic EPS,219.61%,15.36%,(64.46%),147.26%,103.68%
Basic EPS - Continuing Ops,219.61%,15.36%,(64.46%),147.26%,103.68%
Basic Weighted Average Shares Outst.,1.24%,0.50%,0.56%,0.70%,0.51%
Diluted EPS,217.53%,15.91%,(64.29%),148.24%,104.08%
Diluted EPS - Continuing Ops,217.53%,15.91%,(64.29%),148.24%,104.08%
Diluted Weighted Average Shares Outst.,1.89%,(0.15%),0.22%,0.43%,0.44%
Normalized Basic EPS,118.14%,25.14%,(52.39%),85.10%,95.06%
Normalized Diluted EPS,117.59%,25.76%,(52.23%),85.64%,95.20%
Dividend Per Share,4.41%,9.86%,2.56%,0.00%,0.00%
Payout Ratio,(67.55%),(4.16%),187.14%,(59.43%),(50.71%)
EBITDA,85.60%,15.10%,(33.64%),46.89%,52.42%
EBITA,93.58%,16.39%,(37.04%),52.30%,59.31%
EBIT,104.87%,18.70%,(45.00%),69.48%,78.08%
EBITDAR,,,,45.37%,
Effective Tax Rate,33.91%,(24.44%),14.82%,(18.05%),(7.75%)
Normalized Net Income,121.17%,25.66%,(52.12%),86.72%,96.05%
R&D Expense From Footnotes,19.87%,2.37%,20.93%,5.48%,6.15%
Foreign Sales,55.02%,9.55%,(3.90%),25.68%,
