Income Statement,Apr 2017,Apr 2018,Apr 2019,Apr 2020,TTM
Revenues,3.83%,(2.28%),1.99%,(1.52%),(0.06%)
Total Revenues,3.83%,(2.28%),1.99%,(1.52%),(0.06%)
Cost Of Revenues,5.60%,(0.59%),2.75%,(2.08%),0.44%
Gross Profit,(1.61%),(7.84%),(0.72%),0.56%,(1.90%)
Selling General & Admin Expenses,1.65%,0.24%,3.85%,(0.58%),(6.01%)
Total Operating Expenses,1.65%,0.24%,3.85%,(0.58%),(6.24%)
Operating Income,(10.29%),(32.18%),(21.05%),7.23%,20.02%
Interest Expense,-13.99%,(8.55%),-8.93%,(42.12%),-25.84%
Net Interest Expenses,-13.99%,(8.55%),-8.93%,(42.12%),-24.57%
Other Non Operating Income (Expenses),48.65%,1.73%,,,
"EBT, Excl. Unusual Items",(8.94%),(37.58%),(27.47%),(2.87%),38.66%
"EBT, Incl. Unusual Items",(16.84%),(28.55%),(40.74%),,
Income Tax Expense,(33.55%),,,,(57.46%)
Earnings From Continuing Operations,(6.41%),15.64%,(58.76%),,
Net Income to Company,(8.70%),17.60%,(58.76%),,
Minority Interest,,,,22.47%,(17.04%)
Net Income,(8.70%),17.60%,(58.39%),,
NI to Common Incl Extra Items,(8.70%),17.60%,(58.39%),,
NI to Common Excl. Extra Items,(6.41%),15.64%,(58.39%),,
Revenue Per Share,6.37%,0.29%,1.67%,(2.98%),(1.57%)
Basic EPS,(6.69%),20.75%,(58.45%),,
Basic EPS - Continuing Ops,(4.12%),18.77%,(58.45%),,
Basic Weighted Average Shares Outst.,(2.39%),(2.56%),0.31%,1.51%,1.53%
Diluted EPS,(6.79%),20.67%,(58.80%),,
Diluted EPS - Continuing Ops,(4.21%),18.68%,(58.80%),,
Diluted Weighted Average Shares Outst.,(2.39%),(2.59%),0.42%,0.72%,0.66%
Normalized Basic EPS,(6.82%),(35.89%),(26.93%),(3.63%),35.98%
Normalized Diluted EPS,(6.56%),(35.98%),(26.89%),(3.63%),37.15%
Dividend Per Share,8.89%,6.12%,0.00%,0.00%,0.00%
Payout Ratio,15.96%,(12.05%),140.97%,,
EBITDA,(8.05%),(25.57%),(15.58%),4.66%,12.93%
EBITA,(10.12%),(29.74%),(18.02%),5.35%,16.90%
EBIT,(10.29%),(32.18%),(21.05%),7.23%,20.02%
EBITDAR,(7.40%),,,,
Effective Tax Rate,(20.08%),,,(99.20%),
Normalized Net Income,(8.94%),(37.58%),(26.80%),(2.64%),38.05%
Interest on Long-Term Debt,(13.99%),8.55%,(15.14%),5.35%,
Foreign Sales,(6.63%),6.98%,0.86%,(0.07%),
