Income Statement,Sep 2016,Sep 2017,Sep 2018,Sep 2019,Sep 2020,TTM
Revenues,0.2,31.4,16.1,168.8,88.0,89.1
Total Revenues,0.2,31.4,16.1,168.8,88.0,89.1
Gross Profit,0.2,31.4,16.1,168.8,88.0,89.1
Selling General & Admin Expenses,24.9,19.8,19.1,29.2,56.4,56.0
R&D Expenses,60.8,48.6,53.0,78.4,124.7,151.5
Total Operating Expenses,85.7,68.4,72.1,107.6,181.2,207.5
Operating Income,(85.6),(37.0),(55.9),61.2,(93.2),(118.3)
Interest And Investment Income,0.3,0.4,1.0,7.0,9.2,8.3
Net Interest Expenses,0.3,0.4,1.0,7.0,9.2,8.3
Other Non Operating Income (Expenses),(0.2),2.2,0.4,,(0.6),0.5
"EBT, Excl. Unusual Items",(85.5),(34.4),(54.4),68.1,(84.6),(109.6)
"EBT, Incl. Unusual Items",(81.7),(34.4),(54.4),68.1,(84.6),(109.6)
Income Tax Expense,0.0,0.0,0.0,0.2,0.0,0.0
Earnings From Continuing Operations,(81.7),(34.4),(54.5),68.0,(84.6),(109.6)
Net Income to Company,(81.7),(34.4),(54.5),68.0,(84.6),(109.6)
Net Income,(81.7),(34.4),(54.5),68.0,(84.6),(109.6)
NI to Common Incl Extra Items,(81.7),(34.4),(54.5),68.0,(84.6),(109.6)
NI to Common Excl. Extra Items,(81.7),(34.4),(54.5),68.0,(84.6),(109.6)
Revenue Per Share,$0.00,$0.43,$0.19,$1.80,$0.87,$0.87
Basic EPS,($1.34),($0.47),($0.65),$0.72,($0.84),($1.07)
Basic EPS - Continuing Ops,($1.34),($0.47),($0.65),$0.72,($0.84),($1.07)
Basic Weighted Average Shares Outst.,61.1,73.9,83.6,93.9,100.7,102.7
Diluted EPS,($1.34),($0.47),($0.65),$0.69,($0.84),($1.07)
Diluted EPS - Continuing Ops,($1.34),($0.47),($0.65),$0.69,($0.84),($1.07)
Diluted Weighted Average Shares Outst.,61.1,73.9,83.6,98.6,100.7,102.7
Normalized Basic EPS,($0.88),($0.29),($0.41),$0.45,($0.52),($0.67)
Normalized Diluted EPS,($0.88),($0.29),($0.41),$0.43,($0.52),($0.67)
EBITDA,(82.3),(32.3),(51.2),65.6,(87.2),(111.3)
EBITA,(83.8),(35.3),(54.2),62.9,(91.5),(116.7)
EBIT,(85.6),(37.0),(55.9),61.2,(93.2),(118.3)
EBITDAR,(81.0),(30.0),(49.9),69.7,(80.9),
Effective Tax Rate,NM,NM,NM,0.3%,NM,NM
Normalized Net Income,(53.5),(21.5),(34.0),42.6,(52.8),(68.5)
R&D Expense From Footnotes,62.1,50.9,53.0,81.0,128.9,157.3
