Income Statement,Sep 2016,Sep 2017,Sep 2018,Sep 2019,Sep 2020,TTM
Revenues,16790.0,16213.0,17439.0,16526.0,12670.0,12890.0
Total Revenues,16790.0,16213.0,17439.0,16526.0,12670.0,12890.0
Cost Of Revenues,15181.0,14761.0,16489.0,15725.0,12078.0,12167.0
Gross Profit,1609.0,1452.0,950.0,801.0,592.0,723.0
Selling General & Admin Expenses,424.0,615.0,671.0,716.0,557.0,562.0
R&D Expenses,460.0,,,,,
Total Operating Expenses,884.0,615.0,671.0,716.0,557.0,554.0
Operating Income,725.0,837.0,279.0,85.0,35.0,169.0
Interest Expense,(20.0),(126.0),(142.0),(167.0),(216.0),(179.0)
Interest And Investment Income,2.0,4.0,5.0,11.0,11.0,6.0
Net Interest Expenses,(18.0),(122.0),(137.0),(156.0),(205.0),(173.0)
Currency Exchange Gains (Loss),(3.0),36.0,(5.0),5.0,1.0,3.0
Other Non Operating Income (Expenses),(1.0),(46.0),(2.0),(18.0),(19.0),(124.0)
"EBT, Excl. Unusual Items",1047.0,1227.0,122.0,191.0,(166.0),184.0
"EBT, Incl. Unusual Items",377.0,1061.0,"(1,121.0)",2.0,(429.0),(12.0)
Income Tax Expense,1839.0,99.0,480.0,410.0,57.0,67.0
Earnings From Continuing Operations,"(1,462.0)",962.0,"(1,601.0)",(408.0),(486.0),(79.0)
Net Income to Company,"(1,462.0)",962.0,"(1,601.0)",(408.0),(486.0),(79.0)
Minority Interest,(84.0),(85.0),(84.0),(83.0),(61.0),(63.0)
Net Income,"(1,546.0)",877.0,"(1,685.0)",(491.0),(547.0),(142.0)
NI to Common Incl Extra Items,"(1,546.0)",877.0,"(1,685.0)",(491.0),(547.0),(142.0)
NI to Common Excl. Extra Items,"(1,546.0)",877.0,"(1,685.0)",(491.0),(547.0),(142.0)
Revenue Per Share,$179.24,$173.40,$186.91,$176.56,$135.07,$136.55
Basic EPS,($16.50),$9.38,($18.06),($5.25),($5.83),($1.50)
Basic EPS - Continuing Ops,($16.50),$9.38,($18.06),($5.25),($5.83),($1.50)
Basic Weighted Average Shares Outst.,93.7,93.5,93.3,93.6,93.8,94.4
Diluted EPS,($16.50),$9.34,($18.06),($5.25),($5.83),($1.51)
Diluted EPS - Continuing Ops,($16.50),$9.34,($18.06),($5.25),($5.83),($1.51)
Diluted Weighted Average Shares Outst.,93.7,93.9,93.3,93.6,93.8,94.4
Normalized Basic EPS,$6.09,$7.29,($0.08),$0.39,($1.76),$0.55
Normalized Diluted EPS,$6.09,$7.26,($0.08),$0.39,($1.76),$0.55
Dividend Per Share,,$0.83,$1.10,,,
Payout Ratio,,5.93%,NM,NM,,
EBITDA,1069.0,1190.0,719.0,403.0,367.0,493.0
EBITA,742.0,858.0,326.0,125.0,72.0,206.0
EBIT,725.0,837.0,279.0,85.0,35.0,169.0
EBITDAR,1189.0,1316.0,,,516.0,
Effective Tax Rate,487.8%,9.3%,NM,"20,500.0%",NM,NM
Normalized Net Income,570.4,681.9,(7.8),36.4,(164.8),52.0
R&D Expense From Footnotes,460.0,488.0,513.0,454.0,370.0,370.0
Foreign Sales,12038.0,14130.0,21558.0,20429.0,15725.0,
