Income Statement,Dec 2017,Dec 2018,Dec 2019,Jan 2021,TTM
Revenues,10.21%,12.93%,(3.54%),5.87%,7.29%
Total Revenues,10.21%,12.93%,(3.54%),5.87%,7.29%
Cost Of Revenues,13.96%,10.23%,(5.65%),9.74%,11.04%
Gross Profit,7.75%,14.80%,(2.13%),3.38%,4.84%
Selling General & Admin Expenses,2.73%,23.86%,(0.71%),1.73%,(1.70%)
R&D Expenses,4.88%,13.77%,7.89%,11.95%,9.87%
Total Operating Expenses,3.94%,18.14%,3.99%,7.53%,4.89%
Operating Income,28.21%,0.28%,(33.46%),(29.80%),4.43%
Interest Expense,(446.12%),(39.40%),(2.74%),(68.74%),(92.16%)
Interest And Investment Income,574.50%,10.55%,93.65%,(31.88%),(36.86%)
Net Interest Expenses,(377.86%),(61.05%),-44.10%,(248.32%),(326.28%)
"EBT, Excl. Unusual Items",19.24%,(6.10%),(31.55%),(70.68%),(44.90%)
"EBT, Incl. Unusual Items",19.24%,(6.17%),(31.20%),(69.18%),(43.47%)
Income Tax Expense,893.04%,,,(90.88%),(88.98%)
Earnings From Continuing Operations,(23.42%),77.51%,(76.95%),(34.95%),47.70%
Net Income to Company,(23.42%),77.51%,(76.95%),(34.95%),47.70%
Net Income,(23.42%),77.51%,(76.95%),(34.95%),47.70%
NI to Common Incl Extra Items,(23.42%),77.51%,(76.95%),(34.95%),47.70%
NI to Common Excl. Extra Items,(23.42%),77.51%,(76.95%),(34.95%),47.70%
Revenue Per Share,8.34%,11.09%,(3.96%),4.84%,6.20%
Basic EPS,(24.53%),74.49%,(77.09%),(34.94%),46.20%
Basic EPS - Continuing Ops,(24.53%),74.49%,(77.09%),(34.94%),46.20%
Basic Weighted Average Shares Outst.,1.76%,1.68%,0.43%,0.99%,1.02%
Diluted EPS,(24.83%),74.31%,(77.37%),(34.88%),45.78%
Diluted EPS - Continuing Ops,(24.83%),74.31%,(77.37%),(34.88%),45.78%
Diluted Weighted Average Shares Outst.,2.26%,1.64%,0.56%,0.19%,0.62%
Normalized Basic EPS,16.74%,(7.46%),(32.12%),(70.86%),(45.45%)
Normalized Diluted EPS,16.76%,(7.69%),(31.61%),(70.84%),(45.23%)
EBITDA,18.45%,14.36%,(22.08%),(9.59%),10.02%
EBITA,19.77%,9.93%,(21.92%),(12.16%),8.06%
EBIT,28.21%,0.28%,(33.46%),(29.80%),4.43%
EBITDAR,18.39%,14.14%,(21.33%),(9.29%),
Effective Tax Rate,733.64%,,,(70.42%),(80.50%)
Normalized Net Income,19.24%,(6.10%),(31.55%),(70.68%),(44.90%)
Interest on Long-Term Debt,,25.65%,3.14%,42.13%,
R&D Expense From Footnotes,4.88%,13.77%,7.89%,11.95%,9.87%
Foreign Sales,8.83%,9.54%,1.14%,9.27%,
