Income Statement,Feb 2018,Feb 2019,Feb 2020,Jan 2021,TTM
Revenues,8.44%,(1.79%),3.72%,9.52%,9.52%
Total Revenues,8.44%,(1.79%),3.72%,9.52%,9.52%
Cost Of Revenues,10.74%,(1.68%),3.07%,5.29%,5.29%
Gross Profit,3.19%,(2.06%),5.33%,19.71%,19.71%
Selling General & Admin Expenses,7.78%,0.91%,6.73%,2.04%,2.04%
Total Operating Expenses,7.01%,(0.24%),6.64%,1.50%,1.50%
Operating Income,(9.92%),(9.47%),(0.57%),107.25%,107.25%
Interest Expense,(37.41%),(27.35%),(66.00%),(186.93%),(186.93%)
Net Interest Expenses,(37.41%),(27.35%),(66.00%),(186.93%),(186.93%)
Other Non Operating Income (Expenses),90.04%,,,24.45%,24.45%
"EBT, Excl. Unusual Items",(8.53%),(14.14%),1.99%,101.29%,101.29%
"EBT, Incl. Unusual Items",9.36%,(13.85%),(5.61%),74.57%,74.57%
Income Tax Expense,4.01%,(37.01%),(1.62%),64.62%,64.62%
Earnings From Continuing Operations,12.54%,(1.11%),(7.00%),78.26%,78.26%
Net Income to Company,12.54%,(1.11%),(7.00%),78.26%,78.26%
Net Income,12.54%,(1.11%),(7.00%),78.26%,78.26%
NI to Common Incl Extra Items,12.54%,(1.11%),(7.00%),78.26%,78.26%
NI to Common Excl. Extra Items,12.54%,(1.11%),(7.00%),78.26%,78.26%
Revenue Per Share,12.61%,7.49%,15.87%,13.73%,13.74%
Basic EPS,16.74%,8.36%,3.96%,85.09%,85.12%
Basic EPS - Continuing Ops,16.74%,8.36%,3.96%,85.09%,85.12%
Basic Weighted Average Shares Outst.,(3.71%),(8.63%),(10.48%),(3.71%),(3.71%)
Diluted EPS,17.58%,7.64%,3.09%,71.26%,71.26%
Diluted EPS - Continuing Ops,17.58%,7.64%,3.09%,71.26%,71.26%
Diluted Weighted Average Shares Outst.,(4.13%),(8.18%),(9.83%),4.01%,4.01%
Normalized Basic EPS,(4.89%),(6.06%),14.00%,108.81%,109.04%
Normalized Diluted EPS,(4.50%),(6.41%),13.23%,93.61%,93.53%
Dividend Per Share,11.48%,32.35%,22.22%,13.64%,13.64%
Payout Ratio,(4.44%),23.49%,18.42%,(38.71%),(38.71%)
EBITDA,(8.55%),3.42%,2.41%,64.07%,64.07%
EBITA,(9.32%),(9.35%),(0.80%),105.75%,105.75%
EBIT,(9.92%),(9.47%),(0.57%),107.25%,107.25%
EBITDAR,(2.80%),1.81%,15.71%,32.35%,
Effective Tax Rate,(4.90%),(26.88%),4.24%,(5.70%),(5.70%)
Normalized Net Income,(8.53%),(14.14%),1.99%,101.29%,101.29%
