Income Statement,Sep 2017,Sep 2018,Sep 2019,Sep 2020,TTM
Revenues,13.23%,12.89%,(0.64%),(4.97%),(6.06%)
Total Revenues,13.23%,12.89%,(0.64%),(4.97%),(6.06%)
Fuel & Purchased Power,15.91%,52.80%,(3.60%),(17.16%),(27.64%)
Operations And Maintenance,2.20%,23.72%,(0.67%),(3.27%),(7.09%)
Depreciation & Amortization,12.13%,9.71%,7.90%,8.59%,8.14%
Other Operating Expenses,24.48%,(45.70%),(12.86%),13.88%,92.32%
Total Operating Expenses,13.07%,18.77%,(2.55%),(7.54%),(10.89%)
Operating Income,13.96%,(13.06%),10.83%,8.65%,19.24%
"Interest Expense, Total",(15.41%),(10.44%),(6.10%),(1.05%),-0.67%
Net Interest Expenses,(15.41%),(10.44%),(6.10%),(1.05%),-0.67%
Other Non-Operating Inc. (Exp.),(23.26%),(3.03%),110.94%,35.56%,9.76%
"EBT, Excl. Unusual Items",11.93%,(21.53%),16.73%,13.92%,28.11%
"EBT, Incl. Unusual Items",11.93%,(21.53%),16.73%,(53.90%),(39.93%)
Income Tax Expense,11.65%,,,(64.06%),(39.30%)
Earnings From Continuing Operations,12.07%,32.55%,(13.82%),(52.00%),(40.04%)
Net Income to Company,12.07%,32.55%,(13.82%),(52.00%),(40.04%)
Net Income,12.07%,32.55%,(13.82%),(52.00%),(40.04%)
Pref. Dividends and Other Adj.,(20.00%),25.00%,"1,040.00%",161.40%,58.51%
NI to Common Incl Extra Items,12.18%,32.57%,(16.28%),(58.80%),(45.34%)
NI to Common Excl. Extra Items,12.18%,32.57%,(16.28%),(58.80%),(45.34%)
Revenue Per Share,6.47%,7.81%,(3.78%),(5.90%),(7.11%)
Basic EPS,5.43%,26.52%,(18.88%),(59.22%),(45.95%)
Basic EPS - Continuing Ops,5.43%,26.52%,(18.88%),(59.22%),(45.95%)
Basic Weighted Average Shares Outst.,6.35%,4.69%,3.26%,0.99%,1.13%
Diluted EPS,5.86%,26.24%,(18.71%),(59.11%),(45.97%)
Diluted EPS - Continuing Ops,5.86%,26.24%,(18.71%),(59.11%),(45.97%)
Diluted Weighted Average Shares Outst.,6.09%,4.89%,3.04%,0.98%,1.08%
Normalized Basic EPS,5.20%,(25.10%),13.01%,12.85%,26.68%
Normalized Diluted EPS,5.68%,(25.17%),13.26%,12.63%,26.74%
Dividend Per Share,7.14%,7.14%,5.33%,5.06%,4.90%
Payout Ratio,0.76%,(14.75%),30.65%,143.06%,77.27%
EBITDA,13.34%,(5.82%),9.73%,8.62%,15.18%
EBITA,13.96%,(13.06%),15.48%,8.61%,18.77%
EBIT,13.96%,(13.06%),10.83%,8.65%,19.24%
EBITDAR,12.52%,(5.23%),9.71%,,
Effective Tax Rate,(0.24%),,,(22.05%),1.05%
Normalized Net Income,11.93%,(21.53%),16.73%,13.92%,28.11%
Interest on Long-Term Debt,(98.08%),169.23%,148.57%,(2.30%),
