Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,3.85%,(8.70%),5.53%,(4.71%),4.57%
Total Revenues,3.85%,(8.70%),5.53%,(4.71%),4.57%
Depreciation & Amortization,4.27%,5.02%,(0.89%),3.89%,5.07%
Other Operating Expenses,6.19%,(23.86%),12.07%,(2.25%),14.82%
Total Operating Expenses,4.16%,(11.35%),6.82%,(2.59%),6.39%
Operating Income,2.62%,1.84%,1.04%,(12.49%),(2.45%)
"Interest Expense, Total",-2.85%,-0.30%,(3.35%),(1.83%),(0.39%)
Net Interest Expenses,-2.85%,-0.30%,(3.35%),(1.83%),(0.39%)
Other Non-Operating Inc. (Exp.),,(43.71%),113.57%,(32.02%),243.52%
"EBT, Excl. Unusual Items",12.49%,1.24%,2.21%,(20.83%),1.07%
"EBT, Incl. Unusual Items",12.49%,1.24%,2.21%,(20.83%),1.07%
Income Tax Expense,,,(6.49%),-44.94%,-60.58%
Earnings From Continuing Operations,(0.89%),21.05%,2.62%,(23.21%),(6.91%)
Net Income to Company,(0.89%),21.05%,2.62%,(23.21%),(6.91%)
Net Income,(0.89%),21.05%,2.62%,(23.21%),(6.91%)
NI to Common Incl Extra Items,(0.89%),21.05%,2.62%,(23.21%),(6.91%)
NI to Common Excl. Extra Items,(0.89%),21.05%,2.62%,(23.21%),(6.91%)
Revenue Per Share,3.30%,(11.31%),4.59%,(4.94%),4.30%
Basic EPS,(1.45%),17.62%,1.73%,(23.44%),(7.15%)
Basic EPS - Continuing Ops,(1.45%),17.62%,1.73%,(23.44%),(7.15%)
Basic Weighted Average Shares Outst.,0.54%,2.94%,0.89%,0.26%,0.26%
Diluted EPS,(1.47%),17.37%,1.53%,(23.12%),(6.78%)
Diluted EPS - Continuing Ops,(1.47%),17.37%,1.53%,(23.12%),(6.78%)
Diluted Weighted Average Shares Outst.,0.37%,3.25%,1.02%,(0.09%),(0.07%)
Normalized Basic EPS,11.64%,(1.81%),1.26%,(21.10%),0.81%
Normalized Diluted EPS,11.97%,(1.88%),1.07%,(20.62%),1.14%
Dividend Per Share,5.00%,4.76%,4.55%,4.35%,4.09%
Payout Ratio,6.71%,(10.92%),2.74%,36.13%,12.00%
EBITDA,3.26%,3.08%,0.27%,(6.09%),0.63%
EBITA,2.62%,1.84%,1.04%,(12.49%),(2.45%)
EBIT,2.62%,1.84%,1.04%,(12.49%),(2.45%)
Effective Tax Rate,,,,,-61.00%
Normalized Net Income,12.49%,1.24%,2.21%,(20.83%),1.07%
Interest Capitalized,,(30.59%),38.98%,19.51%,
