Income Statement,Sep 2017,Sep 2018,Sep 2019,Sep 2020,TTM
Revenues,7.43%,2.39%,38.76%,10.03%,7.42%
Total Revenues,7.43%,2.39%,38.76%,10.03%,7.42%
Cost Of Revenues,3.56%,2.47%,48.15%,13.89%,8.27%
Gross Profit,12.32%,2.30%,27.84%,4.84%,6.19%
Selling General & Admin Expenses,6.14%,3.86%,17.23%,4.95%,0.32%
R&D Expenses,(17.29%),1.82%,41.52%,7.57%,(4.61%)
Total Operating Expenses,6.57%,3.74%,24.07%,6.83%,0.69%
Operating Income,22.63%,0.06%,33.93%,1.86%,15.27%
Interest Expense,-2.21%,(85.31%),(129.67%),-13.72%,-12.96%
Interest And Investment Income,(13.04%),(30.00%),450.00%,(92.21%),(92.00%)
Net Interest Expenses,-1.73%,(89.82%),(125.05%),-10.95%,-10.23%
Currency Exchange Gains (Loss),"(4,600.00%)",(72.34%),-35.80%,(67.31%),(76.27%)
Other Non Operating Income (Expenses),-63.16%,,,,
"EBT, Excl. Unusual Items",27.38%,(18.28%),(8.16%),17.71%,47.50%
"EBT, Incl. Unusual Items",64.94%,(35.89%),(58.28%),(7.39%),130.38%
Income Tax Expense,88.95%,13.79%,(89.72%),148.81%,"1,242.86%"
Earnings From Continuing Operations,57.79%,(53.60%),(30.80%),(27.67%),71.54%
Earnings Of Discontinued Operations,,,,(930.15%),(955.64%)
Net Income to Company,57.79%,(53.60%),(45.35%),,
Net Income,57.79%,(53.60%),(45.35%),,
Preferred Dividend and Other Adjustments,,,,35.00%,1.25%
NI to Common Incl Extra Items,57.79%,(53.60%),(58.18%),,
NI to Common Excl. Extra Items,57.79%,(53.60%),(43.64%),(41.94%),118.99%
Revenue Per Share,7.79%,5.63%,24.98%,6.19%,7.57%
Basic EPS,58.53%,(52.19%),(62.25%),,
Basic EPS - Continuing Ops,58.53%,(52.19%),(49.12%),(43.70%),119.31%
Basic Weighted Average Shares Outst.,(0.32%),(3.08%),11.04%,3.61%,(0.15%)
Diluted EPS,57.84%,(52.80%),(61.98%),,
Diluted EPS - Continuing Ops,57.84%,(52.80%),(48.68%),(43.59%),120.58%
Diluted Weighted Average Shares Outst.,0.16%,(1.92%),9.61%,3.27%,(1.36%)
Normalized Basic EPS,27.72%,(15.56%),(17.31%),13.85%,47.71%
Normalized Diluted EPS,27.11%,(16.81%),(16.16%),13.94%,49.54%
Dividend Per Share,10.00%,5.45%,3.45%,0.00%,0.00%
Payout Ratio,(30.16%),118.33%,137.86%,,
EBITDA,25.14%,(1.93%),38.86%,8.86%,18.33%
EBITA,25.60%,0.15%,37.61%,8.15%,18.44%
EBIT,22.63%,0.06%,33.93%,1.86%,15.27%
EBITDAR,24.32%,,,,
Effective Tax Rate,14.57%,77.51%,(75.36%),168.68%,482.88%
Normalized Net Income,27.38%,(18.28%),(8.16%),17.71%,47.50%
R&D Expense From Footnotes,(17.29%),1.82%,46.43%,7.93%,(5.80%)
Foreign Sales,2.79%,3.51%,22.83%,4.17%,
