Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,44.68%,5.25%,(10.01%),11.77%,22.72%
Total Revenues,44.68%,5.25%,(10.01%),11.77%,22.72%
Cost Of Revenues,42.89%,10.02%,(7.91%),8.78%,18.73%
Gross Profit,45.26%,3.71%,(10.73%),12.83%,24.10%
Selling General & Admin Expenses,32.88%,19.01%,4.24%,(2.28%),(1.92%)
R&D Expenses,26.75%,17.38%,2.56%,9.68%,3.20%
Total Operating Expenses,30.92%,18.51%,3.73%,1.35%,(0.32%)
Operating Income,68.02%,(14.57%),(35.52%),44.47%,97.54%
Interest And Investment Income,35.56%,54.21%,33.80%,(34.00%),(53.44%)
Net Interest Expenses,35.56%,54.21%,33.80%,(34.00%),(53.44%)
Currency Exchange Gains (Loss),,-33.54%,-52.16%,,
Other Non Operating Income (Expenses),,-39.34%,-14.86%,(123.81%),(164.94%)
"EBT, Excl. Unusual Items",64.86%,(11.96%),(31.11%),37.56%,85.42%
"EBT, Incl. Unusual Items",64.41%,(11.97%),(30.51%),14.67%,61.56%
Income Tax Expense,395.10%,(82.95%),,,
Earnings From Continuing Operations,22.76%,24.08%,(7.02%),(13.58%),17.95%
Net Income to Company,22.98%,24.08%,(7.02%),(13.58%),17.95%
Net Income,22.98%,24.08%,(7.02%),(13.58%),17.95%
NI to Common Incl Extra Items,22.98%,24.08%,(7.02%),(13.58%),17.95%
NI to Common Excl. Extra Items,22.76%,24.08%,(7.02%),(13.58%),17.95%
Revenue Per Share,42.61%,5.86%,(9.43%),10.25%,20.65%
Basic EPS,21.40%,24.74%,(6.23%),(14.66%),15.96%
Basic EPS - Continuing Ops,21.40%,24.74%,(6.23%),(14.66%),15.96%
Basic Weighted Average Shares Outst.,1.53%,(0.55%),(0.66%),1.34%,1.71%
Diluted EPS,18.07%,26.53%,(6.45%),(13.79%),16.55%
Diluted EPS - Continuing Ops,18.07%,26.53%,(6.45%),(13.79%),16.55%
Diluted Weighted Average Shares Outst.,3.10%,(1.19%),(1.20%),0.75%,1.38%
Normalized Basic EPS,62.88%,(11.38%),(30.59%),35.73%,82.30%
Normalized Diluted EPS,59.90%,(11.14%),(30.57%),35.65%,82.90%
Dividend Per Share,11.67%,8.82%,7.89%,7.14%,7.14%
Payout Ratio,(6.37%),(11.55%),18.58%,28.74%,(5.55%)
EBITDA,63.10%,(12.02%),(30.98%),38.82%,80.82%
EBITA,66.50%,(14.48%),(34.90%),44.13%,94.64%
EBIT,68.02%,(14.57%),(35.52%),44.47%,97.54%
EBITDAR,61.27%,(11.22%),(30.49%),38.02%,
Effective Tax Rate,201.27%,(80.63%),,,
Normalized Net Income,64.86%,(11.96%),(31.11%),37.56%,85.42%
R&D Expense From Footnotes,26.75%,17.38%,2.56%,9.68%,3.20%
Foreign Sales,51.33%,(1.92%),(16.82%),11.06%,
