Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Rental Revenue,13.40%,6.48%,7.66%,(1.53%),(2.51%)
Total Revenues,9.61%,6.45%,7.68%,(1.46%),(2.41%)
Property Expenses,7.89%,8.63%,10.19%,2.55%,0.90%
Selling General & Admin Exp.,(7.40%),1.31%,9.94%,1.35%,4.13%
Depreciation & Amortization,16.51%,0.39%,8.30%,4.10%,2.89%
Other Operating Expenses,174.52%,,,(70.88%),(68.16%)
Total Operating Expenses,10.35%,(2.44%),8.85%,3.45%,2.79%
Operating Income,9.10%,12.62%,6.98%,(4.47%),(5.59%)
Total Interest Expense,(13.24%),(6.18%),(3.60%),(7.84%),(5.34%)
Interest and Investment Income,89.41%,462.11%,71.93%,(86.60%),(88.15%)
Net Interest Expenses,(13.11%),(4.83%),(2.52%),(10.35%),(7.42%)
"EBT, Excl. Unusual Items",7.36%,16.20%,8.82%,(10.26%),(10.79%)
Gain (Loss) on Sale of Assets,34.85%,77.52%,(50.11%),(49.98%),(77.73%)
Asset Writedown,,,(13.40%),(17.04%),-0.58%
Other Unusual Items,,,,,(27.87%)
"EBT, Incl. Unusual Items",10.80%,10.22%,2.44%,(23.63%),(22.67%)
Earnings From Continuing Operations,10.80%,10.22%,2.44%,(23.63%),(22.67%)
Net Income to Company,10.80%,10.22%,2.44%,(23.63%),(22.67%)
Minority Interest,"(6,533.33%)",-90.45%,"(1,026.32%)",,
Net Income,10.64%,10.37%,2.30%,(23.52%),(22.55%)
Pref. Dividends and Other Adj.,22.87%,(27.81%),19.28%,(55.19%),(50.38%)
NI to Common Incl Extra Items,8.23%,18.88%,0.00%,(18.41%),(18.32%)
NI to Common Excl. Extra Items,8.23%,18.88%,0.00%,(18.41%),(18.32%)
Revenue Per Share,6.02%,1.99%,1.78%,(5.68%),(5.70%)
Basic EPS,4.53%,14.06%,(5.21%),(21.73%),(21.07%)
Basic EPS - Continuing Ops,4.53%,14.06%,(5.21%),(21.73%),(21.07%)
Basic Weighted Average Shares Outst.,3.42%,4.45%,5.74%,4.51%,3.48%
Diluted EPS,5.07%,13.79%,(5.45%),(21.79%),(20.78%)
Diluted EPS - Continuing Ops,5.07%,13.79%,(5.45%),(21.79%),(20.78%)
Diluted Weighted Average Shares Outst.,3.30%,4.59%,5.62%,4.32%,3.34%
Normalized Basic EPS,3.01%,11.40%,2.97%,(13.73%),(13.61%)
Normalized Diluted EPS,3.87%,11.01%,2.72%,(13.78%),(13.49%)
Dividend Per Share,4.49%,4.84%,4.10%,1.97%,1.47%
Payout Ratio,(3.68%),(7.65%),7.04%,39.21%,37.10%
FFO,8.66%,,,,
FFO Payout Ratio %,(0.77%),,,,
AFFO,8.66%,,,,
Funds Available for Distribution,8.66%,,,,
EBITDA,11.44%,8.72%,7.75%,(1.81%),(2.89%)
EBITA,10.32%,9.61%,7.00%,(4.33%),(5.49%)
EBIT,9.10%,12.62%,6.98%,(4.47%),(5.59%)
Normalized Net Income,7.07%,16.49%,8.60%,(10.05%),(10.60%)
Interest Capitalized,40.10%,9.86%,(58.92%),26.30%,
