Income Statement,Sep 2017,Sep 2018,Sep 2019,Sep 2020,TTM
Revenues,8.77%,12.83%,8.78%,(18.20%),(15.47%)
Total Revenues,8.77%,12.83%,8.78%,(18.20%),(15.47%)
Cost Of Revenues,8.16%,12.48%,8.04%,(16.33%),(13.96%)
Gross Profit,11.74%,14.50%,12.23%,(26.62%),(22.60%)
Selling General & Admin Expenses,9.73%,2.05%,(0.03%),(10.50%),(11.86%)
Total Operating Expenses,7.96%,0.88%,(0.22%),(13.55%),(14.31%)
Operating Income,18.17%,35.62%,26.60%,(38.51%),(30.98%)
Interest Expense,-1.65%,(20.13%),-24.02%,(9.01%),-23.56%
Interest And Investment Income,133.33%,212.24%,(55.56%),10.29%,5.45%
Net Interest Expenses,-6.50%,(2.93%),-15.45%,(8.82%),-26.36%
Other Non Operating Income (Expenses),3.70%,(57.14%),8.33%,(46.15%),
"EBT, Excl. Unusual Items",22.64%,38.11%,31.68%,(42.29%),(30.02%)
"EBT, Incl. Unusual Items",33.68%,44.31%,26.02%,(41.75%),(29.83%)
Income Tax Expense,37.66%,(2.67%),38.37%,(34.15%),(35.10%)
Earnings From Continuing Operations,31.98%,65.23%,22.78%,(43.99%),(28.16%)
Net Income to Company,31.98%,65.23%,22.78%,(43.99%),(28.16%)
Net Income,31.98%,65.23%,22.78%,(43.99%),(28.16%)
NI to Common Incl Extra Items,31.98%,65.23%,22.78%,(43.99%),(28.16%)
NI to Common Excl. Extra Items,31.98%,65.23%,22.78%,(43.99%),(28.16%)
Revenue Per Share,7.16%,13.85%,15.29%,(16.19%),(15.11%)
Basic EPS,30.09%,66.93%,30.07%,(42.63%),(27.85%)
Basic EPS - Continuing Ops,30.09%,66.93%,30.07%,(42.63%),(27.85%)
Basic Weighted Average Shares Outst.,1.50%,(0.90%),(5.65%),(2.39%),(0.43%)
Diluted EPS,29.55%,66.84%,30.52%,(42.51%),(27.48%)
Diluted EPS - Continuing Ops,29.55%,66.84%,30.52%,(42.51%),(27.48%)
Diluted Weighted Average Shares Outst.,1.82%,(1.07%),(5.90%),(2.51%),(0.63%)
Normalized Basic EPS,20.80%,39.16%,39.71%,(40.88%),(29.72%)
Normalized Diluted EPS,20.29%,39.76%,39.99%,(40.81%),(29.58%)
Dividend Per Share,10.53%,14.29%,12.50%,11.11%,10.53%
Payout Ratio,(14.87%),(31.39%),(13.65%),93.46%,53.45%
EBITDA,14.05%,26.38%,21.78%,(35.69%),(28.94%)
EBITA,14.52%,30.94%,24.86%,(39.91%),(32.67%)
EBIT,18.17%,35.62%,26.60%,(38.51%),(30.98%)
EBITDAR,13.46%,,,,
Effective Tax Rate,2.99%,(32.55%),9.81%,13.04%,(7.51%)
Normalized Net Income,22.64%,38.11%,31.68%,(42.29%),(30.02%)
R&D Expense From Footnotes,(4.95%),1.33%,(0.30%),4.95%,4.95%
Foreign Sales,348.55%,12.83%,8.78%,(18.20%),
