Income Statement,May 2016,Jun 2017,Jun 2018,Jun 2019,May 2020,TTM
Revenues,2264.9,2278.2,2381.2,2567.2,2486.6,2319.4
Total Revenues,2264.9,2278.2,2381.2,2567.2,2486.6,2319.4
Cost Of Revenues,1390.7,1414.0,1508.2,1637.3,1575.9,1428.4
Gross Profit,874.2,864.2,873.0,929.9,910.7,891.0
Selling General & Admin Expenses,585.6,587.8,619.5,641.9,646.6,593.9
R&D Expenses,77.1,73.1,73.1,76.9,74.0,68.6
Total Operating Expenses,662.7,660.9,692.6,718.8,720.6,662.5
Operating Income,211.5,203.3,180.4,211.1,190.1,228.5
Interest Expense,(15.4),(15.2),(13.5),(12.1),(12.5),(11.0)
Interest And Investment Income,0.8,2.2,4.4,2.1,2.3,1.6
Net Interest Expenses,(14.6),(13.0),(9.1),(10.0),(10.2),(9.4)
Currency Exchange Gains (Loss),(0.7),(0.7),0.4,0.3,(1.1),(1.1)
Other Non Operating Income (Expenses),0.4,0.5,2.1,3.9,3.4,5.6
"EBT, Excl. Unusual Items",197.0,191.7,176.8,210.3,187.2,225.0
"EBT, Incl. Unusual Items",197.0,179.2,171.1,200.1,(8.4),11.3
Income Tax Expense,59.5,55.1,42.4,39.6,6.0,20.1
Earnings From Continuing Operations,137.5,124.1,128.7,160.5,(14.4),(8.8)
Net Income to Company,137.5,124.1,128.7,160.5,(14.4),(8.8)
Minority Interest,(0.8),(0.2),(0.6),,5.3,0.9
Net Income,136.7,123.9,128.1,160.5,(9.1),(7.9)
NI to Common Incl Extra Items,136.7,123.9,128.1,160.5,(9.1),(7.9)
NI to Common Excl. Extra Items,136.7,123.9,128.1,160.5,(9.1),(7.9)
Revenue Per Share,$37.85,$38.05,$39.90,$43.50,$42.20,$39.40
Basic EPS,$2.28,$2.07,$2.15,$2.72,($0.15),($0.13)
Basic EPS - Continuing Ops,$2.28,$2.07,$2.15,$2.72,($0.15),($0.13)
Basic Weighted Average Shares Outst.,59.8,59.9,59.7,59.0,58.9,58.9
Diluted EPS,$2.26,$2.05,$2.12,$2.70,($0.15),($0.13)
Diluted EPS - Continuing Ops,$2.26,$2.05,$2.12,$2.70,($0.15),($0.13)
Diluted Weighted Average Shares Outst.,60.5,60.6,60.3,59.4,58.9,58.9
Normalized Basic EPS,$2.04,$2.00,$1.84,$2.23,$2.08,$2.40
Normalized Diluted EPS,$2.02,$1.98,$1.82,$2.21,$2.08,$2.40
Dividend Per Share,$0.59,$0.68,$0.72,$0.79,$0.63,$0.38
Payout Ratio,25.53%,31.80%,33.10%,28.41%,NM,NM
EBITDA,264.5,262.2,247.3,283.2,269.6,313.1
EBITA,217.5,209.3,186.4,217.3,201.5,239.9
EBIT,211.5,203.3,180.4,211.1,190.1,228.5
EBITDAR,310.1,307.5,,,331.7,
Effective Tax Rate,30.2%,30.7%,24.8%,19.8%,NM,177.9%
Normalized Net Income,122.3,119.6,109.9,131.4,122.3,141.5
Interest on Long-Term Debt,15.4,15.2,13.5,12.1,12.5,
R&D Expense From Footnotes,77.1,73.1,73.1,76.9,74.0,68.6
Foreign Sales,507.9,588.1,643.3,701.4,690.8,
