Income Statement,Dec 2016,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Interest Income On Loans,598.0,862.0,1022.0,1085.0,990.0,945.8
Total Interest Income,679.0,980.0,1170.0,1247.0,1130.0,1075.3
Interest On Deposits,41.0,72.0,142.0,217.0,133.0,98.8
Total Interest On Borrowings,26.0,62.0,96.0,113.0,75.0,64.3
Total Interest Expense,67.0,134.0,238.0,330.0,208.0,163.0
Net Interest Income,612.0,846.0,932.0,917.0,922.0,912.3
Trust Income,21.0,23.0,26.0,28.0,31.0,32.1
Total Mortgage Banking Activities,12.0,20.0,23.5,33.0,55.8,64.9
Gain (Loss) on Sale of Assets,,,5.1,,,
Gain (Loss) on Sale of Invest. & Securities,(1.6),6.0,0.0,(3.1),10.0,10.0
Total Other Non Interest Income,164.6,203.0,222.8,233.9,224.5,220.9
Total Non Interest Income,196.0,252.0,277.5,291.8,321.3,327.9
Revenue Before Loan Losses,808.0,1098.0,1209.5,1208.8,1243.3,1240.2
Provision For Loan Losses,56.0,61.0,61.0,44.0,123.0,81.1
Total Revenues,752.0,1037.0,1148.5,1164.8,1120.3,1159.1
Salaries And Other Employee Benefits,233.0,319.0,360.0,362.5,385.5,389.0
Amort. of Goodwill & Intang. Assets,11.0,18.0,16.0,14.0,13.0,12.7
Occupancy Expense,40.0,54.0,60.0,59.0,71.0,65.7
Total Selling General & Admin Expenses,89.0,113.0,131.0,138.0,151.0,152.0
Total Other Non Interest Expense,79.4,87.0,95.0,95.8,94.1,85.8
Total Non Interest Expense,471.4,624.0,695.0,692.3,734.6,724.6
"EBT, Excl. Unusual Items",280.6,413.0,453.5,472.5,385.7,434.5
Restructuring Charges,,,,(0.5),(1.4),(1.4)
Asset Writedown,,,(1.5),(1.0),(5.8),1.9
Other Unusual Items,2.4,,,,(35.5),(35.5)
"EBT, Incl. Unusual Items",246.0,356.0,452.0,471.0,343.0,399.5
Income Tax Expense,75.0,157.0,79.0,84.0,57.0,67.7
Earnings From Continuing Operations,171.0,199.0,373.0,387.0,286.0,331.8
Net Income to Company,171.0,199.0,373.0,387.0,286.0,331.8
Net Income,171.0,199.0,373.0,387.0,286.0,331.8
Preferred Dividend and Other Adjustments,8.0,8.0,8.0,8.0,8.0,8.0
Net Income to Common Incl Extra Items,163.0,191.0,365.0,379.0,278.0,323.8
Net Income to Common Excl. Extra Items,163.0,191.0,365.0,379.0,278.0,323.8
Revenue Per Share,$3.65,$3.43,$3.54,$3.58,$3.46,$3.58
Basic EPS,$0.79,$0.63,$1.13,$1.17,$0.86,$1.00
Basic EPS - Continuing Ops,$0.79,$0.63,$1.13,$1.17,$0.86,$1.00
Basic Weighted Average Shares Outst.,206.2,302.2,324.2,324.9,323.4,323.7
Diluted EPS,$0.78,$0.63,$1.12,$1.16,$0.85,$0.99
Diluted EPS - Continuing Ops,$0.78,$0.63,$1.12,$1.16,$0.85,$0.99
Diluted Weighted Average Shares Outst.,207.8,303.9,325.6,326.1,325.5,325.4
Normalized Basic EPS,$0.85,$0.85,$0.87,$0.91,$0.75,$0.84
Normalized Diluted EPS,$0.84,$0.85,$0.87,$0.91,$0.74,$0.83
Dividend Per Share,$0.48,$0.48,$0.48,$0.48,$0.48,$0.48
Payout Ratio,64.33%,75.88%,44.24%,42.64%,57.69%,
Effective Tax Rate,30.5%,44.1%,17.5%,17.8%,16.6%,16.9%
Normalized Net Income,175.4,258.1,283.4,295.3,241.1,271.6
Interest on Long-Term Debt,14.0,18.3,21.0,33.2,36.8,
