Income Statement,Jun 2017,Jun 2018,Jun 2019,Jun 2020,TTM
Revenues,(52.28%),19.88%,16.77%,(16.31%),50.16%
Total Revenues,(52.28%),19.88%,16.77%,(16.31%),50.16%
Cost Of Revenues,(53.30%),17.06%,11.58%,(6.08%),69.10%
Gross Profit,(49.90%),25.98%,27.20%,(34.32%),15.17%
Selling General & Admin Expenses,(47.91%),16.88%,17.85%,5.33%,9.34%
R&D Expenses,(32.60%),11.86%,24.04%,16.66%,33.42%
Total Operating Expenses,(44.92%),15.94%,22.77%,9.59%,19.10%
Operating Income,,,546.15%,,(24.93%)
Interest Expense,,,(256.16%),(34.23%),(62.75%)
Interest And Investment Income,(39.61%),145.95%,53.85%,17.14%,(46.74%)
Net Interest Expenses,(39.61%),(51.35%),,(54.17%),(239.47%)
Currency Exchange Gains (Loss),,(21.74%),,,400.00%
Other Non Operating Income (Expenses),,-66.67%,,66.67%,
"EBT, Excl. Unusual Items",,,(36.67%),,(39.90%)
"EBT, Incl. Unusual Items",-69.79%,(147.89%),(156.82%),(321.24%),(18.61%)
Income Tax Expense,,,,(98.43%),
Earnings From Continuing Operations,(309.08%),-81.38%,(253.05%),(229.19%),(24.10%)
Earnings Of Discontinued Operations,,"(2,535.00%)",(20.38%),,-39.73%
Net Income to Company,(355.52%),(185.32%),(34.01%),-49.19%,(44.94%)
Minority Interest,,,,,(400.00%)
Net Income,(355.52%),(185.42%),(33.96%),-48.89%,(45.44%)
NI to Common Incl Extra Items,(355.52%),(185.42%),(33.96%),-48.89%,(45.44%)
NI to Common Excl. Extra Items,(309.08%),-81.27%,(250.91%),(231.09%),(24.89%)
Revenue Per Share,(50.67%),18.68%,12.24%,(19.71%),44.59%
Basic EPS,(374.32%),(181.32%),(28.88%),-50.94%,(40.04%)
Basic EPS - Continuing Ops,(325.97%),-81.37%,(228.83%),(217.15%),(20.26%)
Basic Weighted Average Shares Outst.,(3.24%),1.06%,4.07%,4.21%,3.85%
Diluted EPS,(374.32%),(181.74%),(28.46%),-50.83%,(40.18%)
Diluted EPS - Continuing Ops,(325.97%),-80.90%,(229.41%),(217.86%),(20.47%)
Diluted Weighted Average Shares Outst.,(3.24%),1.06%,4.07%,4.21%,3.85%
Normalized Basic EPS,,,(42.68%),,(36.13%)
Normalized Diluted EPS,,,(42.68%),,(36.13%)
EBITDA,(12.93%),(14.22%),20.54%,,(0.84%)
EBITA,,,127.16%,,(26.45%)
EBIT,,,546.15%,,(24.93%)
EBITDAR,(14.76%),,,,
Normalized Net Income,,,(34.93%),,(41.38%)
Interest on Long-Term Debt,,,,46.90%,
R&D Expense From Footnotes,(38.68%),12.50%,25.13%,16.11%,32.28%
Foreign Sales,,23.48%,16.16%,(15.49%),
