Income Statement,Dec 2016,Dec 2017,Dec 2018,Dec 2019,Jan 2021,TTM
Revenues,3224.5,3360.3,3645.6,3238.0,2907.0,2986.9
Total Revenues,3224.5,3360.3,3645.6,3238.0,2907.0,2986.9
Cost Of Revenues,2354.8,2465.2,2677.8,2366.6,2080.1,2117.9
Gross Profit,869.7,895.1,967.8,871.4,826.9,869.0
Selling General & Admin Expenses,519.2,537.8,559.9,510.4,458.1,474.6
R&D Expenses,29.5,29.9,29.3,22.5,34.7,34.7
Total Operating Expenses,548.7,567.7,589.2,532.9,492.8,509.3
Operating Income,321.0,327.4,378.6,338.5,334.1,359.7
Interest Expense,(58.7),(56.1),(55.2),(53.0),(39.8),(40.8)
Interest And Investment Income,4.5,3.2,1.9,5.6,5.9,6.3
Net Interest Expenses,(54.2),(52.9),(53.3),(47.4),(33.9),(34.5)
Currency Exchange Gains (Loss),(5.2),14.3,(6.8),(1.1),(8.6),(8.6)
Other Non Operating Income (Expenses),,(0.4),(0.4),0.7,1.3,1.4
"EBT, Excl. Unusual Items",261.6,288.4,318.1,290.7,292.9,318.0
"EBT, Incl. Unusual Items",266.4,277.2,292.2,303.8,250.6,277.2
Income Tax Expense,57.1,59.1,56.4,61.2,56.8,63.1
Earnings From Continuing Operations,209.3,218.1,235.8,242.6,193.8,214.1
Net Income to Company,209.3,218.1,235.8,242.6,193.8,214.1
Minority Interest,(5.9),(5.1),(4.6),(3.7),(4.5),(5.0)
Net Income,203.4,213.0,231.2,238.9,189.3,209.1
NI to Common Incl Extra Items,203.4,213.0,231.2,238.9,189.3,209.1
NI to Common Excl. Extra Items,203.4,213.0,231.2,238.9,189.3,209.1
Revenue Per Share,$72.14,$75.34,$83.61,$77.10,$71.60,$73.57
Basic EPS,$4.55,$4.78,$5.30,$5.69,$4.66,$5.15
Basic EPS - Continuing Ops,$4.55,$4.78,$5.30,$5.69,$4.66,$5.15
Basic Weighted Average Shares Outst.,44.7,44.6,43.6,42.0,40.6,40.6
Diluted EPS,$4.52,$4.74,$5.26,$5.66,$4.64,$5.12
Diluted EPS - Continuing Ops,$4.52,$4.74,$5.26,$5.66,$4.64,$5.12
Diluted Weighted Average Shares Outst.,45.0,44.9,43.9,42.2,40.8,40.9
Normalized Basic EPS,$3.53,$3.93,$4.45,$4.24,$4.40,$4.77
Normalized Diluted EPS,$3.50,$3.90,$4.42,$4.22,$4.38,$4.74
Dividend Per Share,$0.95,$1.02,$1.10,$1.18,$1.20,$1.20
Payout Ratio,20.70%,20.89%,20.42%,20.47%,25.73%,23.29%
EBITDA,476.4,464.6,521.0,473.0,465.5,490.3
EBITA,383.0,382.6,433.5,388.8,381.4,407.0
EBIT,321.0,327.4,378.6,338.5,334.1,359.7
EBITDAR,508.3,,,504.1,496.4,
Effective Tax Rate,21.4%,21.3%,19.3%,20.1%,22.7%,22.8%
Normalized Net Income,157.6,175.2,194.2,178.0,178.6,193.8
Interest on Long-Term Debt,58.7,56.1,55.2,53.0,39.8,
R&D Expense From Footnotes,29.5,29.9,29.3,22.5,34.7,34.7
Foreign Sales,1011.9,1093.1,3645.6,3238.0,2907.0,
