Income Statement,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,TTM
Revenues,1162.1,986.8,909.9,891.8,831.3,831.3
Total Revenues,1162.1,986.8,909.9,891.8,831.3,831.3
Cost Of Revenues,345.2,271.7,254.1,242.2,222.1,222.1
Gross Profit,816.9,715.1,655.8,649.6,609.2,609.2
Selling General & Admin Expenses,447.1,422.0,385.4,376.5,331.7,331.7
R&D Expenses,232.7,215.1,203.5,188.3,179.2,179.2
Total Operating Expenses,749.9,713.7,663.2,629.3,572.0,572.0
Operating Income,67.0,1.4,(7.4),20.3,37.2,37.2
Interest Expense,(9.2),(12.6),(26.1),(20.6),(14.8),(14.8)
Interest And Investment Income,1.0,1.8,5.2,4.5,,
Net Interest Expenses,(8.2),(10.8),(20.9),(16.1),(14.8),(14.8)
Currency Exchange Gains (Loss),(2.5),(4.1),(2.0),(0.7),,
Other Non Operating Income (Expenses),0.8,0.3,3.2,1.9,,
"EBT, Excl. Unusual Items",57.1,(13.2),(27.2),5.4,22.4,22.4
"EBT, Incl. Unusual Items",52.2,(18.7),(92.9),1.9,22.3,22.3
Income Tax Expense,18.9,(98.5),(19.6),4.7,3.0,3.0
Earnings From Continuing Operations,33.3,79.8,(73.3),(2.8),19.4,19.4
Net Income to Company,33.3,79.8,(73.3),(2.8),19.4,19.4
Net Income,33.3,79.8,(73.3),(2.8),19.4,19.4
NI to Common Incl Extra Items,33.3,79.8,(73.3),(2.8),19.4,19.4
NI to Common Excl. Extra Items,33.3,79.8,(73.3),(2.8),19.4,19.4
Revenue Per Share,$12.60,$11.29,$11.57,$11.87,$11.37,$11.37
Basic EPS,$0.36,$0.91,($0.93),($0.04),$0.26,$0.26
Basic EPS - Continuing Ops,$0.36,$0.91,($0.93),($0.04),$0.26,$0.26
Basic Weighted Average Shares Outst.,92.2,87.4,78.6,75.2,73.1,73.1
Diluted EPS,$0.36,$0.90,($0.93),($0.04),$0.26,$0.26
Diluted EPS - Continuing Ops,$0.36,$0.90,($0.93),($0.04),$0.26,$0.26
Diluted Weighted Average Shares Outst.,92.9,88.3,78.6,75.2,73.8,73.8
Normalized Basic EPS,$0.39,($0.09),($0.22),$0.04,$0.19,$0.19
Normalized Diluted EPS,$0.38,($0.09),($0.22),$0.04,$0.19,$0.19
EBITDA,227.3,153.9,129.3,135.9,143.4,143.4
EBITA,192.5,117.4,99.8,111.0,37.2,37.2
EBIT,67.0,1.4,(7.4),20.3,37.2,37.2
EBITDAR,241.1,,,157.7,,
Effective Tax Rate,36.2%,NM,NM,243.1%,13.2%,13.2%
Normalized Net Income,35.7,(8.3),(17.0),3.4,14.0,14.0
Interest on Long-Term Debt,9.2,12.6,26.1,20.6,,
R&D Expense From Footnotes,233.3,216.1,204.7,188.8,179.2,179.2
Foreign Sales,,404.9,356.7,346.2,,
