Income Statement,Sep 2017,Sep 2018,Sep 2019,Sep 2020,TTM
Revenues,(23.52%),12.13%,(3.71%),(6.70%),(2.55%)
Total Revenues,(23.52%),12.13%,(3.71%),(6.70%),(2.55%)
Cost Of Revenues,(27.01%),11.07%,0.00%,(6.20%),(4.60%)
Gross Profit,(15.17%),14.30%,(11.12%),(7.82%),2.22%
Selling General & Admin Expenses,(21.81%),(7.59%),(16.22%),(9.31%),(16.04%)
R&D Expenses,(16.09%),0.00%,(9.59%),(3.03%),(10.61%)
Other Operating Expense/(Income),-42.86%,(125.00%),-55.56%,(25.00%),-100.00%
Total Operating Expenses,(20.95%),8.05%,(13.66%),(7.55%),(11.48%)
Operating Income,16.91%,37.74%,(3.65%),(8.53%),52.60%
Interest Expense,(26.11%),-48.90%,-1.72%,-22.81%,-37.50%
Interest And Investment Income,0.00%,(7.69%),0.00%,(8.33%),(21.43%)
Net Interest Expenses,(28.14%),-51.40%,-1.92%,-24.51%,-39.80%
Other Non Operating Income (Expenses),0.00%,-33.33%,0.00%,-25.00%,0.00%
"EBT, Excl. Unusual Items",(69.44%),,(6.25%),7.62%,218.52%
"EBT, Incl. Unusual Items",-36.36%,,536.36%,,
Income Tax Expense,-36.00%,-50.00%,,,
Earnings From Continuing Operations,-36.40%,,26.32%,,
Earnings Of Discontinued Operations,(18.43%),(54.33%),406.32%,,
Net Income to Company,,307.14%,342.98%,,
Minority Interest,"(2,600.00%)",,,,
Net Income,,"11,300.00%",342.98%,,
NI to Common Incl Extra Items,,"11,300.00%",342.98%,,
NI to Common Excl. Extra Items,-27.11%,,26.32%,,
Revenue Per Share,(22.28%),10.35%,(2.17%),(5.17%),(2.55%)
Basic EPS,,"8,947.62%",350.01%,,
Basic EPS - Continuing Ops,-25.97%,,29.03%,,
Basic Weighted Average Shares Outst.,(1.59%),1.61%,(1.59%),(1.61%),0.00%
Diluted EPS,,"17,643.75%",360.18%,,
Diluted EPS - Continuing Ops,-25.84%,,33.48%,,
Diluted Weighted Average Shares Outst.,(1.59%),3.23%,(1.56%),(3.17%),0.82%
Normalized Basic EPS,(183.89%),,(4.64%),9.23%,218.52%
Normalized Diluted EPS,(183.89%),,(4.43%),11.33%,215.93%
Dividend Per Share,(21.15%),(22.76%),10.53%,4.76%,0.00%
Payout Ratio,,(99.32%),(75.92%),,
EBITDA,(6.25%),19.01%,(4.36%),(4.56%),20.40%
EBITA,12.74%,30.54%,(4.81%),(6.40%),34.31%
EBIT,16.91%,37.74%,(3.65%),(8.53%),52.60%
EBITDAR,(8.09%),,,,
Effective Tax Rate,,,,(96.37%),384.63%
Normalized Net Income,(177.13%),,(6.25%),7.62%,218.52%
Interest Capitalized,0.00%,,,,
R&D Expense From Footnotes,(16.09%),0.00%,(9.59%),(3.03%),(10.61%)
Foreign Sales,24.54%,12.13%,(3.71%),(6.70%),
