Income Statement,Aug 2016,Aug 2017,Aug 2018,Aug 2019,Aug 2020,TTM
Revenues,1127.1,1221.2,1350.1,1435.4,1494.1,1537.7
Total Revenues,1127.1,1221.2,1350.1,1435.4,1494.1,1537.7
Cost Of Revenues,487.4,566.6,659.3,663.4,695.4,737.9
Gross Profit,639.7,654.6,690.8,771.9,798.7,799.8
Selling General & Admin Expenses,289.3,298.6,319.7,333.9,359.0,342.4
Total Operating Expenses,289.3,298.6,319.7,333.9,359.0,342.4
Operating Income,350.4,356.0,371.1,438.0,439.7,457.4
Interest Expense,(2.7),(8.2),(17.6),(18.1),(10.9),(6.9)
Interest And Investment Income,1.6,1.6,1.3,1.5,1.1,0.0
Net Interest Expenses,(1.1),(6.6),(16.3),(16.6),(9.8),(6.9)
Other Non Operating Income (Expenses),,,1.9,0.6,(2.7),(0.3)
"EBT, Excl. Unusual Items",349.2,349.4,356.7,422.0,427.1,450.2
"EBT, Incl. Unusual Items",461.0,344.3,351.8,422.0,427.1,450.2
Income Tax Expense,122.2,86.1,84.8,69.2,54.2,62.0
Earnings From Continuing Operations,338.8,258.3,267.1,352.8,372.9,388.1
Net Income to Company,338.8,258.3,267.1,352.8,372.9,388.1
Net Income,338.8,258.3,267.1,352.8,372.9,388.1
NI to Common Incl Extra Items,338.8,258.3,267.1,352.8,372.9,388.1
NI to Common Excl. Extra Items,338.8,258.3,267.1,352.8,372.9,388.1
Revenue Per Share,$27.57,$30.96,$34.86,$37.63,$39.39,$40.52
Basic EPS,$8.29,$6.55,$6.90,$9.25,$9.83,$10.23
Basic EPS - Continuing Ops,$8.29,$6.55,$6.90,$9.25,$9.83,$10.23
Basic Weighted Average Shares Outst.,40.9,39.4,38.7,38.1,37.9,38.0
Diluted EPS,$8.19,$6.51,$6.78,$9.08,$9.65,$10.04
Diluted EPS - Continuing Ops,$8.19,$6.51,$6.78,$9.08,$9.65,$10.04
Diluted Weighted Average Shares Outst.,41.4,39.6,39.4,38.9,38.6,38.7
Normalized Basic EPS,$5.34,$5.54,$5.76,$6.91,$7.04,$7.41
Normalized Diluted EPS,$5.28,$5.51,$5.66,$6.78,$6.91,$7.27
Dividend Per Share,$1.88,$2.12,$2.40,$2.72,$2.98,$3.08
Payout Ratio,21.91%,31.32%,33.48%,28.36%,29.61%,29.44%
EBITDA,388.4,404.3,428.4,498.5,497.3,517.7
EBITA,365.2,375.9,395.8,463.1,465.1,482.8
EBIT,350.4,356.0,371.1,438.0,439.7,457.4
EBITDAR,431.6,452.7,483.0,555.2,558.2,
Effective Tax Rate,26.5%,25.0%,24.1%,16.4%,12.7%,13.8%
Normalized Net Income,218.3,218.4,223.0,263.7,267.0,281.4
Interest on Long-Term Debt,3.0,8.4,15.9,19.8,12.9,
R&D Expense From Footnotes,,215.0,217.1,214.7,224.0,224.0
Foreign Earnings,184.4,,,,,
Foreign Sales,371.6,437.0,543.7,580.7,609.0,
