Income Statement,Dec 2017,Dec 2018,Dec 2019,Jan 2021,TTM
Revenues,(14.77%),3.31%,8.36%,2.24%,0.00%
Total Revenues,(14.77%),3.31%,8.36%,2.24%,0.00%
Cost Of Revenues,(24.73%),6.85%,15.08%,0.24%,0.00%
Gross Profit,(1.24%),(0.35%),0.90%,4.76%,0.00%
Selling General & Admin Expenses,(14.31%),(6.41%),6.75%,1.96%,0.00%
Depreciation & Amortization,2.43%,2.54%,2.18%,0.82%,0.00%
Other Operating Expense/(Income),-90.71%,(128.36%),(65.67%),,0.00%
Total Operating Expenses,(5.86%),(3.42%),4.43%,5.61%,0.00%
Operating Income,4.91%,3.32%,(3.05%),3.74%,0.00%
Interest Expense,(8.88%),(4.49%),-3.36%,(3.16%),0.00%
Interest And Investment Income,66.56%,"1,770.69%",(89.14%),(44.03%),0.00%
Net Interest Expenses,(1.12%),,,(30.28%),0.00%
Other Non Operating Income (Expenses),63.50%,232.78%,44.42%,(81.35%),0.00%
"EBT, Excl. Unusual Items",7.29%,274.58%,(68.09%),(13.00%),0.00%
"EBT, Incl. Unusual Items",(49.91%),469.12%,(70.17%),(10.90%),0.00%
Income Tax Expense,,,(69.91%),1.22%,0.00%
Earnings From Continuing Operations,49.69%,137.14%,(70.24%),(13.95%),0.00%
Net Income to Company,49.69%,137.14%,(70.24%),(13.95%),0.00%
Net Income,49.69%,137.14%,(70.24%),(13.95%),0.00%
NI to Common Incl Extra Items,49.69%,137.14%,(70.24%),(13.95%),0.00%
NI to Common Excl. Extra Items,49.69%,137.14%,(70.24%),(13.95%),0.00%
Revenue Per Share,(8.40%),6.09%,11.96%,5.03%,0.00%
Basic EPS,62.17%,144.92%,(69.14%),(12.20%),0.00%
Basic EPS - Continuing Ops,62.17%,144.92%,(69.14%),(12.20%),0.00%
Basic Weighted Average Shares Outst.,(6.88%),(2.61%),(3.30%),(2.72%),0.00%
Diluted EPS,57.14%,144.16%,(69.15%),(10.34%),0.00%
Diluted EPS - Continuing Ops,57.14%,144.16%,(69.15%),(10.34%),0.00%
Diluted Weighted Average Shares Outst.,(5.41%),(2.90%),(4.04%),(3.00%),0.00%
Normalized Basic EPS,15.85%,283.42%,(67.03%),(9.90%),0.00%
Normalized Diluted EPS,12.13%,290.36%,(66.74%),(9.94%),0.00%
Dividend Per Share,12.00%,21.43%,23.53%,(30.95%),0.00%
Payout Ratio,(28.49%),(50.29%),302.11%,(21.77%),0.00%
EBITDA,4.12%,3.07%,(1.41%),2.79%,0.00%
EBITA,4.18%,4.31%,(2.24%),2.95%,0.00%
EBIT,4.91%,3.32%,(3.05%),3.74%,0.00%
EBITDAR,(0.59%),1.45%,(9.49%),3.59%,
Effective Tax Rate,,,0.86%,13.62%,0.00%
Normalized Net Income,7.29%,274.58%,(68.09%),(13.00%),0.00%
Interest on Long-Term Debt,,(0.50%),32.35%,2.77%,
Foreign Sales,10.41%,37.59%,8.58%,(4.15%),
