Income Statement,Jan 2017,Jan 2018,Jan 2019,Jan 2020,Jan 2021,TTM
Revenues,3545.8,3616.0,3950.6,3983.8,3449.7,3449.7
Total Revenues,3545.8,3616.0,3950.6,3983.8,3449.7,3449.7
Cost Of Revenues,2296.8,2429.1,2600.4,2729.4,2557.7,2557.7
Gross Profit,1249.0,1186.9,1350.3,1254.4,892.0,892.0
Selling General & Admin Expenses,906.1,915.6,965.4,994.0,857.9,857.9
Total Operating Expenses,906.1,915.6,965.4,994.0,857.9,857.9
Operating Income,342.9,271.3,384.9,260.4,34.1,34.1
Interest Expense,,,(1.8),(1.2),(3.4),(3.4)
Interest And Investment Income,1.9,4.9,9.5,10.6,3.1,3.1
Net Interest Expenses,1.9,4.9,7.8,9.4,(0.3),(0.3)
Other Non Operating Income (Expenses),(2.3),(3.4),(3.5),(1.6),(0.2),(0.2)
"EBT, Excl. Unusual Items",342.4,272.8,389.1,268.2,33.6,33.6
"EBT, Incl. Unusual Items",338.1,261.4,385.6,239.7,3.5,3.5
Income Tax Expense,120.0,153.1,87.6,71.6,2.3,2.3
Earnings From Continuing Operations,218.1,108.3,298.0,168.1,1.2,1.2
Net Income to Company,218.1,108.3,298.0,168.1,1.2,1.2
Net Income,218.1,108.3,298.0,168.1,1.2,1.2
NI to Common Incl Extra Items,218.1,108.3,298.0,168.1,1.2,1.2
NI to Common Excl. Extra Items,218.1,108.3,298.0,168.1,1.2,1.2
Revenue Per Share,$30.34,$32.32,$36.48,$39.90,$35.27,$35.27
Basic EPS,$1.87,$0.97,$2.75,$1.68,$0.01,$0.01
Basic EPS - Continuing Ops,$1.87,$0.97,$2.75,$1.68,$0.01,$0.01
Basic Weighted Average Shares Outst.,116.9,111.9,108.3,99.8,97.8,97.8
Diluted EPS,$1.86,$0.96,$2.72,$1.67,$0.01,$0.01
Diluted EPS - Continuing Ops,$1.86,$0.96,$2.72,$1.67,$0.01,$0.01
Diluted Weighted Average Shares Outst.,117.3,112.4,109.7,100.6,98.5,98.5
Normalized Basic EPS,$1.83,$1.52,$2.25,$1.68,$0.21,$0.21
Normalized Diluted EPS,$1.82,$1.52,$2.22,$1.67,$0.21,$0.21
EBITDA,476.0,397.1,501.1,372.0,136.3,136.3
EBITA,342.9,271.3,384.9,260.4,34.1,34.1
EBIT,342.9,271.3,384.9,260.4,34.1,34.1
EBITDAR,738.7,666.9,,770.9,501.6,501.6
Effective Tax Rate,35.5%,58.6%,22.7%,29.9%,64.8%,64.8%
Normalized Net Income,214.0,170.5,243.2,167.7,21.0,21.0
Interest on Long-Term Debt,,,,,2.7,2.7
Foreign Sales,431.8,452.9,500.7,498.4,409.0,409.0
