Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,5.21%,12.34%,(3.65%),(2.38%),4.70%
Total Revenues,5.21%,12.34%,(3.65%),(2.38%),4.70%
Cost Of Revenues,5.08%,12.17%,(5.14%),(2.13%),4.87%
Gross Profit,6.00%,13.33%,5.00%,(3.67%),3.81%
Selling General & Admin Expenses,(0.68%),6.18%,1.28%,17.37%,17.83%
Total Operating Expenses,(0.68%),6.18%,1.28%,17.37%,17.83%
Operating Income,28.28%,31.79%,12.73%,(43.01%),(24.13%)
Interest Expense,-21.33%,-23.59%,(34.56%),(11.30%),(9.90%)
Net Interest Expenses,-21.33%,-23.59%,(34.56%),(11.30%),(9.90%)
Currency Exchange Gains (Loss),,-94.83%,(200.00%),,
Other Non Operating Income (Expenses),30.00%,169.23%,,,-76.47%
"EBT, Excl. Unusual Items",67.80%,115.49%,(1.72%),(67.57%),(40.48%)
"EBT, Incl. Unusual Items",143.93%,116.86%,0.53%,(73.99%),(50.09%)
Income Tax Expense,,,5.74%,(75.97%),(53.33%)
Earnings From Continuing Operations,323.53%,23.33%,(0.90%),(73.41%),(49.15%)
Net Income to Company,323.53%,23.33%,(0.90%),(73.41%),(49.15%)
Minority Interest,(25.00%),(10.00%),-4.55%,-66.67%,-55.56%
Net Income,392.75%,24.12%,(0.71%),(73.75%),(48.86%)
Preferred Dividend and Other Adjustments,366.67%,14.29%,25.00%,(22.50%),(23.68%)
NI to Common Incl Extra Items,395.24%,25.00%,(2.82%),(79.16%),(51.54%)
NI to Common Excl. Extra Items,395.24%,25.00%,(2.82%),(79.16%),(51.54%)
Revenue Per Share,0.64%,5.03%,23.45%,1.86%,1.13%
Basic EPS,375.97%,17.00%,24.54%,(78.26%),(53.19%)
Basic EPS - Continuing Ops,375.97%,17.00%,24.54%,(78.26%),(53.19%)
Basic Weighted Average Shares Outst.,4.55%,6.96%,(21.95%),(4.17%),3.52%
Diluted EPS,361.38%,17.55%,23.96%,(78.15%),(52.13%)
Diluted EPS - Continuing Ops,361.38%,17.55%,23.96%,(78.15%),(52.13%)
Diluted Weighted Average Shares Outst.,4.07%,5.47%,(21.48%),(3.77%),1.71%
Normalized Basic EPS,67.47%,113.41%,26.26%,(66.24%),(41.75%)
Normalized Diluted EPS,68.04%,117.05%,25.38%,(66.34%),(40.71%)
Payout Ratio,(69.58%),,,,
EBITDA,13.53%,20.02%,7.92%,(22.07%),(10.78%)
EBITA,19.34%,24.56%,10.37%,(37.94%),(21.67%)
EBIT,28.28%,31.79%,12.73%,(43.01%),(24.13%)
EBITDAR,10.62%,18.05%,9.83%,(12.11%),
Effective Tax Rate,,,5.20%,(7.61%),(6.49%)
Normalized Net Income,75.03%,128.23%,(1.55%),(67.62%),(39.69%)
Interest on Long-Term Debt,,,,(25.00%),
Foreign Sales,6.09%,13.33%,(2.24%),(0.49%),
