Income Statement,Jan 2017,Feb 2018,Feb 2019,Feb 2020,Jan 2021,TTM
Revenues,7766.0,7782.0,7939.0,8005.0,7548.0,7548.0
Total Revenues,7766.0,7782.0,7939.0,8005.0,7548.0,7548.0
Cost Of Revenues,4440.0,4591.0,5411.0,5462.0,5365.0,5365.0
Gross Profit,3326.0,3191.0,2528.0,2543.0,2183.0,2183.0
Selling General & Admin Expenses,2164.0,2235.0,1616.0,1651.0,1639.0,1639.0
Depreciation & Amortization,158.0,173.0,178.0,179.0,176.0,176.0
Total Operating Expenses,2322.0,2408.0,1794.0,1830.0,1815.0,1815.0
Operating Income,1004.0,783.0,734.0,713.0,368.0,368.0
Interest Expense,(11.0),(12.0),(11.0),(10.0),(13.0),(13.0)
Interest And Investment Income,9.0,14.0,20.0,21.0,6.0,6.0
Net Interest Expenses,(2.0),2.0,9.0,11.0,(7.0),(7.0)
Currency Exchange Gains (Loss),2.0,,,,,
Other Non Operating Income (Expenses),4.0,3.0,7.0,11.0,4.0,4.0
"EBT, Excl. Unusual Items",1008.0,788.0,750.0,734.0,364.0,364.0
"EBT, Incl. Unusual Items",1004.0,578.0,713.0,672.0,494.0,494.0
Income Tax Expense,340.0,294.0,172.0,181.0,171.0,171.0
Earnings From Continuing Operations,664.0,284.0,541.0,491.0,323.0,323.0
Net Income to Company,664.0,284.0,541.0,491.0,323.0,323.0
Net Income,664.0,284.0,541.0,491.0,323.0,323.0
NI to Common Incl Extra Items,664.0,284.0,541.0,491.0,323.0,323.0
NI to Common Excl. Extra Items,664.0,284.0,541.0,491.0,323.0,323.0
Revenue Per Share,$57.96,$61.18,$68.68,$73.64,$72.37,$72.37
Basic EPS,$4.96,$2.23,$4.68,$4.52,$3.10,$3.10
Basic EPS - Continuing Ops,$4.96,$2.23,$4.68,$4.52,$3.10,$3.10
Basic Weighted Average Shares Outst.,134.0,127.2,115.6,108.7,104.3,104.3
Diluted EPS,$4.91,$2.22,$4.66,$4.50,$3.08,$3.08
Diluted EPS - Continuing Ops,$4.91,$2.22,$4.66,$4.50,$3.08,$3.08
Diluted Weighted Average Shares Outst.,135.1,127.9,116.1,109.1,105.1,105.1
Normalized Basic EPS,$4.70,$3.87,$4.05,$4.22,$2.18,$2.18
Normalized Diluted EPS,$4.66,$3.85,$4.04,$4.20,$2.16,$2.16
Dividend Per Share,$1.10,$1.24,$1.38,$1.52,$0.70,$0.70
Payout Ratio,22.14%,55.28%,29.21%,33.40%,22.60%,22.60%
EBITDA,1162.0,956.0,912.0,892.0,544.0,544.0
EBITA,1008.0,787.0,738.0,716.0,371.0,371.0
EBIT,1004.0,783.0,734.0,713.0,368.0,368.0
EBITDAR,1852.0,1691.0,1662.0,1914.0,1476.0,1476.0
Effective Tax Rate,33.9%,50.9%,24.1%,26.9%,34.6%,34.6%
Normalized Net Income,630.0,492.5,468.8,458.8,227.5,227.5
Interest on Long-Term Debt,1.0,1.0,9.0,9.0,8.0,8.0
Foreign Sales,2204.0,2250.0,2292.0,2314.0,1967.0,1967.0
