Income Statement,May 2017,May 2018,May 2019,May 2020,TTM
Revenues,3.00%,7.33%,4.56%,(1.03%),3.04%
Total Revenues,3.00%,7.33%,4.56%,(1.03%),3.04%
Cost Of Revenues,2.42%,17.01%,6.02%,(2.03%),2.40%
Gross Profit,3.77%,(5.15%),2.25%,0.61%,4.04%
Selling General & Admin Expenses,11.50%,(8.83%),4.61%,(1.73%),(1.62%)
Other Operating Expense/(Income),,(84.93%),,,
Total Operating Expenses,7.21%,(8.95%),4.58%,(1.39%),(1.27%)
Operating Income,(5.82%),6.91%,(4.04%),6.49%,17.87%
Interest Expense,(5.75%),(7.83%),-2.06%,-1.36%,-19.27%
Interest And Investment Income,34.92%,46.18%,(96.43%),"1,234.11%",202.24%
Net Interest Expenses,(2.03%),(1.37%),(20.88%),-10.23%,-44.56%
"EBT, Excl. Unusual Items",(6.97%),7.94%,(8.61%),10.39%,29.70%
"EBT, Incl. Unusual Items",(49.46%),70.69%,(18.51%),19.99%,39.58%
Income Tax Expense,(52.65%),30.39%,(7.24%),42.30%,43.24%
Earnings From Continuing Operations,(48.34%),83.71%,(21.10%),13.97%,38.39%
Net Income to Company,(48.34%),83.71%,(21.10%),13.97%,38.39%
Minority Interest,(4.21%),-47.79%,-24.08%,-38.26%,-60.99%
Net Income,(48.74%),85.77%,(21.08%),14.19%,38.77%
Preferred Dividend and Other Adjustments,(51.56%),38.03%,(60.76%),29.19%,103.67%
NI to Common Incl Extra Items,(48.70%),86.51%,(20.62%),14.11%,38.43%
NI to Common Excl. Extra Items,(48.70%),86.51%,(20.62%),14.11%,38.43%
Revenue Per Share,2.01%,6.90%,5.06%,0.58%,3.31%
Basic EPS,(49.25%),85.80%,(20.39%),15.97%,38.80%
Basic EPS - Continuing Ops,(49.25%),85.80%,(20.39%),15.97%,38.80%
Basic Weighted Average Shares Outst.,0.99%,0.40%,(0.48%),(1.60%),(0.26%)
Diluted EPS,(48.10%),84.10%,(19.54%),16.51%,39.19%
Diluted EPS - Continuing Ops,(48.10%),84.10%,(19.54%),16.51%,39.19%
Diluted Weighted Average Shares Outst.,(1.13%),1.48%,(2.07%),(3.24%),(1.37%)
Normalized Basic EPS,(7.95%),8.15%,(8.14%),12.25%,30.41%
Normalized Diluted EPS,(6.01%),7.05%,(6.56%),14.28%,31.88%
Dividend Per Share,7.80%,6.78%,8.73%,4.38%,4.23%
Payout Ratio,111.87%,(42.49%),37.27%,(10.65%),(25.16%)
EBITDA,(3.98%),7.48%,(1.34%),7.37%,15.00%
EBITA,(5.28%),6.06%,(3.43%),6.07%,16.71%
EBIT,(5.82%),6.91%,(4.04%),6.49%,17.87%
EBITDAR,(3.13%),7.25%,(1.15%),7.91%,
Effective Tax Rate,(6.30%),(23.62%),13.85%,18.61%,2.62%
Normalized Net Income,(7.07%),8.52%,(8.53%),10.59%,30.07%
Interest on Long-Term Debt,5.75%,7.83%,(2.06%),(1.36%),
R&D Expense From Footnotes,5.53%,7.40%,2.73%,6.84%,6.84%
Foreign Sales,1.87%,11.89%,(0.08%),(8.97%),
