Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,7.88%,6.11%,1.16%,(7.41%),7.07%
Total Revenues,7.88%,6.11%,1.16%,(7.41%),7.07%
Operations And Maintenance,0.50%,3.11%,4.23%,0.46%,2.69%
Depreciation & Amortization,5.60%,5.40%,12.69%,8.03%,8.46%
Other Operating Expenses,11.67%,13.55%,(3.64%),(19.64%),13.00%
Total Operating Expenses,7.08%,9.19%,0.68%,(9.65%),8.74%
Operating Income,11.28%,(6.64%),3.49%,3.14%,0.17%
"Interest Expense, Total",(5.32%),(11.38%),(22.17%),-0.28%,-0.54%
Net Interest Expenses,(5.32%),(11.38%),(22.17%),-0.28%,-0.54%
Other Non-Operating Inc. (Exp.),,,,(29.74%),
"EBT, Excl. Unusual Items",13.67%,(11.86%),1.70%,3.65%,5.11%
"EBT, Incl. Unusual Items",13.67%,(11.86%),1.70%,3.65%,5.11%
Income Tax Expense,9.27%,(42.53%),(19.95%),(2.97%),(8.66%)
Earnings From Continuing Operations,16.35%,5.67%,8.43%,5.17%,8.41%
Net Income to Company,16.35%,5.67%,8.43%,5.17%,8.41%
Net Income,16.35%,5.67%,8.43%,5.17%,8.41%
NI to Common Incl Extra Items,16.35%,5.67%,8.43%,5.17%,8.41%
NI to Common Excl. Extra Items,16.35%,5.67%,8.43%,5.17%,8.41%
Revenue Per Share,7.72%,5.78%,0.79%,(7.84%),6.50%
Basic EPS,16.22%,5.44%,7.97%,4.72%,7.83%
Basic EPS - Continuing Ops,16.22%,5.44%,7.97%,4.72%,7.83%
Basic Weighted Average Shares Outst.,0.14%,0.32%,0.38%,0.45%,0.54%
Diluted EPS,16.23%,5.52%,8.00%,4.84%,8.15%
Diluted EPS - Continuing Ops,16.23%,5.52%,8.00%,4.84%,8.15%
Diluted Weighted Average Shares Outst.,0.03%,0.09%,0.40%,0.24%,0.33%
Normalized Basic EPS,13.72%,(12.20%),1.23%,3.30%,4.55%
Normalized Diluted EPS,13.60%,(11.89%),1.33%,3.22%,4.76%
Dividend Per Share,20.00%,9.52%,8.70%,8.00%,7.84%
Payout Ratio,3.25%,3.93%,0.66%,3.15%,0.03%
EBITDA,9.30%,(2.59%),6.84%,5.02%,3.36%
EBITA,11.28%,(6.64%),3.49%,3.14%,0.17%
EBIT,11.28%,(6.64%),3.49%,3.14%,0.17%
EBITDAR,9.14%,(2.65%),6.78%,4.91%,
Effective Tax Rate,(3.87%),(34.79%),(21.28%),(6.37%),(13.10%)
Normalized Net Income,13.67%,(11.86%),1.70%,3.65%,5.11%
Interest Capitalized,(16.67%),13.33%,35.29%,(8.70%),
