Income Statement,Apr 2017,Apr 2018,Apr 2019,Apr 2020,TTM
Revenues,(0.06%),4.07%,(2.06%),(14.71%),(8.46%)
Total Revenues,(0.06%),4.07%,(2.06%),(14.71%),(8.46%)
Cost Of Revenues,(2.44%),5.80%,0.99%,(2.54%),(5.59%)
Gross Profit,2.91%,2.03%,(5.79%),(30.68%),(12.30%)
Selling General & Admin Expenses,(6.04%),(1.15%),8.08%,3.07%,(8.00%)
Total Operating Expenses,(6.04%),(1.15%),8.08%,3.07%,(8.00%)
Operating Income,13.08%,5.04%,(18.12%),(70.27%),(18.38%)
Interest Expense,(34.79%),-3.85%,-2.60%,(10.39%),(24.54%)
Interest And Investment Income,(69.38%),79.14%,140.66%,(13.67%),(79.79%)
Net Interest Expenses,(57.87%),-7.42%,-14.51%,(16.02%),(50.26%)
Currency Exchange Gains (Loss),-99.99%,"(16,400.00%)",(41.21%),-4.29%,
Other Non Operating Income (Expenses),(20.39%),,,"1,047.14%",134.29%
"EBT, Excl. Unusual Items",10.02%,6.27%,(18.48%),(81.18%),(28.12%)
"EBT, Incl. Unusual Items",10.50%,6.27%,(18.48%),,(49.79%)
Income Tax Expense,12.07%,(79.93%),138.87%,,131.72%
Earnings From Continuing Operations,9.74%,48.94%,(28.98%),(98.62%),(75.97%)
Earnings Of Discontinued Operations,(28.93%),(14.93%),(65.31%),-39.85%,-55.60%
Net Income to Company,9.27%,49.93%,(31.09%),,(76.84%)
Net Income,9.27%,49.93%,(31.09%),,(76.84%)
Preferred Dividend and Other Adjustments,39.97%,48.46%,(30.29%),(38.56%),(28.15%)
NI to Common Incl Extra Items,9.21%,49.94%,(31.09%),,(76.97%)
NI to Common Excl. Extra Items,9.68%,48.94%,(28.97%),(98.76%),(76.09%)
Revenue Per Share,16.95%,6.04%,(0.40%),(10.95%),(3.79%)
Basic EPS,27.80%,52.55%,(29.96%),,(75.79%)
Basic EPS - Continuing Ops,28.13%,52.03%,(27.66%),(98.70%),(74.87%)
Basic Weighted Average Shares Outst.,(14.54%),(1.87%),(1.65%),(4.22%),(4.86%)
Diluted EPS,27.79%,53.40%,(29.90%),,(75.92%)
Diluted EPS - Continuing Ops,28.10%,52.04%,(27.85%),(98.70%),(75.00%)
Diluted Weighted Average Shares Outst.,(14.64%),(1.81%),(1.66%),(4.17%),(4.80%)
Normalized Basic EPS,28.34%,8.19%,(17.05%),(80.36%),(24.45%)
Normalized Diluted EPS,28.47%,8.06%,(17.18%),(80.38%),(24.50%)
Dividend Per Share,10.00%,9.09%,4.17%,4.00%,0.97%
Payout Ratio,(15.09%),(28.55%),48.76%,,316.07%
EBITDA,11.32%,4.14%,(16.34%),(54.94%),(14.84%)
EBITA,12.59%,4.66%,(17.18%),(61.29%),(15.40%)
EBIT,13.08%,5.04%,(18.12%),(70.27%),(18.38%)
EBITDAR,(3.49%),,,(35.65%),
Effective Tax Rate,1.42%,(81.11%),193.21%,"1,440.94%",361.50%
Normalized Net Income,10.02%,6.27%,(18.48%),(81.18%),(28.12%)
Foreign Sales,(1.44%),8.06%,(2.95%),(18.36%),
