Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Rental Revenue,3.67%,6.10%,4.48%,6.50%,5.03%
Other Revenue,(20.22%),4.65%,1.54%,(18.17%),(23.85%)
Total Revenues,3.12%,6.04%,4.41%,6.11%,4.57%
Property Expenses,5.57%,7.41%,6.13%,9.53%,6.73%
Selling General & Admin Exp.,5.38%,4.60%,(7.36%),(3.97%),(5.56%)
Depreciation & Amortization,11.58%,15.25%,8.32%,7.07%,5.65%
Other Operating Expenses,-32.54%,0.00%,(35.96%),(96.13%),(103.14%)
Total Operating Expenses,8.10%,10.44%,5.82%,7.28%,5.22%
Operating Income,(12.04%),(10.38%),(2.09%),0.32%,1.24%
Total Interest Expense,-1.65%,-6.38%,(4.98%),(1.33%),-0.59%
Interest and Investment Income,"1,176.47%",(18.13%),(83.30%),528.09%,169.36%
Net Interest Expenses,-2.70%,-6.24%,(5.88%),(0.49%),-1.12%
"EBT, Excl. Unusual Items",(23.99%),(17.18%),(16.90%),(0.08%),9.18%
Gain (Loss) on Sale of Assets,(3.70%),5.42%,(39.76%),180.31%,256.67%
Asset Writedown,"(4,350.41%)",,,,0.00%
Other Unusual Items,"(1,124,525.00%)",,,(488.48%),(488.48%)
"EBT, Incl. Unusual Items",(73.01%),202.14%,(43.84%),84.24%,138.03%
Earnings From Continuing Operations,(73.01%),202.14%,(43.84%),84.24%,138.03%
Net Income to Company,(73.01%),202.14%,(43.84%),84.24%,138.03%
Net Income,(73.01%),202.14%,(43.84%),84.24%,138.03%
Pref. Dividends and Other Adj.,,7.96%,(10.56%),0.39%,2.43%
NI to Common Incl Extra Items,(75.53%),222.07%,(44.98%),88.93%,145.66%
NI to Common Excl. Extra Items,(75.53%),222.07%,(44.98%),88.93%,145.66%
Revenue Per Share,(4.99%),1.45%,0.63%,1.49%,0.60%
Basic EPS,(77.52%),203.93%,(47.29%),80.52%,136.34%
Basic EPS - Continuing Ops,(77.52%),203.93%,(47.29%),80.52%,136.34%
Basic Weighted Average Shares Outst.,8.62%,4.55%,3.82%,4.63%,3.95%
Diluted EPS,(77.23%),203.93%,(47.29%),79.31%,137.54%
Diluted EPS - Continuing Ops,(77.23%),203.93%,(47.29%),79.31%,137.54%
Diluted Weighted Average Shares Outst.,7.89%,4.52%,3.84%,4.62%,3.93%
Normalized Basic EPS,(30.82%),(20.85%),(18.54%),(1.00%),5.03%
Normalized Diluted EPS,(30.87%),(20.88%),(18.60%),(1.05%),5.05%
Dividend Per Share,0.00%,0.00%,0.00%,0.21%,0.42%
Payout Ratio,300.28%,(65.06%),84.09%,(43.21%),(56.19%)
FFO,(23.02%),45.20%,2.96%,(1.88%),(1.64%)
FFO Payout Ratio %,40.32%,(27.29%),0.41%,6.64%,6.01%
AFFO,(27.02%),49.94%,3.24%,(0.75%),
Funds Available for Distribution,6.79%,2.43%,8.43%,9.25%,"5,732.49%"
FFO Per Share (Diluted),(28.93%),38.94%,(0.64%),(6.41%),(5.35%)
FFO Shares (Diluted),8.68%,4.40%,3.83%,4.63%,3.92%
Adjusted FFO Per Share (Diluted),(33.09%),44.15%,(0.69%),(5.06%),
EBITDA,1.30%,4.89%,4.84%,5.47%,4.24%
EBITA,(12.04%),(10.38%),32.75%,3.05%,2.33%
EBIT,(12.04%),(10.38%),(2.09%),0.32%,1.24%
EBITDAR,(0.56%),4.87%,7.95%,5.44%,
Normalized Net Income,(23.99%),(17.18%),(16.90%),(0.08%),9.18%
Interest Capitalized,,,,(19.06%),
Interest on Long-Term Debt,,,,7.60%,
